timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
164017246,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
164522405,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
165032762,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
166544814,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
168063634,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
168573958,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
169074134,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
170597613,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
173125295,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
174127295,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
174634675,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
175138422,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
175639356,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
177150797,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
178165269,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
179177293,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
179681302,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180186739,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180698008,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
183224461,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
183733528,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
184746518,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
186775293,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
187781304,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
188791423,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
189792562,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190805341,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
191315481,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
191820295,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
192330608,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195350433,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
197884413,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
198393291,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
199910527,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200413303,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200923296,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
