timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_angle
3024049,0.2616868,0.023781782,0.0
3029126,0.2811375,0.02404496,0.0
3224191,0.3148213,0.02250315,0.0
3424208,0.31772414,0.022187624,0.0
3824553,0.3174367,0.024140254,0.0
4024681,0.38216293,0.020968856,0.0
4224548,0.33865958,0.024416842,0.0
4624707,0.32057703,0.022668228,0.0
4824908,0.29405448,0.025048384,0.0
5024958,0.31091523,0.025042525,0.0
5225125,0.31813172,0.02513828,0.0
5425052,0.3441841,0.024084983,0.0
5625126,0.3436958,0.025253065,0.0
5825298,0.27016035,0.023713902,0.0
6225585,0.3103763,0.025002414,0.0
6425533,0.33881706,0.024740279,0.0
6625603,0.36585125,0.023184963,0.0
7025844,0.33819076,0.0233047,0.0
7225935,0.3177547,0.023708455,0.0
7426084,0.29496664,0.024175184,0.0
7626195,0.30642837,0.02444632,0.0
7826064,0.34935048,0.025106274,0.0
8026202,0.2992671,0.023110194,0.0
8426391,0.34468356,0.02348811,0.0
8626613,0.3042533,0.024092056,0.0
8826548,0.3057471,0.024636807,0.0
9026570,0.34059745,0.024516959,0.0
9226655,0.32346404,0.02440593,0.0
9827072,0.29043356,0.02399611,0.0
10627248,0.33431497,0.024725214,0.0
11422586,0.35835811,0.022315115,0.0
11622681,0.36401108,0.02483608,0.0
12028030,0.2617521,0.024171574,0.0
12228194,0.29974464,0.022605382,0.0
12628336,0.31158915,0.024636608,0.0
13423572,0.29215857,0.023693897,0.0
13623612,0.35187143,0.024185505,0.0
13823848,0.32732147,0.023850035,0.0
14023827,0.35391444,0.023418862,0.0
14223786,0.28021464,0.024622064,0.0
14824165,0.31175092,0.023044284,0.0
15024371,0.32261243,0.024296237,0.0
15224230,0.28234282,0.021436742,0.0
15424442,0.37532967,0.02363088,0.0
15824506,0.31535056,0.026182704,0.0
16424704,0.36192775,0.025104746,0.0
17625517,0.29649726,0.024707045,0.0
17825324,0.3313271,0.02247333,0.0
19426028,0.31930554,0.022243518,0.0
19626082,0.31175238,0.023474304,0.0
19826362,0.3237329,0.023528073,0.0
20026483,0.2647493,0.022889592,0.0
20226515,0.2807952,0.02271812,0.0
20426570,0.30024827,0.024144433,0.0
20626576,0.32404283,0.022904044,0.0
20826797,0.26199964,0.023408122,0.0
21026839,0.2991572,0.023595072,0.0
21427056,0.23031677,0.024345199,0.0
21827075,0.3070677,0.023452602,0.0
22027180,0.27082452,0.02291079,0.0
22227368,0.29101515,0.02317128,0.0
22827757,0.31210083,0.023989554,0.0
23027644,0.30284497,0.023393288,0.0
23227715,0.28362963,0.023143185,0.0
23427791,0.29885733,0.023310697,0.0
23828120,0.33243904,0.024817124,0.0
24223200,0.27997494,0.02353076,0.0
24423351,0.31907222,0.02420008,0.0
24623582,0.28350002,0.024190277,0.0
24823615,0.286061,0.02535062,0.0
25223682,0.25080907,0.024006251,0.0
25423692,0.27010977,0.024360664,0.0
25623919,0.3408692,0.024865298,0.0
27024490,0.30429026,0.024013247,0.0
27224600,0.264175,0.02472083,0.0
27825004,0.28644043,0.025309365,0.0
28625283,0.32603353,0.02480249,0.0
28825350,0.26866642,0.024430675,0.0
29025487,0.30084142,0.02366134,0.0
