timestamp,load,ram_usage
2608416,0.8770478,0.8436542
3108412,0.580794,0.8445398
4108448,0.6882106,0.8522379
4608416,0.7393805,0.85155666
6608418,0.73664844,0.8540773
7108425,0.72435427,0.8540773
8108989,0.7379254,0.8540773
8608423,0.7396383,0.8540773
9108414,0.734658,0.8540773
9608420,0.73991555,0.85196537
10108772,0.7560333,0.85516727
10608476,0.8140863,0.85516727
12609956,0.80317247,0.8554397
13110066,0.8101102,0.8554397
14109975,0.79639333,0.8547585
15108424,0.803482,0.8572791
16108477,0.801392,0.8572791
16608415,0.7911488,0.8572791
17108413,0.8073708,0.8572791
18608473,0.79043156,0.85516727
19608860,0.8077502,0.85516727
20608453,0.8030796,0.85516727
21108434,0.79642844,0.8554397
21608514,0.8046615,0.8554397
22608472,0.8003756,0.8554397
23108417,0.8018914,0.8554397
25109597,0.8010695,0.8572791
26108415,0.8160025,0.8587097
27608794,0.82016784,0.86041284
28608847,0.8331787,0.858301
30108836,0.82915163,0.8585735
30608536,0.83136535,0.8585735
31108862,0.8448099,0.8585735
31608430,0.84020257,0.8585735
32608713,0.8318622,0.8585735
33608809,0.8480355,0.86041284
34109002,0.8358371,0.86041284
34610414,0.82832444,0.8611622
36610453,0.82270646,0.8611622
37608419,0.8324457,0.85905033
38108419,0.8302863,0.85905033
38608734,0.8212037,0.85905033
39108418,0.831623,0.85905033
39608408,0.83302796,0.85932285
41608769,0.836946,0.85932285
42109236,0.84135497,0.8586416
42608453,0.81686133,0.8611622
43608442,0.82318616,0.8611622
45108494,0.8253515,0.8611622
46109236,0.8400842,0.8611622
46609005,0.830968,0.8611622
47608411,0.81546605,0.85905033
48108418,0.8299674,0.85905033
48608419,0.82833433,0.85905033
49108444,0.8306785,0.85932285
49608378,0.8281831,0.85932285
50608420,0.8258894,0.85932285
51608758,0.82020545,0.8586416
53608451,0.8151382,0.8611622
54108818,0.8359181,0.8611622
54609059,0.8313713,0.8611622
55609360,0.8238323,0.8611622
56109797,0.8319144,0.85905033
56609992,0.84056646,0.85905033
57109989,0.833261,0.85905033
62108556,0.83668554,0.8611622
63608497,0.8339519,0.8611622
64108462,0.8253417,0.8611622
64608511,0.83490133,0.8611622
65108475,0.8412608,0.8611622
68109567,0.8317598,0.85932285
68608379,0.82826537,0.85932285
69108455,0.84056497,0.85932285
69608427,0.82624394,0.85932285
71108420,0.8319839,0.8611622
72109127,0.83454597,0.8611622
73108977,0.83761084,0.8611622
73608417,0.8433895,0.8611622
74108501,0.82658774,0.8611622
74608451,0.8335134,0.8611622
75108948,0.8458276,0.8600722
76109598,0.8313825,0.8601403
77610419,0.8333207,0.86041284
78608417,0.82478887,0.86041284
79108415,0.8458094,0.86041284
79608462,0.83139485,0.8597316
80108488,0.82373005,0.8622522
80608393,0.8341963,0.8622522
81108451,0.8392904,0.8622522
81608545,0.8259124,0.8622522
82108476,0.837241,0.8622522
82608907,0.83325034,0.8622522
84108452,0.8302311,0.8601403
84608471,0.8315829,0.8601403
86108898,0.8281992,0.86041284
86608973,0.8348998,0.86041284
87609349,0.83225346,0.86041284
88109611,0.83022904,0.86041284
88608373,0.8263154,0.86041284
90108525,0.8288644,0.8622522
90608419,0.833875,0.8622522
91108390,0.8406084,0.8622522
92108442,0.82729506,0.8622522
92609038,0.8370334,0.8622522
95609728,0.8384745,0.86041284
96609605,0.84465694,0.86041284
98608417,0.83347434,0.8597316
99108448,0.83304435,0.8622522
99608418,0.82483387,0.8622522
100108472,0.83282506,0.8622522
100608415,0.8361103,0.8622522
102108554,0.8383638,0.8622522
102609044,0.83684194,0.8622522
103108382,0.8334877,0.8601403
105108487,0.8338396,0.86041284
106108994,0.8413274,0.86041284
106609210,0.83562386,0.86041284
107608377,0.8293338,0.8597316
108108419,0.8339486,0.8622522
110608421,0.8285708,0.8622522
111108450,0.8208213,0.8622522
112108395,0.83907837,0.8601403
112608407,0.82610524,0.8601403
113108524,0.8253794,0.8601403
113608935,0.8395411,0.8601403
114108878,0.83912635,0.86041284
114609000,0.8313085,0.86041284
115609696,0.8412184,0.86041284
116109707,0.83852375,0.86041284
117608418,0.83701736,0.8622522
118108374,0.8342004,0.8622522
119108415,0.82690394,0.8622522
119608485,0.8402319,0.8622522
120108471,0.81672233,0.8622522
121108993,0.83611786,0.8622522
123108418,0.832771,0.8601403
124108491,0.8176932,0.86041284
125109167,0.8454153,0.8602766
126108432,0.8350926,0.85959536
128108552,0.8306887,0.8621159
129108491,0.82486403,0.8621159
130109002,0.8504989,0.8621159
130608442,0.8390539,0.8621159
131108418,0.834299,0.86000407
132609605,0.8336543,0.86000407
133109776,0.8273504,0.8602766
133609691,0.8324285,0.8602766
134110352,0.83635813,0.8602766
134610532,0.8305984,0.8602766
135608456,0.83832467,0.85959536
136108480,0.84019274,0.8621159
136608471,0.8246346,0.8621159
139608457,0.83587515,0.8621159
140608532,0.84135395,0.86000407
141108469,0.83179146,0.86000407
142109004,0.83971894,0.86000407
143109353,0.8361743,0.8602766
144108415,0.83778906,0.8602766
145108748,0.8253643,0.85959536
146108526,0.8285221,0.8621159
146608437,0.8302971,0.8621159
147108846,0.8319536,0.8621159
147609104,0.8417469,0.8621159
148608421,0.8348335,0.8621159
150609349,0.83368,0.86000407
151109877,0.82985544,0.86000407
151610304,0.8336408,0.8602766
152608415,0.83476603,0.8602766
153108418,0.8438609,0.8602766
153608489,0.83243465,0.8602766
154608413,0.832865,0.85959536
155608421,0.834929,0.8621159
158108522,0.83953625,0.8621159
160109091,0.83023846,0.86000407
160609157,0.83354855,0.86000407
161108415,0.83113277,0.8602766
