timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
2954334,5.0595703,0.0,0,1,0,1,0,0,0
3954749,5.077295,0.0,0,1,0,1,0,0,0
4455389,4.999951,0.0,0,1,0,1,0,0,0
4954319,5.0853515,0.0,0,1,0,1,0,0,0
5454320,4.980615,0.0,0,1,0,1,0,0,0
5954325,5.0724607,0.0,0,1,0,1,0,0,0
6454387,5.043457,0.0,0,1,0,1,0,0,0
6954329,5.0660157,0.0,0,1,0,1,0,0,0
7454316,5.0515137,0.0,0,1,0,1,0,0,0
7954336,5.0450683,0.0,0,1,0,1,0,0,0
8454316,5.0563474,0.0,0,1,0,1,0,0,0
8954336,5.0466795,0.0,0,1,0,1,0,0,0
9454363,5.0273438,0.0,0,1,0,1,0,0,0
9954384,5.0740724,0.0,0,1,0,1,0,0,0
10454716,5.1240234,0.0,0,1,0,1,0,0,0
11954353,5.088574,0.0,0,1,0,1,0,0,0
12454316,5.0450683,0.0,0,1,0,1,0,0,0
12954341,5.082129,0.0,0,1,0,1,0,0,0
13454323,5.078906,0.0,0,1,0,1,0,0,0
13954379,5.043457,0.0,0,1,0,1,0,0,0
14454365,5.077295,0.0,0,1,0,1,0,0,0
15454598,5.062793,0.0,0,1,0,1,0,0,0
15954883,5.0853515,0.0,0,1,0,1,0,0,0
16954319,4.9918942,0.0,0,1,0,1,0,0,0
17454319,5.0515137,0.0,0,1,0,1,0,0,0
18454319,5.053125,0.0,0,1,0,1,0,0,0
18954324,5.0273438,0.0,0,1,0,1,0,0,0
19454345,5.0724607,0.0,0,1,0,1,0,0,0
21954710,5.0499024,0.0,0,1,0,1,0,0,0
22454354,5.0257325,0.0,0,1,0,1,0,0,0
22954332,5.016064,0.0,0,1,0,1,0,0,0
23454325,5.091797,0.0,0,1,0,1,0,0,0
23954442,5.054736,0.0,0,1,0,1,0,0,0
24454663,5.067627,0.0,0,1,0,1,0,0,0
24954779,5.082129,0.0,0,1,0,1,0,0,0
25454552,5.0321774,0.0,0,1,0,1,0,0,0
25955082,5.082129,0.0,0,1,0,1,0,0,0
27455680,5.069238,0.0,0,1,0,1,0,0,0
28954319,5.122412,0.0,0,1,0,1,0,0,0
29454395,5.08374,0.0,0,1,0,1,0,0,0
31454316,5.040234,0.0,0,1,0,1,0,0,0
31954323,5.0595703,0.0,0,1,0,1,0,0,0
32454436,5.0724607,0.0,0,1,0,1,0,0,0
32954477,5.057959,0.0,0,1,0,1,0,0,0
33454319,5.088574,0.0,0,1,0,1,0,0,0
34454333,5.0982423,0.0,0,1,0,1,0,0,0
34954425,4.9870605,0.0,0,1,0,1,0,0,0
35454319,5.077295,0.0,0,1,0,1,0,0,0
35954500,5.0321774,0.0,0,1,0,1,0,0,0
36454319,5.064404,0.0,0,1,0,1,0,0,0
36954378,5.08374,0.0,0,1,0,1,0,0,0
37954764,5.0869627,0.0,0,1,0,1,0,0,0
38455153,5.062793,0.0,0,1,0,1,0,0,0
39954326,5.0998535,0.0,0,1,0,1,0,0,0
40454389,5.078906,0.0,0,1,0,1,0,0,0
41454358,5.078906,0.0,0,1,0,1,0,0,0
42954404,5.0805173,0.0,0,1,0,1,0,0,0
43954651,5.040234,0.0,0,1,0,1,0,0,0
45454325,4.9967284,0.0,0,1,0,1,0,0,0
46954512,5.0515137,0.0,0,1,0,1,0,0,0
47455172,5.0499024,0.0,0,1,0,1,0,0,0
49954319,5.0950193,0.0,0,1,0,1,0,0,0
51954374,5.0466795,0.0,0,1,0,1,0,0,0
53954455,5.0273438,0.0,0,1,0,1,0,0,0
54454607,5.069238,0.0,0,1,0,1,0,0,0
54954316,5.033789,0.0,0,1,0,1,0,0,0
55954323,5.053125,0.0,0,1,0,1,0,0,0
57954682,5.064404,0.0,0,1,0,1,0,0,0
58954996,5.069238,0.0,0,1,0,1,0,0,0
60454316,5.0015626,0.0,0,1,0,1,0,0,0
60954333,5.064404,0.0,0,1,0,1,0,0,0
62454373,5.0756836,0.0,0,1,0,1,0,0,0
62954332,5.0805173,0.0,0,1,0,1,0,0,0
63454319,5.067627,0.0,0,1,0,1,0,0,0
64454375,5.078906,0.0,0,1,0,1,0,0,0
65954365,5.004785,0.0,0,1,0,1,0,0,0
67954976,5.0450683,0.0,0,1,0,1,0,0,0
68455231,5.0853515,0.0,0,1,0,1,0,0,0
68955489,5.077295,0.0,0,1,0,1,0,0,0
69455646,5.0482907,0.0,0,1,0,1,0,0,0
70454323,5.0901856,0.0,0,1,0,1,0,0,0
70954324,5.054736,0.0,0,1,0,1,0,0,0
71954334,5.0724607,0.0,0,1,0,1,0,0,0
72454378,5.0595703,0.0,0,1,0,1,0,0,0
72954317,5.0273438,0.0,0,1,0,1,0,0,0
73454331,5.08374,0.0,0,1,0,1,0,0,0
73954321,5.062793,0.0,0,1,0,1,0,0,0
76454381,5.019287,0.0,0,1,0,1,0,0,0
76954378,5.0563474,0.0,0,1,0,1,0,0,0
77454368,5.043457,0.0,0,1,0,1,0,0,0
77954324,5.0466795,0.0,0,1,0,1,0,0,0
78454321,5.062793,0.0,0,1,0,1,0,0,0
78954470,5.0466795,0.0,0,1,0,1,0,0,0
79454927,5.0515137,0.0,0,1,0,1,0,0,0
80954364,4.9838376,0.0,0,1,0,1,0,0,0
81454373,5.0321774,0.0,0,1,0,1,0,0,0
82454457,5.0466795,0.0,0,1,0,1,0,0,0
82954325,5.08374,0.0,0,1,0,1,0,0,0
83954320,5.064404,0.0,0,1,0,1,0,0,0
84954707,5.0482907,0.0,0,1,0,1,0,0,0
85454334,5.082129,0.0,0,1,0,1,0,0,0
86954706,5.067627,0.0,0,1,0,1,0,0,0
87454712,5.077295,0.0,0,1,0,1,0,0,0
89456185,4.9918942,0.0,0,1,0,1,0,0,0
89954319,4.9467773,0.0,0,1,0,1,0,0,0
90454316,5.067627,0.0,0,1,0,1,0,0,0
93454384,4.964502,0.0,0,1,0,1,0,0,0
