timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
3333031,3.5303834e-05,0.005131969,-0.0016610781,5002,0,-0.23138383,-0.2186947,-9.773133,5002,0
3338033,0.0033555848,0.0046130554,-0.00070530537,5002,0,-0.23005553,-0.24028036,-9.766853,5002,0
3343039,0.0035543852,0.004108312,-0.0009853664,5006,0,-0.20133509,-0.21750224,-9.751989,5006,0
3348037,-0.0005067637,0.0056612226,-0.0027129888,4998,0,-0.21475306,-0.21090072,-9.772829,4998,0
3353039,-0.0017622837,0.005009669,-0.002055142,5002,0,-0.22306377,-0.25585172,-9.786456,5002,0
3358042,-0.0031621975,0.0034690336,-0.0016839178,5003,0,-0.22060463,-0.24185632,-9.750069,5003,0
3363047,-0.003090064,0.0038248743,-0.0010527974,5005,0,-0.23853825,-0.21976894,-9.748433,5005,0
3368045,-0.0016340306,0.0040190313,-0.0013781076,4998,0,-0.263002,-0.21824658,-9.757426,4998,0
3373048,0.0009099601,0.0033388613,-0.0012090583,5003,0,-0.25283575,-0.19576296,-9.71332,5003,0
3378050,0.003004095,0.0024365943,-0.00191224,5002,0,-0.2633532,-0.19265343,-9.765453,5002,0
3383056,0.0014187142,0.0046814755,-0.0021000616,5006,0,-0.27504167,-0.21755302,-9.771727,5006,0
3388054,0.0016444079,0.0045639,-0.0022371113,4998,0,-0.25423396,-0.21867493,-9.762308,4998,0
3393056,0.0012868324,0.004468967,-0.0022152301,5002,0,-0.24080057,-0.23597069,-9.769315,5002,0
3398058,-0.0014420627,0.0048326747,-0.0014941664,5002,0,-0.2596048,-0.21284342,-9.792991,5002,0
3403064,-0.0017444766,0.0043471176,-0.00066108734,5006,0,-0.25035304,-0.21285583,-9.766748,5006,0
3408080,-0.0025045213,0.004039271,-0.0010184825,5016,0,-0.2342601,-0.2289972,-9.773662,5016,0
3413064,-0.00059797545,0.005317577,-0.0013240371,4984,0,-0.23291822,-0.22395279,-9.755125,4984,0
3418066,-0.000686261,0.0048889844,-0.0025403134,5002,0,-0.22800085,-0.22043581,-9.750198,5002,0
3423072,0.00031244796,0.0042425916,-0.0017788894,5006,0,-0.23885335,-0.22794262,-9.716908,5006,0
3428070,0.00050261756,0.004428693,-0.0015995322,4998,0,-0.25502047,-0.19817612,-9.739984,4998,0
3433072,0.0018793388,0.005213872,-0.0019507768,5002,0,-0.23612598,-0.22293632,-9.767064,5002,0
3438076,-2.8829458e-05,0.005459012,-0.0018276109,5004,0,-0.2519325,-0.24140872,-9.743123,5004,0
3443080,-0.0009444358,0.0045024925,-0.0015265569,5004,0,-0.22688003,-0.20248166,-9.7871275,5004,0
3483099,0.0018465845,0.003634744,-0.00051968783,5008,0,-0.2542053,-0.20212485,-9.753983,5008,0
3488095,0.001939871,0.0042218985,-0.001770014,4996,0,-0.23504584,-0.2102107,-9.743936,4996,0
3493124,0.001426979,0.0031852068,-0.0018576819,5029,0,-0.26264817,-0.20642726,-9.729832,5029,0
3498101,0.00030269555,0.0032147933,-0.0028934956,4977,0,-0.23626019,-0.19492799,-9.7797365,4977,0
3503102,-0.0029819799,0.0060018464,-0.002211211,5001,0,-0.2335107,-0.1930254,-9.760115,5001,0
3508103,-0.00118815,0.0045012357,-0.0014565614,5001,0,-0.2428401,-0.20003164,-9.80639,5001,0
3513105,0.0014401088,0.0037298978,-0.001900463,5002,0,-0.2521291,-0.22991341,-9.7884035,5002,0
