timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
10085851,0.99795383,0.009856165,-0.012442047,-0.061937142,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10090849,0.9979536,0.0098544685,-0.012443667,-0.061940957,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10095861,0.9979534,0.009861088,-0.012443001,-0.061942983,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10100857,0.9979533,0.009861601,-0.012445415,-0.061945513,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10105860,0.99795336,0.00985781,-0.012446037,-0.06194517,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10110858,0.9979531,0.009854508,-0.012447343,-0.061948065,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10115872,0.99795264,0.009855275,-0.012448214,-0.061955314,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10120877,0.99795234,0.009855223,-0.012448982,-0.061960034,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10125875,0.997952,0.0098566385,-0.01245315,-0.06196494,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10130866,0.9979516,0.009857345,-0.012455592,-0.061971202,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10135878,0.99795127,0.009861505,-0.01245981,-0.06197474,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10140871,0.99795115,0.00986419,-0.012460386,-0.06197691,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10165906,0.9979508,0.009855524,-0.012460526,-0.061982997,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10170883,0.99795073,0.009860835,-0.012460599,-0.061984416,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10175894,0.9979505,0.00985932,-0.012459934,-0.06198675,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10180888,0.99795055,0.00985663,-0.012459618,-0.061987296,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10185892,0.9979504,0.009850535,-0.01245913,-0.061991442,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10190891,0.9979503,0.009843538,-0.012459264,-0.061993647,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10195904,0.9979502,0.009843838,-0.0124594215,-0.061995625,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10200897,0.99795014,0.00984601,-0.012459696,-0.061996322,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10205900,0.9979498,0.009854328,-0.012460549,-0.06199951,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10210917,0.9979495,0.009852243,-0.012461944,-0.062003925,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10215902,0.9979495,0.009844982,-0.0124632865,-0.062005285,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10220907,0.9979495,0.009843935,-0.012461791,-0.06200481,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10255929,0.997948,0.009862165,-0.012471615,-0.062023874,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10260921,0.99794805,0.0098666735,-0.012470804,-0.062024094,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10265931,0.99794793,0.009863571,-0.01247173,-0.06202477,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10270926,0.997948,0.009858494,-0.012469442,-0.062025152,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10275938,0.99794805,0.009852695,-0.012470425,-0.06202528,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10280930,0.99794793,0.0098562315,-0.012471913,-0.06202623,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10285942,0.99794793,0.009863833,-0.012473185,-0.062025517,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10290934,0.9979479,0.0098671615,-0.012473164,-0.062025763,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10295946,0.99794793,0.009865545,-0.012472348,-0.062025063,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10300938,0.99794793,0.009864084,-0.0124735385,-0.06202534,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10305940,0.99794805,0.00985912,-0.012473174,-0.062023994,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10336007,0.9979475,0.009855268,-0.0124756005,-0.062032394,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10340957,0.99794763,0.009848911,-0.012472281,-0.062032703,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10345965,0.9979476,0.009849342,-0.012472097,-0.062033188,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10350964,0.99794745,0.009854182,-0.012472864,-0.0620345,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10355966,0.99794734,0.009856551,-0.0124732,-0.06203621,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10360964,0.99794734,0.009852421,-0.012473104,-0.06203688,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10365969,0.99794745,0.009852346,-0.012470993,-0.06203493,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10436005,0.9979473,0.009862894,-0.012461571,-0.06203906,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10441026,0.9979476,0.009865551,-0.0124595035,-0.062034126,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10446014,0.9979478,0.009863328,-0.012456863,-0.062031306,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10451010,0.997948,0.00985804,-0.012453637,-0.06202832,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10456026,0.99794817,0.009852521,-0.0124525055,-0.062026855,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10486037,0.9979487,0.009859201,-0.012440911,-0.06202002,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10491029,0.99794865,0.009862956,-0.0124396505,-0.0620204,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10496030,0.9979485,0.009858914,-0.0124376,-0.062022887,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10501023,0.9979486,0.009851519,-0.012435851,-0.062023308,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10506019,0.99794847,0.009847275,-0.012434316,-0.062026333,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10511057,0.9979485,0.009858547,-0.0124339005,-0.062024754,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
10516046,0.99794817,0.009877248,-0.012437024,-0.062025215,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
