timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
2956234,2955381,-0.08723657,0.0178681,-0.025546856
2958735,2957881,-0.11132746,0.015025772,-0.0329765
2961263,2960392,-0.11558293,0.017590165,-0.05440861
3021255,3020406,0.046692643,6.508844e-05,-0.009064681
3023763,3022907,0.045245085,-0.0012111661,0.014537299
3026288,3025412,0.046789203,-0.0018024159,0.016444303
3028774,3027908,0.053199887,0.0024559158,0.0071464367
3031267,3030419,0.055722952,-0.00079316343,-0.0025483875
3033759,3032908,0.040245555,-0.009127073,-0.0116514005
3036263,3035412,0.028826658,-0.013013224,-0.021310374
3038770,3037912,0.040042073,-0.013853796,-0.031131133
3041262,3040413,0.028266557,-0.0128567945,-0.035113953
3043785,3042916,-0.029260779,-0.012226632,-0.043834485
3046298,3045417,-0.090029955,-0.018707257,-0.050996892
3048829,3047969,-0.11322286,-0.02443043,-0.03856595
3051269,3050419,-0.111476615,-0.011482257,-0.025886016
3053771,3052917,-0.08726213,0.012830107,-0.024398379
3056266,3055418,-0.070583895,0.028806949,-0.03375402
3058779,3057921,-0.0586763,0.040952705,-0.029967712
3061268,3060422,-0.017907431,0.048998702,-0.0051165023
3063801,3062921,0.033128962,0.047735967,0.022289319
3066292,3065425,0.040864382,0.041744564,0.04267951
3068772,3067918,0.027090145,0.032097757,0.046032667
3071402,3070450,0.032489713,0.017111765,0.04236405
3073835,3072930,0.04613924,0.0028647557,0.052773975
3076351,3075443,0.047727074,-0.0062355623,0.06546748
3078819,3077927,0.03143004,-0.013727634,0.06841495
3081310,3080444,0.002448497,-0.019818818,0.05498545
3083798,3082934,-0.006786984,-0.019614626,0.037113857
3086295,3085434,0.0025436806,-0.023471378,0.020942464
3088807,3087933,-0.007206168,-0.036159094,0.016773915
3091316,3090434,-0.032323614,-0.039840013,0.017823087
3093806,3092943,-0.030016081,-0.028272822,0.007678493
3096293,3095438,-0.004254397,-0.0128916325,-0.00062477
3098831,3097935,0.0107048955,0.004861191,0.009495146
3101334,3100477,0.0023615435,0.0070244875,0.019558873
3103807,3102937,-0.013795819,-0.014651483,0.013696404
3106303,3105442,-0.0140556395,-0.030520799,0.0016823292
3108808,3107943,0.0001340801,-0.033518303,-0.0061382665
3111295,3110440,0.018047988,-0.024516312,-0.009992929
3113814,3112947,0.029240746,-0.008815802,-0.015809173
3116297,3115445,0.031737857,-0.0031569153,-0.023581747
3118800,3117943,0.022437599,0.00064182223,-0.02050979
3121319,3120447,0.0010719136,0.015739873,-0.0039453357
3123833,3122945,3.784197e-05,0.03244269,0.014149076
3126311,3125450,0.030821705,0.033914454,0.023305
3128803,3127947,0.050091855,0.022482097,0.02595838
3131306,3130451,0.036172092,0.02200882,0.027935494
3133807,3132957,0.028104031,0.030440794,0.023874896
3136307,3135453,0.023440385,0.022987923,0.007959665
3148805,3147955,-0.04528159,-0.0049592834,-0.062890194
3151339,3150463,-0.022714367,0.011720071,-0.05208012
3153845,3152991,-0.016368568,0.01414833,-0.043077864
3156334,3155459,-0.007728164,0.016883995,-0.045599196
3158808,3157957,0.018334517,0.019410696,-0.032290947
3161397,3160470,0.035323225,0.016813282,-0.00884534
3163836,3162958,0.033131167,0.0088816285,0.0065289903
3166331,3165466,0.013857694,-0.0013990263,0.013174798
3168813,3167963,-0.0056332117,-0.0055737626,0.02126004
3171323,3170465,-0.0028972446,-0.0058239303,0.03067353
3173841,3172968,-0.0009124917,-0.009376666,0.030012084
3176324,3175467,-0.01229497,-0.007221756,0.025059994
3178873,3177974,-0.022457315,0.006328127,0.024474986
3181329,3180469,-0.032395653,0.018937577,0.020088153
3183854,3182978,-0.040210266,0.023445645,0.010542198
3186347,3185490,-0.040860504,0.026898984,0.0074186963
3188862,3188002,-0.028729722,0.029535938,0.012276858
3191330,3190476,-0.009883351,0.026988216,0.020203706
3193859,3192999,0.0063361917,0.013453976,0.024670223
3196328,3195475,0.015729822,-0.0069663003,0.026388947
3198857,3197997,0.006644813,-0.01610335,0.023033293
3201392,3200480,-0.01066602,-0.010409208,0.009613664
3203886,3203002,-0.011596065,-0.0050340164,-0.00533701
3206338,3205483,0.0062163947,-0.0085742865,-0.011575605
3208861,3208007,0.017436009,-0.017455105,-0.009667961
3211335,3210481,0.01683952,-0.024546787,-0.0038750682
3213871,3213012,0.023552854,-0.018988347,0.002617574
3216349,3215486,0.047358546,-0.008075667,0.013492273
3218913,3218017,0.06915474,-0.0029818146,0.015817903
3221345,3220485,0.068881266,0.0016924562,0.0025284013
3223890,3223033,0.048483405,0.0051434734,-0.008958953
3226348,3225491,0.040913943,0.0013937632,-0.014585021
3228846,3227996,0.047832813,0.0070559303,-0.017022476
3231356,3230492,0.06872294,0.017086748,-0.008502283
3233848,3232997,0.07880847,0.009761785,-0.0049550636
3236345,3235491,0.06101526,-0.0064927447,-0.018974297
3276362,3275515,0.014783609,-0.038215604,-0.030523375
3278870,3278012,0.0099416105,-0.022341486,-0.038586717
3281360,3280512,0.00015901169,-0.0064477324,-0.05392223
3283899,3283015,-0.0020478144,-0.0028343387,-0.055768892
3286373,3285512,0.0026181908,0.0060171387,-0.043875758
