timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
394713318,2162698,2162698,1114122,0,0,0.08564659,0.08564653,0.0,0.0,2162698,2162698,2228234,0,0,0.008747121,0.008747121,0.0,0.0,1,1,0,0,1,1,0,0
394913548,2162698,2162698,1114122,0,0,0.11646008,0.11646003,0.0,0.0,2162698,2162698,2228234,0,0,0.008956433,0.008956433,0.0,0.0,1,1,0,0,1,1,0,0
395113859,2162698,2162698,1114122,0,0,0.11515611,0.115156114,0.0,0.0,2162698,2162698,2228234,0,0,0.008727912,0.008727913,0.0,0.0,1,1,0,0,1,1,0,0
395313840,2162698,2162698,1114122,0,0,0.12300283,0.123002835,0.0,0.0,2162698,2162698,2228234,0,0,0.0096375365,0.0096375365,0.0,0.0,1,1,0,0,1,1,0,0
395514219,2162698,2162698,1114122,0,0,0.091928035,0.091927975,0.0,0.0,2162698,2162698,2228234,0,0,0.008468666,0.008468666,0.0,0.0,1,1,0,0,1,1,0,0
395714158,2162698,2162698,1114122,0,0,0.11636656,0.11636658,0.0,0.0,2162698,2162698,2228234,0,0,0.008563302,0.008563302,0.0,0.0,1,1,0,0,1,1,0,0
395914432,2162698,2162698,1114122,0,0,0.12022669,0.12022672,0.0,0.0,2162698,2162698,2228234,0,0,0.008937049,0.008937049,0.0,0.0,1,1,0,0,1,1,0,0
396114893,2162698,2162698,1114122,0,0,0.10062802,0.10062798,0.0,0.0,2162698,2162698,2228234,0,0,0.008522426,0.008522426,0.0,0.0,1,1,0,0,1,1,0,0
396314619,2162698,2162698,1114122,0,0,0.12606126,0.12606122,0.0,0.0,2162698,2162698,2228234,0,0,0.009441778,0.009441778,0.0,0.0,1,1,0,0,1,1,0,0
396514823,2162698,2162698,1114122,0,0,0.11542502,0.11542495,0.0,0.0,2162698,2162698,2228234,0,0,0.00995026,0.009950259,0.0,0.0,1,1,0,0,1,1,0,0
396714949,2162698,2162698,1114122,0,0,0.103654996,0.103655055,0.0,0.0,2162698,2162698,2228234,0,0,0.01029956,0.010299559,0.0,0.0,1,1,0,0,1,1,0,0
396915097,2162698,2162698,1114122,0,0,0.11661052,0.116610564,0.0,0.0,2162698,2162698,2228234,0,0,0.009236898,0.009236898,0.0,0.0,1,1,0,0,1,1,0,0
397115252,2162698,2162698,1114122,0,0,0.09894334,0.09894332,0.0,0.0,2162698,2162698,2228234,0,0,0.009691572,0.009691573,0.0,0.0,1,1,0,0,1,1,0,0
397315729,2162698,2162698,1114122,0,0,0.11789542,0.11789547,0.0,0.0,2162698,2162698,2228234,0,0,0.010617596,0.010617597,0.0,0.0,1,1,0,0,1,1,0,0
397715781,2162698,2162698,1114122,0,0,0.11633492,0.11633486,0.0,0.0,2162698,2162698,2228234,0,0,0.008516743,0.008516743,0.0,0.0,1,1,0,0,1,1,0,0
397910992,2162698,2162698,1114122,0,0,0.10679777,0.10679776,0.0,0.0,2162698,2162698,2228234,0,0,0.009935792,0.009935792,0.0,0.0,1,1,0,0,1,1,0,0
398111079,2162698,2162698,1114122,0,0,0.10754003,0.107540086,0.0,0.0,2162698,2162698,2228234,0,0,0.008820098,0.008820098,0.0,0.0,1,1,0,0,1,1,0,0
398311232,2162698,2162698,1114122,0,0,0.14241284,0.14241278,0.0,0.0,2162698,2162698,2228234,0,0,0.008378123,0.008378122,0.0,0.0,1,1,0,0,1,1,0,0
398511563,2162698,2162698,1114122,0,0,0.12754121,0.1275412,0.0,0.0,2162698,2162698,2228234,0,0,0.009395956,0.009395956,0.0,0.0,1,1,0,0,1,1,0,0
398711688,2162698,2162698,1114122,0,0,0.122627355,0.12262728,0.0,0.0,2162698,2162698,2228234,0,0,0.009667738,0.009667738,0.0,0.0,1,1,0,0,1,1,0,0
398911750,2162698,2162698,1114122,0,0,0.092055276,0.092055306,0.0,0.0,2162698,2162698,2228234,0,0,0.008592436,0.008592436,0.0,0.0,1,1,0,0,1,1,0,0
399111929,2162698,2162698,1114122,0,0,0.11493647,0.11493651,0.0,0.0,2162698,2162698,2228234,0,0,0.009691538,0.009691538,0.0,0.0,1,1,0,0,1,1,0,0
399512332,2162698,2162698,1114122,0,0,0.1015155,0.10151537,0.0,0.0,2162698,2162698,2228234,0,0,0.009367584,0.009367584,0.0,0.0,1,1,0,0,1,1,0,0
399712439,2162698,2162698,1114122,0,0,0.11845662,0.1184566,0.0,0.0,2162698,2162698,2228234,0,0,0.008780147,0.008780147,0.0,0.0,1,1,0,0,1,1,0,0
399912796,2162698,2162698,1114122,0,0,0.118000604,0.11800067,0.0,0.0,2162698,2162698,2228234,0,0,0.0079324795,0.0079324795,0.0,0.0,1,1,0,0,1,1,0,0
400513046,2162698,2162698,1114122,0,0,0.11274129,0.11274126,0.0,0.0,2162698,2162698,2228234,0,0,0.009564246,0.009564246,0.0,0.0,1,1,0,0,1,1,0,0
400713200,2162698,2162698,1114122,0,0,0.10476362,0.104763635,0.0,0.0,2162698,2162698,2228234,0,0,0.009697417,0.009697418,0.0,0.0,1,1,0,0,1,1,0,0
401113581,2162698,2162698,1114122,0,0,0.11389477,0.113894746,0.0,0.0,2162698,2162698,2228234,0,0,0.009413292,0.009413291,0.0,0.0,1,1,0,0,1,1,0,0
401313898,2162698,2162698,1114122,0,0,0.1125281,0.112528145,0.0,0.0,2162698,2162698,2228234,0,0,0.010123425,0.010123424,0.0,0.0,1,1,0,0,1,1,0,0
401513991,2162698,2162698,1114122,0,0,0.107810736,0.10781068,0.0,0.0,2162698,2162698,2228234,0,0,0.008460791,0.00846079,0.0,0.0,1,1,0,0,1,1,0,0
401714235,2162698,2162698,1114122,0,0,0.10546439,0.10546435,0.0,0.0,2162698,2162698,2228234,0,0,0.009050147,0.009050147,0.0,0.0,1,1,0,0,1,1,0,0
401914452,2162698,2162698,1114122,0,0,0.11224861,0.11224857,0.0,0.0,2162698,2162698,2228234,0,0,0.010141905,0.010141905,0.0,0.0,1,1,0,0,1,1,0,0
402114639,2162698,2162698,1114122,0,0,0.11410517,0.114105165,0.0,0.0,2162698,2162698,2228234,0,0,0.008489664,0.008489664,0.0,0.0,1,1,0,0,1,1,0,0
402314887,2162698,2162698,1114122,0,0,0.11106579,0.11106582,0.0,0.0,2162698,2162698,2228234,0,0,0.008863209,0.008863209,0.0,0.0,1,1,0,0,1,1,0,0
402514943,2162698,2162698,1114122,0,0,0.10761531,0.10761525,0.0,0.0,2162698,2162698,2228234,0,0,0.007516235,0.0075162346,0.0,0.0,1,1,0,0,1,1,0,0
402715230,2162698,2162698,1114122,0,0,0.116758615,0.11675863,0.0,0.0,2162698,2162698,2228234,0,0,0.008579027,0.008579027,0.0,0.0,1,1,0,0,1,1,0,0
402915052,2162698,2162698,1114122,0,0,0.11622538,0.11622537,0.0,0.0,2162698,2162698,2228234,0,0,0.009122464,0.009122464,0.0,0.0,1,1,0,0,1,1,0,0
403115241,2162698,2162698,1114122,0,0,0.08790789,0.08790785,0.0,0.0,2162698,2162698,2228234,0,0,0.009345903,0.009345904,0.0,0.0,1,1,0,0,1,1,0,0
403315632,2162698,2162698,1114122,0,0,0.111502975,0.111503035,0.0,0.0,2162698,2162698,2228234,0,0,0.009618184,0.009618184,0.0,0.0,1,1,0,0,1,1,0,0
