timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
394636029,394615079,1,6,0,0,0,0,0,0,0,0,0,0,0,0
395641653,395616510,1,6,0,0,0,0,0,0,0,0,0,0,0,0
396662431,396636617,1,6,0,0,0,0,0,0,0,0,0,0,0,0
397667454,397643910,1,6,0,0,0,0,0,0,0,0,0,0,0,0
398678536,398654518,1,6,0,0,0,0,0,0,0,0,0,0,0,0
399679420,399658988,1,6,0,0,0,0,0,0,0,0,0,0,0,0
400680728,400659893,1,6,0,0,0,0,0,0,0,0,0,0,0,0
401700839,401676726,1,6,0,0,0,0,0,0,0,0,0,0,0,0
402701651,402677996,1,6,0,0,0,0,0,0,0,0,0,0,0,0
403712580,403692280,1,6,0,0,0,0,0,0,0,0,0,0,0,0
404719599,404693112,1,6,0,0,0,0,0,0,0,0,0,0,0,0
405719995,405699886,1,6,0,0,0,0,0,0,0,0,0,0,0,0
406735665,406715594,1,6,0,0,0,0,0,0,0,0,0,0,0,0
407745653,407721514,1,6,0,0,0,0,0,0,0,0,0,0,0,0
408746410,408726332,1,6,0,0,0,0,0,0,0,0,0,0,0,0
409763067,409743219,1,6,0,0,0,0,0,0,0,0,0,0,0,0
410774482,410753982,1,6,0,0,0,0,0,0,0,0,0,0,0,0
411778868,411755339,1,6,0,0,0,0,0,0,0,0,0,0,0,0
412789731,412769630,1,6,0,0,0,0,0,0,0,0,0,0,0,0
413810735,413787299,1,6,0,0,0,0,0,0,0,0,0,0,0,0
414811554,414787934,1,6,0,0,0,0,0,0,0,0,0,0,0,0
415828112,415802244,1,6,0,0,0,0,0,0,0,0,0,0,0,0
416829183,416809045,1,6,0,0,0,0,0,0,0,0,0,0,0,0
417844270,417819680,1,6,0,0,0,0,0,0,0,0,0,0,0,0
418864958,418841005,1,6,0,0,0,0,0,0,0,0,0,0,0,0
419865719,419845473,1,6,0,0,0,0,0,0,0,0,0,0,0,0
420876373,420856258,1,6,0,0,0,0,0,0,0,0,0,0,0,0
421877356,421852987,1,6,0,0,0,0,0,0,0,0,0,0,0,0
422894344,422868063,1,6,0,0,0,0,0,0,0,0,0,0,0,0
423898977,423878688,1,6,0,0,0,0,0,0,0,0,0,0,0,0
424916078,424895912,1,6,0,0,0,0,0,0,0,0,0,0,0,0
425936411,425910638,1,6,0,0,0,0,0,0,0,0,0,0,0,0
426941580,426921410,1,6,0,0,0,0,0,0,0,0,0,0,0,0
427942149,427922109,1,6,0,0,0,0,0,0,0,0,0,0,0,0
428949269,428928857,1,6,0,0,0,0,0,0,0,0,0,0,0,0
429963693,429943497,1,6,0,0,0,0,0,0,0,0,0,0,0,0
430965325,430934339,1,6,0,0,0,0,0,0,0,0,0,0,0,0
431972059,431945948,1,6,0,0,0,0,0,0,0,0,0,0,0,0
