timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
416692418,1627401625200098,11010077,386218500,-91533072,52603,100829,1.6840001,0.6249179,5.8910003,13.297001,1.17,2.44,83,20,0.65500003,0.62100005,0.209,-0.057000004,3.6032524,0,nan,0.0,2574,3,0,1,8
417689534,1627401626200098,11010077,386218546,-91533088,52213,100439,1.5830001,0.7236236,5.9350004,13.426001,1.17,2.44,83,4,2.1950002,1.144,-1.8740001,-0.23500001,4.311669,0,nan,0.0,2574,3,0,1,8
418689737,1627401627200098,11010077,386218588,-91533070,53263,101488,1.7820001,0.723976,5.998,13.603001,1.17,2.44,83,4,1.8360001,1.8310001,0.136,-1.366,4.311669,0,nan,0.0,2574,3,0,1,8
420686463,1627401629200099,11010077,386218623,-91533076,53162,101388,1.4870001,0.72461915,6.0790005,13.931001,1.17,2.44,83,4,0.878,0.878,0.015000001,-0.17400001,4.311669,0,nan,0.0,2496,3,0,1,8
421689427,1627401630200099,11010077,386218599,-91533026,53654,101880,1.9890001,0.72493523,6.0950003,14.069,1.17,2.44,83,5,1.491,-1.4540001,0.33,0.446,4.311669,0,nan,0.0,2496,3,0,1,8
422688824,1627401631200099,11010077,386218549,-91533019,55110,103335,1.577,0.72524226,6.129,14.160001,1.17,2.44,83,23,0.19800001,-0.18300001,0.07700001,-0.80500007,4.311669,0,nan,0.0,2496,3,0,1,8
423693724,1627401632200099,11010077,386218564,-91532942,56114,104340,1.715,0.7853695,6.1460004,14.271001,1.17,2.44,83,5,1.988,0.149,1.983,-0.85300004,3.0149848,0,nan,0.0,2496,3,0,1,8
424690492,1627401633200099,11010077,386218565,-91532975,56978,105204,1.5940001,0.7856762,6.1720004,14.434001,1.17,2.44,83,4,1.4430001,0.94900006,-1.087,-1.6610001,3.0149848,0,nan,0.0,2496,3,0,1,8
425696024,1627401634200099,11010077,386218547,-91533021,54547,102772,1.7110001,0.78596765,6.1910005,14.51,1.17,2.44,83,20,1.1780001,0.23600002,-1.154,0.202,3.0149848,0,nan,0.0,2496,3,0,1,8
427697123,1627401636200099,11010077,386218971,-91533243,53262,101488,1.5100001,0.25283763,6.2530003,14.626,1.17,2.44,83,10,6.2200003,5.6860003,-2.5210001,1.1550001,5.876238,0,nan,0.0,2496,3,0,1,8
428697598,1627401637200099,11010077,386219575,-91533535,54427,102653,2.005,0.19005223,6.2700005,14.659,1.17,2.44,83,15,9.113001,8.185,-4.007,-1.478,5.827985,0,nan,0.0,2496,3,0,1,8
429692785,1627401638200099,11010077,386220336,-91534124,57919,106145,2.0300002,0.17041203,6.4150004,14.887001,1.17,2.44,83,13,10.929001,8.5130005,-6.854,-3.0110002,5.6053305,0,nan,0.0,2496,3,0,1,8
430694423,1627401639200099,11010077,386220959,-91534821,61431,109657,1.9030001,0.17653586,6.5610003,15.093,1.17,2.44,83,8,9.339001,7.7230005,-5.2510004,-3.3000002,5.686052,0,nan,0.0,2496,3,0,1,8
431691189,1627401640200100,11010077,386221678,-91535280,67234,115460,2.0340002,0.16217704,6.6050005,15.176001,1.17,2.44,83,21,10.759001,9.88,-4.26,-2.4840002,5.876139,0,nan,0.0,2496,3,0,1,8
432695841,1627401641200100,11010077,386222608,-91535799,70076,118302,1.5790001,0.11985909,6.5610003,15.193001,1.17,2.44,83,18,12.188001,11.195001,-4.8180003,-2.4420002,5.8767786,0,nan,0.0,2496,3,0,1,8
433691663,1627401642200100,11010077,386223728,-91536288,71365,119591,2.1780002,0.15881744,6.6000004,15.340001,1.17,2.44,83,7,12.499001,12.153001,-2.924,-1.6860001,6.047099,0,nan,0.0,2496,3,0,1,8
434688766,1627401643200100,11010077,386224855,-91536787,78060,126286,1.7680001,0.12766297,6.682,15.47,1.17,2.44,83,7,14.498001,13.266001,-5.8500004,-3.466,5.867822,0,nan,0.0,2496,3,0,1,8
435697450,1627401644200100,11010077,386226103,-91537428,82948,131174,1.909,0.13873954,6.7170005,15.545001,1.17,2.44,82,10,13.846001,13.116,-4.438,-1.5630001,5.9569407,0,nan,0.0,2496,3,0,1,8
436693453,1627401645200100,11010077,386227574,-91538155,83825,132051,1.595,0.09244432,6.7450004,15.559001,1.17,2.44,82,10,19.183,18.371,-5.5220003,0.66200006,5.9911847,0,nan,0.0,2496,3,0,1,8
437689182,1627401646200100,11010077,386229164,-91538468,88107,136334,1.9840001,0.1301485,6.8050003,15.644001,1.17,2.44,82,6,15.864,15.845001,-0.768,-6.42,6.234736,0,nan,0.0,2496,3,0,1,8
438692420,1627401647200100,11010077,386230346,-91538237,94083,142310,2.1000001,0.1037792,6.7860003,15.558001,1.17,2.44,82,27,16.493,16.126001,3.4600003,-5.545,0.21138084,0,nan,0.0,2496,3,0,1,8
439691415,1627401648200100,11010077,386231568,-91537518,94570,142797,2.167,0.10432059,6.78,15.555,1.17,2.44,82,8,16.730001,13.132001,10.365001,-2.23,0.6681946,0,nan,0.0,2496,3,0,1,8
440690296,1627401649200100,11010077,386232620,-91536233,92508,140734,1.9310001,0.11332335,6.7250004,15.468,1.31,2.44,82,32,15.346001,10.200001,11.465,-0.54300004,0.8437608,0,nan,0.0,2496,3,0,1,7
441688626,1627401650200100,11010077,386233486,-91534889,93113,141340,1.84,0.12197425,6.6910005,15.515,1.31,2.44,82,21,14.551001,9.369,11.134001,0.087000005,0.8712704,0,nan,0.0,2496,3,0,1,7
442692431,1627401651200101,11010077,386234246,-91533661,91291,139518,1.7780001,0.123752564,6.7390003,15.581,1.31,2.44,83,6,15.693001,9.632001,12.3880005,0.98100007,0.90990055,0,nan,0.0,2496,3,0,1,7
443694245,1627401652200101,11010077,386234966,-91531875,88325,136552,1.866,0.09407499,6.7860003,15.620001,1.31,2.44,83,9,19.783,5.116,19.11,0.99700004,1.3092421,0,nan,0.0,2496,3,0,1,7
444688720,1627401653200101,11010077,386234934,-91529562,87572,135799,1.8900001,0.121812105,6.742,15.423,1.31,2.44,83,6,20.207,-3.282,19.939001,-5.0330005,1.7339476,0,nan,0.0,2496,3,0,1,7
445695200,1627401654200101,11010077,386234529,-91527098,90492,138719,1.7310001,0.105237596,6.7230005,15.135001,1.17,2.44,83,27,23.077002,-6.202,22.228,-5.617,1.8428859,0,nan,0.0,2496,3,0,1,8
446690091,1627401655200101,11010077,386233772,-91524620,92387,140613,1.6730001,0.09067178,6.7530003,15.033001,1.3399999,2.55,83,7,24.488,-12.689,20.944,-1.3720001,2.1154914,0,nan,0.0,2496,3,0,1,7
447696010,1627401656200101,11010077,386232489,-91522269,92667,140894,1.817,0.08427426,6.7440004,14.908001,1.3399999,2.55,83,6,25.488,-16.132,19.734001,-1.6500001,2.2561057,0,nan,0.0,2496,3,0,1,7
448696538,1627401657200101,11010077,386230913,-91520067,92885,141112,1.58,0.07348133,6.6730003,14.678,1.17,2.4299998,83,15,26.738,-16.995,20.642,-1.6630001,2.2595873,0,nan,0.0,2496,3,0,1,8
449697229,1627401658200101,11010077,386228918,-91518037,92240,140467,1.8920001,0.0760522,6.6870003,14.607,1.17,2.4299998,83,9,29.034002,-25.077002,14.632001,-2.535,2.6134067,0,nan,0.0,2496,3,0,1,8
450697522,1627401659200101,11010077,386226800,-91516154,90256,138482,2.0630002,0.06941751,6.7580004,14.446001,1.17,2.4299998,83,8,29.818,-25.272001,15.827001,-2.278,2.582089,0,nan,0.0,2496,3,0,1,8
451698274,1627401660200101,11010077,386224467,-91514513,88238,136464,2.174,0.05686492,6.7500005,14.335001,1.17,2.4299998,83,16,28.418001,-25.462002,12.619,-1.2420001,2.6814637,0,nan,0.0,2496,3,0,1,8
452693499,1627401661200102,11010077,386222186,-91513047,87694,135920,2.055,0.05688918,6.728,14.338,1.17,2.4299998,83,8,29.44,-26.241001,13.348001,-0.89900005,2.6710346,0,nan,0.0,2496,3,0,1,8
453699612,1627401662200102,11010077,386219777,-91511651,87989,136215,2.088,0.0636265,6.7690005,14.378,1.17,2.4299998,83,9,29.141,-26.142002,12.877001,-0.827,2.6838806,0,nan,0.0,2496,3,0,1,8
454690830,1627401663200102,11010077,386217411,-91510358,88757,136983,2.0600002,0.056292627,6.8020005,14.356001,1.17,2.4299998,83,27,28.552002,-26.235,11.265,-0.70000005,2.7360113,0,nan,0.0,2496,3,0,1,8
455692056,1627401664200102,11010077,386215001,-91509323,88770,136995,2.079,0.045392524,6.7590003,14.215001,1.17,2.4299998,83,7,28.768002,-27.862001,7.163,-0.462,2.8899672,0,nan,0.0,2496,3,0,1,8
456701360,1627401665200102,11010077,386212406,-91508781,86192,134417,1.7800001,0.038147837,6.6610003,13.981001,1.17,2.4299998,83,7,30.251001,-30.157001,2.3820002,1.07,3.062785,0,nan,0.0,2496,3,0,1,8
457696578,1627401666200102,11010077,386209721,-91508825,82645,130871,1.7450001,0.039589826,6.5550003,13.6380005,1.17,2.4299998,83,28,28.942001,-28.887001,-1.7780001,1.6110001,3.203065,0,nan,0.0,2496,3,0,1,8
458692436,1627401667200102,11010077,386207130,-91509530,82599,130824,2.3140001,0.056370642,6.4760003,13.517,1.17,2.4299998,83,6,27.549002,-25.920002,-9.331,-5.1530004,3.4871569,0,nan,0.0,2496,3,0,1,8
459697452,1627401668200102,11010077,386205140,-91511343,85244,133469,2.1720002,0.0845352,6.5270004,13.542001,1.17,2.4299998,83,9,25.159,-18.381,-17.178001,-3.1840003,3.8931687,0,nan,0.0,2496,3,0,1,8
460694416,1627401669200102,11010077,386203650,-91513505,86284,134509,1.373,0.06617677,6.4290004,13.434001,1.17,2.4299998,83,8,24.665,-16.137001,-18.654001,0.61700004,3.999232,0,nan,0.0,2496,3,0,1,8
461693537,1627401670200103,11010077,386202375,-91515885,76017,124242,1.327,0.068594575,6.3480005,13.2560005,1.17,2.4299998,83,24,23.51,-10.097,-21.232,6.7060003,4.2684975,0,nan,0.0,2496,3,0,1,8
462694406,1627401671200103,11010077,386201710,-91518290,70290,118515,1.3330001,0.081459746,6.306,13.1640005,1.17,2.4299998,83,14,20.689001,-2.125,-20.579,4.2770004,4.6094913,0,nan,0.0,2496,3,0,1,8
463694434,1627401672200103,11010077,386202057,-91520341,70090,118315,1.6730001,0.08610722,6.2300005,13.077001,1.17,2.4299998,83,9,17.632,7.5010004,-15.957001,1.154,5.1518216,0,nan,0.0,2496,3,0,1,8
