timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
394699855,0.19570065,0.31819415,0.24196467,0
394900210,0.18815315,0.3192251,0.2434035,0
395509628,0.15665825,0.20536669,0.19281529,0
396710869,0.071190335,0.18651384,0.1401428,1
397702193,0.014032608,0.009599933,0.0155723,0
398702658,0.03816866,0.09548648,0.022005798,0
399703134,0.038728587,0.035757676,0.028732758,1
400703888,0.038728587,0.035757676,0.028732758,1
401705044,0.038728587,0.035757676,0.028732758,1
402696356,0.07403183,0.114509165,0.04387414,0
403697125,0.032973588,0.037994616,0.012072027,0
404698416,0.11749002,0.2953409,0.19157617,0
405708571,0.18214233,0.169821,0.20039627,0
406699217,0.17449686,0.07614813,0.19614822,1
407700000,0.028676301,0.008685676,0.03297837,0
408700774,0.02373699,0.11845085,0.0028006819,0
409701771,0.07389845,0.22606942,0.065882884,0
410702548,0.18450262,0.26565543,0.18192399,0
411703118,0.2320172,0.13874607,0.21706639,0
412703872,0.20273986,0.32943383,0.18732095,0
413704728,0.1965537,0.4071656,0.18255687,0
414696484,0.18864201,0.28678396,0.17732918,0
415706317,0.16479726,0.17949061,0.13376012,0
416697251,0.13377288,0.2730876,0.1108875,1
417698245,0.13377288,0.2730876,0.1108875,1
418698807,0.13377288,0.2730876,0.1108875,1
419699693,0.13377288,0.2730876,0.1108875,1
420700576,0.017410472,0.08969994,0.017137373,0
421701264,0.025713397,0.010206651,0.0253342,1
422702360,0.025713397,0.010206651,0.0253342,1
423702957,0.043141708,0.0015360358,0.062321693,0
424704154,0.043141708,0.0015360358,0.062321693,1
425714999,0.043141708,0.0015360358,0.062321693,1
426705566,0.043141708,0.0015360358,0.062321693,1
426905534,0.043141708,0.0015360358,0.062321693,1
562314933,0.043141708,0.0015360358,0.062321693,1
562515286,0.043141708,0.0015360358,0.062321693,1
563315585,0.043141708,0.0015360358,0.062321693,1
564316646,0.043141708,0.0015360358,0.062321693,1
616117400,0.043141708,0.0015360358,0.062321693,1
616317858,0.043141708,0.0015360358,0.062321693,1
616517402,0.043141708,0.0015360358,0.062321693,1
620519150,0.043141708,0.0015360358,0.062321693,1
620719955,0.043141708,0.0015360358,0.062321693,1
621520019,0.043141708,0.0015360358,0.062321693,1
622520229,0.043141708,0.0015360358,0.062321693,1
623520483,0.31649846,0.08664261,0.10885135,0
624521400,0.58494353,0.08756475,0.13492556,0
625312065,0.8511851,0.027814135,0.23629475,0
626322226,1.1143866,0.15748212,0.26126242,0
627322864,1.4062383,0.009574851,0.27661577,0
628322683,1.4586488,0.1910027,0.3033767,0
629513509,1.404242,0.36520132,0.29603463,0
630314082,1.375711,0.47139734,0.33747855,0
631515155,1.2712586,0.7493693,0.3458892,0
632315216,1.2183529,0.76321256,0.31537497,0
