timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
394709838,5.093408,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
395220294,5.115967,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
395708503,5.1788087,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
396208525,5.1481934,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
396708524,5.2335935,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
397208570,5.2029786,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
397708526,5.235205,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
398208639,5.1111326,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
398708531,5.2722654,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
399208521,5.1191893,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
399708525,5.240039,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
400208522,5.2368164,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
400708649,5.2110353,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
401208998,5.1095214,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
401708525,5.017676,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
402208533,5.177197,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
402708521,5.2029786,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
403208575,5.2094235,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
403708576,5.215869,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
404208585,5.091797,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
404708522,5.1691403,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
405208525,5.117578,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
405708800,5.067627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
406208556,5.219092,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
406709070,5.091797,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
407209510,5.0966306,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
407708525,5.069238,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
408208522,5.0611815,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
408708709,5.215869,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
409208552,5.1997557,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
409708529,5.196533,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
410208522,5.0966306,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
410708817,5.196533,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
411208530,5.1481934,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
411708482,5.215869,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
412208580,5.08374,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
412708537,5.2094235,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
413208884,5.1997557,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
413709250,5.0724607,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
414208521,5.0724607,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
414708577,5.2674317,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
415208529,5.08374,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
415708484,5.18042,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
416708964,5.196533,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
417208538,5.0982423,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
417708529,5.1014647,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
418209167,5.0966306,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
418708909,5.1868653,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
419209139,5.077295,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
419709930,5.1836424,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
420208522,4.995117,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
420708525,5.0869627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
421208526,5.0740724,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
421708579,5.206201,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
422208537,5.067627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
422708669,5.1997557,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
423208493,5.040234,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
423708530,5.024121,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
424208589,5.0756836,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
424708526,5.2029786,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
425208656,5.0708494,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
425709151,5.1933103,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
426208529,5.256152,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
426708533,5.038623,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
427208533,5.053125,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
427708532,5.157861,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
428208528,5.0660157,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
428708689,5.1933103,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
429209077,5.167529,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
429708536,5.0063963,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
430208592,5.053125,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
430713508,5.077295,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
431709719,5.2609863,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
432214870,5.067627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
432708530,5.091797,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
433208487,5.028955,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
433708549,5.054736,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
434208535,5.0740724,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
434708653,5.196533,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
435208485,5.08374,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
435708677,5.177197,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
436208533,5.0482907,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
436708522,5.0869627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
437218597,5.062793,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
437718984,5.190088,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
438209541,5.064404,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
438719654,5.196533,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
439209957,5.1755857,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
439720637,5.038623,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
440208498,5.177197,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
440708529,5.280322,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
441208525,5.190088,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
441708522,5.206201,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
442208590,5.1933103,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
442708581,5.1739745,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
443212745,5.0515137,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
443708527,5.2674317,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
444208541,5.1353025,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
444708611,5.0370116,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
445214156,5.08374,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
445713963,5.1997557,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
446214789,5.077295,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
446709641,5.151416,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
447215313,5.0708494,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
447708534,5.104687,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
448208559,5.017676,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
448708636,5.2029786,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
449208526,5.077295,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
449708525,5.0482907,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
450208640,5.057959,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
450708522,5.190088,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
451208656,5.038623,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
451708537,5.2239256,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
452208501,5.1353025,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
452708537,5.1336913,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
453219259,4.9773927,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
453718886,5.0805173,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
454219506,5.091797,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
454719338,5.177197,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
455209787,5.1836424,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
455720073,5.0515137,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
456220655,5.077295,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
456720917,4.999951,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
457210651,5.0450683,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
457721242,5.1739745,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
458221970,4.9838376,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
458711652,5.067627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
459222356,5.127246,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
459712088,5.08374,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
460209002,5.0611815,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
460708522,5.2142577,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
461213130,5.08374,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
461708592,5.2142577,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
462208792,5.0869627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
462713834,5.0901856,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
463208947,5.0869627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
463709645,5.1836424,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
464209765,5.0869627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
464714831,5.077295,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
465208582,5.0354004,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
465708490,5.2029786,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
466208533,5.2110353,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
466708526,5.0869627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
467208548,5.08374,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
467708522,5.0901856,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
468208527,5.201367,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
468708648,5.0901856,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
469208818,5.088574,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
469708984,5.20459,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
470208532,5.2239256,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
470708528,5.0740724,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
471208583,5.1852536,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
471708502,5.0805173,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
472209022,5.093408,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
472719169,5.196533,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
473209523,5.0966306,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
473719980,5.2513185,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
474220080,5.067627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
474709997,5.2078123,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
475220594,5.0869627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
475720932,5.20459,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
476210893,5.0966306,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
476721338,5.1981444,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
477221448,5.057959,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
477711829,5.18042,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
478212005,5.0869627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
478708780,5.1788087,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
479208966,5.0112305,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
479712895,5.206201,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
480213041,5.190088,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
480708576,5.190088,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
481213473,5.1868653,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
481713954,5.0660157,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
482209158,5.0740724,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
482714077,5.069238,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
483209227,5.0611815,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
483709935,5.08374,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
484215066,5.1997557,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
484708531,5.106299,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
485208585,5.0257325,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
485708572,5.177197,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
486208560,5.0708494,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
486708597,5.077295,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
487208537,5.1626954,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
487708525,5.0257325,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
488208525,5.0611815,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
488708779,5.0660157,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
489208843,5.143359,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
489708555,5.1498046,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
490208530,5.028955,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
490708577,5.122412,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
491208546,5.08374,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
491718896,5.077295,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
492208886,5.0740724,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
492719195,5.1852536,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
493209718,5.077295,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
493720111,5.1385255,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
494209972,5.1739745,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
494720246,5.0869627,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
495210710,5.0515137,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
495710529,5.1836424,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
496210858,5.082129,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
496721299,5.191699,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
497211264,5.077295,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
497711984,5.264209,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
498221963,5.08374,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
