timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
394676211,394676192,1114122,0.52984,0.4484,0.04136,52.375,0,0
394686792,394686763,1114122,0.53,0.44847998,0.0412,52.375,0,0
394781213,394781194,1114122,0.53288,0.45224,0.038399998,52.5,0,0
394875950,394875925,1114122,0.53047997,0.44928,0.04088,52.625,0,0
394979663,394979645,1114122,0.53231996,0.4504,0.03824,52.5,0,0
395084667,395084648,1114122,0.53064,0.45248,0.03992,52.375,0,0
395189666,395189648,1114122,0.5324,0.45264,0.03776,52.5,0,0
395276173,395276148,1114122,0.52871996,0.45064,0.039839998,52.375,0,0
395484709,395484690,1114122,0.52992,0.44816,0.04216,52.5,0,0
395578950,395578916,1114122,0.5308,0.44919997,0.04264,52.5,0,0
395683937,395683916,1114122,0.52959996,0.44496,0.04008,52.375,0,0
395777711,395777677,1114122,0.5324,0.45095998,0.04112,52.625,0,0
395882662,395882644,1114122,0.5304,0.45016,0.04264,52.5,0,0
395978258,395978233,1114122,0.52832,0.44392,0.02536,52.5,0,0
396083213,396083195,1114122,0.53072,0.45312,0.044,52.5,0,0
396179358,396179337,1114122,0.53231996,0.45119998,0.04336,52.5,0,0
396274572,396274543,1114122,0.53064,0.45288,0.03032,52.25,0,0
396380369,396380350,1114122,0.53104,0.44623998,0.032959998,52.5,0,0
396474871,396474844,1114122,0.52976,0.44976,0.04336,52.375,0,0
396579855,396579837,1114122,0.53271997,0.44759998,0.034959998,52.375,0,0
396684735,396684716,1114122,0.53064,0.45112,0.043679997,52.375,0,0
396778346,396778321,1114122,0.5316,0.45231998,0.04104,52.375,0,0
396873892,396873873,1114122,0.53095996,0.44864,0.0436,52.5,0,0
396980962,396980944,1114122,0.53128,0.44799998,0.04232,52.375,0,0
397077758,397077732,1114122,0.53104,0.45272,0.04384,52.375,0,0
397277755,397277737,1114122,0.53088,0.4524,0.0424,52.5,0,0
397679212,397679193,1114122,0.53088,0.45007998,0.044639997,52.375,0,0
397784253,397784226,1114122,0.53208,0.44832,0.04288,52.25,0,0
397878710,397878691,1114122,0.53047997,0.45064,0.04144,52.375,0,0
397983420,397983395,1114122,0.532,0.45152,0.040239997,52.375,0,0
398078570,398078536,1114122,0.52992,0.44952,0.04392,52.375,0,0
398182159,398182141,1114122,0.53328,0.45207998,0.04152,52.25,0,0
398276658,398276637,1114122,0.53104,0.45031998,0.04296,52.375,0,0
398383761,398383730,1114122,0.53256,0.44912,0.0424,52.5,0,0
398478840,398478809,1114122,0.53016,0.44663998,0.044719998,52.25,0,0
398583893,398583868,1114122,0.53336,0.44904,0.042719997,52.375,0,0
398679908,398679867,1114122,0.53112,0.45303997,0.043679997,52.375,0,0
398782765,398782747,1114122,0.53192,0.45192,0.04264,52.375,0,0
398877301,398877273,1114122,0.53112,0.4484,0.04352,52.375,0,0
398982269,398982239,1114122,0.5316,0.44983998,0.042239998,52.5,0,0
399077821,399077791,1114122,0.53032,0.44895998,0.04056,52.375,0,0
399181856,399181833,1114122,0.53152,0.44832,0.03944,52.375,0,0
399381987,399381969,1114122,0.53208,0.44904,0.03872,52.375,0,0
399474712,399474694,1114122,0.52928,0.4472,0.03768,52.25,0,0
399579809,399579780,1114122,0.53264,0.44415998,0.0348,52.5,0,0
399684859,399684834,1114122,0.53216,0.44783998,0.04016,52.375,0,0
399779799,399779780,1114122,0.53279996,0.44847998,0.038879998,52.375,0,0
399884894,399884876,1114122,0.5304,0.4472,0.04184,52.375,0,0
400177768,400177743,1114122,0.5324,0.44608,0.03872,52.375,0,0
400377803,400377773,1114122,0.528,0.43807998,0.02808,52.375,0,0
400474310,400474291,1114122,0.53072,0.44687998,0.03632,52.375,0,0
400580488,400580469,1114122,0.53231996,0.44847998,0.03864,52.375,0,0
400675699,400675674,1114122,0.532,0.4468,0.04168,52.5,0,0
400780726,400780697,1114122,0.53312,0.44711998,0.04288,52.375,0,0
401077051,401077027,1114122,0.53264,0.44808,0.04408,52.375,0,0
401184115,401184092,1114122,0.53424,0.45183998,0.03816,52.5,0,0
401278601,401278583,1114122,0.5312,0.44783998,0.04352,52.375,0,0
401384682,401384663,1114122,0.53296,0.44735998,0.043759998,52.375,0,0
401480226,401480197,1114122,0.53152,0.44864,0.04288,52.5,0,0
401576281,401576262,1114122,0.53367996,0.44976,0.04248,52.375,0,0
401681465,401681424,1114122,0.53192,0.45104,0.04184,52.375,0,0
401777389,401777362,1114122,0.53192,0.4484,0.04408,52.375,0,0
401881598,401881580,1114122,0.53007996,0.45007998,0.04,52.375,0,0
401976567,401976549,1114122,0.53304,0.45104,0.0416,52.375,0,0
402081652,402081627,1114122,0.53143996,0.44928,0.04088,52.375,0,0
402175309,402175291,1114122,0.53192,0.452,0.04216,52.25,0,0
402281933,402281914,1114122,0.5312,0.44944,0.04336,52.375,0,0
402377980,402377962,1114122,0.53256,0.44856,0.039279997,52.375,0,0
402482058,402482040,1114122,0.5312,0.44871998,0.04536,52.375,0,0
402577059,402577040,1114122,0.53304,0.45119998,0.04336,52.5,0,0
402682149,402682128,1114122,0.53279996,0.4472,0.04136,52.5,0,0
402778008,402777990,1114122,0.53216,0.44944,0.04248,52.375,0,0
402978666,402978634,1114122,0.5324,0.44759998,0.04352,52.375,0,0
403083560,403083541,1114122,0.53055996,0.45112,0.04456,52.375,0,0
403180217,403180187,1114122,0.53168,0.45128,0.043759998,52.375,0,0
403285328,403285304,1114122,0.53112,0.45255998,0.04304,52.25,0,0
403380274,403380255,1114122,0.53256,0.45136,0.04392,52.375,0,0
403475488,403475464,1114122,0.53104,0.45112,0.041759998,52.5,0,0
403581265,403581247,1114122,0.53328,0.44735998,0.03696,52.25,0,0
403678019,403678001,1114122,0.52976,0.45024,0.045119997,52.375,0,0
403783106,403783088,1114122,0.5316,0.44952,0.043759998,52.25,0,0
403878162,403878144,1114122,0.52992,0.45024,0.045199998,52.375,0,0
403983357,403983317,1114122,0.53264,0.45248,0.04088,52.375,0,0
