timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
394701447,394701447,43,0,0,16350,1517,1605,1107,1523,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
395221933,395221933,43,0,0,16350,1517,1605,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
395706101,395706101,42,0,0,16351,1518,1604,1107,1524,2074,1010,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
396206218,396206218,42,0,0,16351,1518,1604,1107,1524,2074,1010,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
396706932,396706932,42,0,0,16350,1517,1605,1106,1524,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
397202854,397202854,42,0,0,16351,1517,1605,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
397693172,397693172,42,0,0,16350,1518,1604,1107,1524,2074,1010,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
398197817,398197817,42,0,0,16351,1517,1605,1106,1524,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
398698290,398698290,43,0,0,16350,1517,1605,1107,1523,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
399199493,399199493,43,0,0,16350,1517,1605,1106,1524,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
399704912,399704912,43,0,0,16350,1517,1605,1106,1524,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
400199366,400199366,43,0,0,16350,1518,1604,1107,1524,2074,1010,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
400705752,400705752,43,0,0,16350,1517,1605,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
401206323,401206323,43,0,0,16351,1517,1605,1106,1524,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
401700722,401700722,43,0,0,16350,1517,1605,1107,1523,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
402211038,402211038,42,0,0,16350,1517,1605,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
402701577,402701577,42,0,0,16350,1517,1605,1106,1524,2074,1010,1003,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
403207782,403207782,42,0,0,16350,1517,1605,1106,1524,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
403712508,403712508,42,0,0,16350,1518,1604,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
404202661,404202661,42,0,0,16350,1518,1604,1107,1524,2074,1010,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
404693112,404693112,42,0,0,16350,1518,1604,1107,1524,2074,1010,1002,1003,0,0,0,0,0,0,0,0,0,0,8,0,0,2
405203625,405203625,42,0,0,16350,1517,1605,1107,1523,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
405699886,405699886,42,0,0,16350,1517,1605,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
406204331,406204331,42,0,0,16350,1518,1604,1107,1524,2074,1010,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
406715594,406715594,42,0,0,16350,1517,1604,1107,1524,2074,1010,1002,1003,0,0,0,0,0,0,0,0,0,0,8,0,0,2
407205231,407205231,42,0,0,16350,1517,1605,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
407695796,407695796,42,0,0,16351,1518,1604,1107,1524,2074,1010,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
408201922,408201922,42,0,0,16351,1518,1604,1107,1524,2074,1010,1003,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
408706331,408706331,42,0,0,16351,1518,1605,1106,1524,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,8,0,0,2
