timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
394705951,394705935,2228234,0.031764995,0.03909538,0.018325958,51.0,0,1
394708110,394708094,2228234,0.03909538,0.036651917,0.015882498,51.0,0,1
394806769,394806753,2228234,0.048869222,0.028099803,0.030543266,51.0,0,1
394906861,394906845,2228234,0.03909538,0.01954769,0.029321535,51.0,0,1
395008372,395008348,2228234,0.036651917,0.03909538,0.029321535,51.0,0,1
395105989,395105973,2228234,0.06230826,0.020769421,0.029321535,51.0,0,1
395213553,395213537,2228234,0.046425764,0.018325958,0.026878074,51.0,0,1
395306548,395306529,2228234,0.006108653,0.015882498,0.025656343,51.0,0,1
395503779,395503758,2228234,0.057421338,0.031764995,0.015882498,51.0,0,1
395607597,395607581,2228234,0.051312685,0.028099803,0.034208458,51.0,0,1
395708945,395708926,2228234,0.03543019,0.017104229,0.028099803,51.0,0,1
395802756,395802740,2228234,0.041538842,0.025656343,0.02199115,51.0,0,1
395906605,395906576,2228234,0.036651917,0.020769421,0.03909538,51.0,0,1
396006673,396006656,2228234,0.048869222,0.026878074,0.025656343,51.0,0,1
396104399,396104356,2228234,0.03543019,0.030543266,0.03909538,51.0,0,1
396204366,396204350,2228234,0.03909538,0.014660767,0.029321535,51.0,0,1
396306913,396306897,2228234,0.048869222,0.041538842,0.024434611,51.0,0,1
396406982,396406966,2228234,0.0048869224,0.030543266,0.023212882,51.0,0,1
396503503,396503480,2228234,0.048869222,0.03909538,0.030543266,51.0,0,1
396607152,396607130,2228234,0.08185595,0.030543266,0.024434611,51.0,0,1
396707229,396707213,2228234,0.023212882,0.030543266,0.024434611,51.0,0,1
396807325,396807309,2228234,0.051312685,0.025656343,0.03909538,51.0,0,1
396906000,396905984,2228234,0.052534416,0.03543019,0.018325958,51.0,0,1
397007485,397007469,2228234,0.04276057,0.032986727,0.023212882,51.0,0,1
397107578,397107562,2228234,0.048869222,0.025656343,0.034208458,51.0,0,1
397306409,397306393,2228234,0.057421338,0.01954769,0.024434611,51.0,0,1
397706800,397706784,2228234,0.037873648,0.023212882,0.015882498,51.0,0,1
397808164,397808145,2228234,0.037873648,0.036651917,0.023212882,51.0,0,1
397905843,397905820,2228234,0.04031711,0.026878074,0.028099803,51.0,0,1
398007103,398007087,2228234,0.057421338,0.031764995,0.023212882,51.0,0,1
398108444,398108418,2228234,0.031764995,0.020769421,0.030543266,51.0,0,1
398207300,398207284,2228234,0.056199607,0.017104229,0.041538842,51.0,0,1
398306103,398306086,2228234,0.04276057,0.045204032,0.020769421,51.0,0,1
398406788,398406769,2228234,0.05864307,0.028099803,0.018325958,51.0,0,1
398508703,398508687,2228234,0.04031711,0.024434611,0.029321535,51.0,0,1
398603816,398603797,2228234,0.06230826,0.023212882,0.02199115,51.0,0,1
398706420,398706404,2228234,0.047647495,0.026878074,0.029321535,51.0,0,1
398807187,398807169,2228234,0.020769421,0.023212882,0.046425764,51.0,0,1
398904059,398904034,2228234,0.052534416,0.028099803,0.0012217306,51.0,0,1
399006676,399006659,2228234,0.053756148,0.041538842,0.0085521145,51.0,0,1
399106741,399106717,2228234,0.03543019,0.023212882,0.041538842,51.0,0,1
399206850,399206828,2228234,0.057421338,0.026878074,0.028099803,51.0,0,1
399406965,399406949,2228234,0.037873648,0.01954769,0.0598648,51.0,0,1
399507140,399507118,2228234,-0.012217306,0.032986727,0.031764995,51.0,0,1
399604608,399604592,2228234,0.06108653,0.013439037,0.0085521145,51.0,0,1
399703080,399703064,2228234,0.06230826,0.023212882,0.023212882,51.0,0,1
399807325,399807309,2228234,-0.006108653,0.015882498,0.032986727,51.0,0,1
399907422,399907405,2228234,0.06230826,0.009773845,0.056199607,51.0,0,1
400207639,400207620,2228234,0.06352999,0.026878074,0.051312685,51.0,0,1
400405259,400405242,2228234,0.03909538,0.012217306,0.0073303836,51.0,0,1
400506028,400506012,2228234,0.0598648,0.018325958,0.053756148,51.0,0,1
400606125,400606109,2228234,0.013439037,0.025656343,0.0073303836,51.0,0,1
400704081,400704065,2228234,0.024434611,0.030543266,0.010995575,51.0,0,1
400805605,400805582,2228234,0.09285153,0.017104229,0.0598648,51.0,0,1
401107340,401107324,2228234,0.06230826,0.03543019,0.02199115,51.0,0,1
401206728,401206712,2228234,0.04031711,0.04276057,0.0073303836,51.0,0,1
401306825,401306809,2228234,0.026878074,0.028099803,0.036651917,51.0,0,1
401406077,401406061,2228234,0.047647495,0.015882498,0.025656343,51.0,0,1
