timestamp,main_state_changes,main_state
394213772,0,0
395732529,0,0
396235781,0,0
396739055,0,0
397249525,0,0
397754076,0,0
398256923,0,0
398764628,0,0
399266480,0,0
399779045,0,0
400281577,0,0
400785297,0,0
401290569,0,0
401777151,0,0
402280526,0,0
402780901,0,0
403281228,0,0
403789516,0,0
404299656,0,0
404803620,0,0
405312734,0,0
405813701,0,0
406320816,0,0
406826518,0,0
407336738,0,0
407837390,0,0
408346482,0,0
409351928,0,0
409856478,0,0
410365523,0,0
410869342,0,0
411378730,0,0
411880635,0,0
412387033,0,0
412896634,0,0
413406478,0,0
413907611,0,0
414410336,0,0
414920939,0,0
415428816,0,0
415932483,0,0
416432664,0,0
417440506,0,0
417944746,0,0
418451706,0,0
418951749,0,0
419456093,0,0
419964608,0,0
420467148,0,0
420971271,0,0
421976646,0,0
422485544,0,0
422987228,0,0
423497366,0,0
423999873,0,0
424504708,0,0
425008820,0,0
425512494,0,0
426012501,0,0
426522318,0,0
427027826,0,0
427527853,0,0
428031085,0,0
428537522,0,0
429039193,0,0
429544530,0,0
430054028,0,0
430556528,0,0
431059674,0,0
431565197,0,0
432065390,0,0
432566924,0,0
433070920,0,0
433576452,0,0
434086912,0,0
434588677,0,0
435098244,0,0
435608174,0,0
436110802,0,0
436619429,0,0
437130022,0,0
437631824,0,0
438140815,0,0
438641521,0,0
439145279,0,0
439652598,0,0
440159777,0,0
440662588,0,0
441172749,0,0
441676778,0,0
442184598,0,0
442693986,0,0
443204446,0,0
443705592,0,0
444214564,0,0
444719221,0,0
445226742,0,0
445735968,0,0
446245715,0,0
446747645,0,0
447256562,0,0
447766923,0,0
448267724,0,0
448768769,0,0
449278209,0,0
449782161,0,0
450292360,0,0
450799909,0,0
451302890,0,0
451810512,0,0
452319734,0,0
452825218,0,0
453334232,0,0
454359940,0,0
454861485,0,0
455363005,0,0
455880561,0,0
456383756,0,0
456896057,0,0
457403888,0,0
457912904,0,0
458418018,0,0
458924561,0,0
459427300,0,0
459937750,0,0
460444535,0,0
460945649,0,0
461454504,0,0
461964890,0,0
462475857,0,0
462975971,0,0
463486110,0,0
463986258,0,0
464486805,0,0
464987046,0,0
465487284,0,0
465996884,0,0
467016945,0,0
467518121,0,0
468018864,0,0
468522520,0,0
469029143,0,0
469538312,0,0
470040611,0,0
470558929,0,0
471060336,0,0
471570495,0,0
472080583,0,0
472581731,0,0
473091785,0,0
473601585,0,0
474101993,0,0
474611900,0,0
475116909,0,0
475623696,0,0
476132742,0,0
476636893,0,0
477142368,0,0
477643620,0,0
478154489,0,0
478655655,0,0
479155744,0,0
479664095,0,0
480173940,0,0
480683981,0,0
481186476,0,0
481696793,0,0
482209997,0,0
482720031,0,0
483225374,0,0
483725721,0,0
484226837,0,0
