timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
16398423,0.0,1.0,0.0,0.0,0.0,0.0,0.0,241,1,1,255,190,0,1
109151509,0.0,1.0,0.0,0.0,0.0,0.0,0.0,241,1,1,255,190,0,1
401762428,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,255,190,0,1
697068601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,1,1,255,190,0,1
