timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
394213769,0,0,1,0,0,0,0,0
394716925,0,0,1,0,0,0,0,0
395732527,0,0,1,0,0,0,0,0
396235779,0,0,1,0,0,0,0,0
396739053,0,0,1,0,0,0,0,0
397249523,0,0,1,0,0,0,0,0
397754073,0,0,1,0,0,0,0,0
398764626,0,0,1,0,0,0,0,0
399266474,0,0,1,0,0,0,0,0
399779043,0,0,1,0,0,0,0,0
400281574,0,0,1,0,0,0,0,0
400785294,0,0,1,0,0,0,0,0
401290567,0,0,1,0,0,0,0,0
401776986,1,0,1,0,0,0,0,0
402280523,1,0,1,0,0,0,0,0
402780898,1,0,1,0,0,0,0,0
403281225,1,0,1,0,0,0,0,0
403789513,1,0,1,0,0,0,0,0
404299653,1,0,1,0,0,0,0,0
404803618,1,0,1,0,0,0,0,0
405312732,1,0,1,0,0,0,0,0
405813698,1,0,1,0,0,0,0,0
406320813,1,0,1,0,0,0,0,0
406826516,1,0,1,0,0,0,0,0
407336736,1,0,1,0,0,0,0,0
407837387,1,0,1,0,0,0,0,0
408346480,1,0,1,0,0,0,0,0
409351926,1,0,1,0,0,0,0,0
409856476,1,0,1,0,0,0,0,0
410365521,1,0,1,0,0,0,0,0
410869339,1,0,1,0,0,0,0,0
411378727,1,0,1,0,0,0,0,0
411880633,1,0,1,0,0,0,0,0
412387030,1,0,1,0,0,0,0,0
412896632,1,0,1,0,0,0,0,0
413406476,1,0,1,0,0,0,0,0
413907608,1,0,1,0,0,0,0,0
414410333,1,0,1,0,0,0,0,0
414920937,1,0,1,0,0,0,0,0
415428813,1,0,1,0,0,0,0,0
416432662,1,0,1,0,0,0,0,0
417440504,1,0,1,0,0,0,0,0
417944743,1,0,1,0,0,0,0,0
418451703,1,0,1,0,0,0,0,0
418951747,1,0,1,0,0,0,0,0
419456090,1,0,1,0,0,0,0,0
419964606,1,0,1,0,0,0,0,0
420467146,1,0,1,0,0,0,0,0
420971268,1,0,1,0,0,0,0,0
421976644,1,0,1,0,0,0,0,0
422485542,1,0,1,0,0,0,0,0
422987225,1,0,1,0,0,0,0,0
423497361,1,0,1,0,0,0,0,0
423999871,1,0,1,0,0,0,0,0
424504705,1,0,1,0,0,0,0,0
425008817,1,0,1,0,0,0,0,0
425512492,1,0,1,0,0,0,0,0
426012498,1,0,1,0,0,0,0,0
426522315,1,0,1,0,0,0,0,0
427027823,1,0,1,0,0,0,0,0
427527851,1,0,1,0,0,0,0,0
428031082,1,0,1,0,0,0,0,0
428537520,1,0,1,0,0,0,0,0
429039191,1,0,1,0,0,0,0,0
429544528,1,0,1,0,0,0,0,0
430054026,1,0,1,0,0,0,0,0
430556525,1,0,1,0,0,0,0,0
431059672,1,0,1,0,0,0,0,0
431565194,1,0,1,0,0,0,0,0
432065388,1,0,1,0,0,0,0,0
432566918,1,0,1,0,0,0,0,0
433070918,1,0,1,0,0,0,0,0
433576450,1,0,1,0,0,0,0,0
434086910,1,0,1,0,0,0,0,0
434588675,1,0,1,0,0,0,0,0
435098241,1,0,1,0,0,0,0,0
435608172,1,0,1,0,0,0,0,0
436110799,1,0,1,0,0,0,0,0
436619427,1,0,1,0,0,0,0,0
437130020,1,0,1,0,0,0,0,0
437631821,1,0,1,0,0,0,0,0
438140813,1,0,1,0,0,0,0,0
438641518,1,0,1,0,0,0,0,0
439145276,1,0,1,0,0,0,0,0
439652596,1,0,1,0,0,0,0,0
440159774,1,0,1,0,0,0,0,0
440662586,1,0,1,0,0,0,0,0
441172746,1,0,1,0,0,0,0,0
441676772,1,0,1,0,0,0,0,0
442184592,1,0,1,0,0,0,0,0
442693984,1,0,1,0,0,0,0,0
443204444,1,0,1,0,0,0,0,0
443705589,1,0,1,0,0,0,0,0
444214561,1,0,1,0,0,0,0,0
444719218,1,0,1,0,0,0,0,0
445226739,1,0,1,0,0,0,0,0
445735965,1,0,1,0,0,0,0,0
446245713,1,0,1,0,0,0,0,0
446747643,1,0,1,0,0,0,0,0
447256560,1,0,1,0,0,0,0,0
447766920,1,0,1,0,0,0,0,0
448267721,1,0,1,0,0,0,0,0
448768767,1,0,1,0,0,0,0,0
449278202,1,0,1,0,0,0,0,0
449782158,1,0,1,0,0,0,0,0
450292358,1,0,1,0,0,0,0,0
450799907,1,0,1,0,0,0,0,0
451302888,1,0,1,0,0,0,0,0
451810510,1,0,1,0,0,0,0,0
452319732,1,0,1,0,0,0,0,0
452825216,1,0,1,0,0,0,0,0
453334229,1,0,1,0,0,0,0,0
454359938,1,0,1,0,0,0,0,0
454861482,1,0,1,0,0,0,0,0
455362994,1,0,1,0,0,0,0,0
455880559,1,0,1,0,0,0,0,0
456383751,1,0,1,0,0,0,0,0
456896055,1,0,1,0,0,0,0,0
457403885,1,0,1,0,0,0,0,0
457912902,1,0,1,0,0,0,0,0
458418016,1,0,1,0,0,0,0,0
458924559,1,0,1,0,0,0,0,0
459427297,1,0,1,0,0,0,0,0
459937744,1,0,1,0,0,0,0,0
460444533,1,0,1,0,0,0,0,0
460945646,1,0,1,0,0,0,0,0
461454502,1,0,1,0,0,0,0,0
461964887,1,0,1,0,0,0,0,0
462475854,1,0,1,0,0,0,0,0
462975969,1,0,1,0,0,0,0,0
463486108,1,0,1,0,0,0,0,0
463986255,1,0,1,0,0,0,0,0
464486803,1,0,1,0,0,0,0,0
464987043,1,0,1,0,0,0,0,0
465487281,1,0,1,0,0,0,0,0
465996882,1,0,1,0,0,0,0,0
467016942,1,0,1,0,0,0,0,0
467518119,1,0,1,0,0,0,0,0
468018862,1,0,1,0,0,0,0,0
468522517,1,0,1,0,0,0,0,0
469029141,1,0,1,0,0,0,0,0
469538310,1,0,1,0,0,0,0,0
470040609,1,0,1,0,0,0,0,0
470558927,1,0,1,0,0,0,0,0
471060333,1,0,1,0,0,0,0,0
471570492,1,0,1,0,0,0,0,0
472080580,1,0,1,0,0,0,0,0
472581728,1,0,1,0,0,0,0,0
473091783,1,0,1,0,0,0,0,0
473601582,1,0,1,0,0,0,0,0
474101990,1,0,1,0,0,0,0,0
474611897,1,0,1,0,0,0,0,0
475116906,1,0,1,0,0,0,0,0
475623694,1,0,1,0,0,0,0,0
476132739,1,0,1,0,0,0,0,0
476636891,1,0,1,0,0,0,0,0
477142366,1,0,1,0,0,0,0,0
477643618,1,0,1,0,0,0,0,0
478154487,1,0,1,0,0,0,0,0
478655652,1,0,1,0,0,0,0,0
479155742,1,0,1,0,0,0,0,0
479664092,1,0,1,0,0,0,0,0
480173937,1,0,1,0,0,0,0,0
480683978,1,0,1,0,0,0,0,0
481186474,1,0,1,0,0,0,0,0
481696787,1,0,1,0,0,0,0,0
482209994,1,0,1,0,0,0,0,0
482720028,1,0,1,0,0,0,0,0
483225369,1,0,1,0,0,0,0,0
483725718,1,0,1,0,0,0,0,0
484226834,1,0,1,0,0,0,0,0
484727074,1,0,1,0,0,0,0,0
485227870,1,0,1,0,0,0,0,0
485738911,1,0,1,0,0,0,0,0
486248616,1,0,1,0,0,0,0,0
486748705,1,0,1,0,0,0,0,0
487258221,1,0,1,0,0,0,0,0
488279335,1,0,1,0,0,0,0,0
488789149,1,0,1,0,0,0,0,0
489299922,1,0,1,0,0,0,0,0
489800488,1,0,1,0,0,0,0,0
490301476,1,0,1,0,0,0,0,0
490810030,1,0,1,0,0,0,0,0
491310078,1,0,1,0,0,0,0,0
491814387,1,0,1,0,0,0,0,0
492324706,1,0,1,0,0,0,0,0
493340811,1,0,1,0,0,0,0,0
494352524,1,0,1,0,0,0,0,0
494856059,1,0,1,0,0,0,0,0
495362250,1,0,1,0,0,0,0,0
495862939,1,0,1,0,0,0,0,0
