timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
393704479,0.19800001,1.1730001,1032,0,1759,-10000,0,5000,0,0,0,0,0,0,0,0,0,0,0,1517,1604,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
395761685,0.20300001,1.286,1032,0,1759,-10000,0,5000,0,0,0,0,0,0,0,0,0,0,0,1517,1605,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
396787556,0.20300001,1.141,1032,0,1759,-10000,0,5000,0,0,0,0,0,0,0,0,0,0,0,1517,1605,1107,1523,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
397812839,0.20300001,1.319,1032,0,1759,-10000,0,5000,0,0,0,0,0,0,0,0,0,0,0,1517,1604,1107,1524,2074,1010,1002,1003,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
398833517,0.20500001,1.496,1032,0,1759,-10000,0,5000,0,0,0,0,0,0,0,0,0,0,0,1517,1605,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
399844367,0.2,1.302,1032,0,1759,-10000,0,5000,0,0,0,0,0,0,0,0,0,0,0,1517,1605,1107,1523,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
401825862,0.20500001,1.228,1032,0,1734,-10000,0,5000,0,0,0,0,0,0,0,0,0,0,0,1518,1604,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
402837343,0.19800001,1.455,1032,0,1734,-10000,0,5000,0,0,0,1500,1586,1000,1500,1750,1500,0,0,1517,1605,1107,1523,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
403852850,0.20500001,1.1930001,1032,0,1759,-10000,0,5000,0,0,0,1500,1587,1000,1500,1750,1500,0,0,1517,1605,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
404879103,0.19800001,1.2060001,1032,0,1759,-10000,0,5000,0,0,0,1500,1587,1000,1500,1750,1500,0,0,1518,1604,1107,1524,2074,1010,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
405905207,0.20300001,1.192,1032,0,1734,-10000,0,5000,0,0,0,1500,1586,1000,1500,1750,1500,0,0,1517,1605,1106,1524,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
406930882,0.19800001,1.1780001,1032,0,1734,-10000,0,5000,0,0,0,1500,1586,1000,1500,1750,1500,0,0,1518,1604,1106,1524,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
407950816,0.19800001,1.176,1032,0,1734,-10000,0,5000,0,0,0,1500,1586,1000,1500,1750,1500,0,0,1518,1604,1107,1524,2074,1010,1003,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
408971795,0.19800001,1.281,1032,0,1734,-10000,0,5000,0,0,0,1500,1586,1000,1500,1750,1500,0,0,1517,1605,1107,1523,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
409988586,0.2,1.2060001,1032,0,1734,-10000,0,5000,0,0,0,1500,1586,1000,1500,1750,1500,0,0,1517,1605,1106,1524,2074,1010,1002,1003,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
411004450,0.20300001,1.462,1032,0,1734,-10000,0,5000,0,0,0,1500,1586,1000,1500,1750,1500,0,0,1517,1605,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
412010210,0.20500001,1.496,1032,0,1759,-10000,0,5000,0,0,0,1500,1587,1000,1500,1750,1500,0,0,1517,1604,1107,1524,2074,1010,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
413035926,0.19800001,1.4430001,1032,0,1734,-10000,0,5000,0,0,0,1500,1586,1000,1500,1750,1500,0,0,1517,1605,1106,1524,2074,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
414057116,0.19800001,1.171,1032,0,1759,-10000,0,5000,0,0,0,1500,1587,1000,1500,1750,1500,0,0,1517,1598,1107,1524,2074,1010,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
415082996,0.20500001,1.542,1032,-1215,1709,-10000,0,5000,0,0,0,1439,1585,1000,1500,1750,1500,0,0,1559,1603,1107,1524,2073,1011,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
