timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
413213500,413212239,2162698,2162698,9.110664e-05,-3.352781e-05,3.5973313e-05,0.007834528,0.00079116854,-0.047870994,5004,5004,0,3
413713962,413712646,2162698,2162698,-4.0904893e-06,-2.8362929e-05,6.5189095e-05,0.0077181845,0.00045016813,-0.046778213,5004,5004,0,3
414214222,414213057,2162698,2162698,3.604454e-05,-2.6552032e-05,4.993165e-05,0.007827879,0.0006693268,-0.04784536,5008,5008,0,3
414714784,414713461,2162698,2162698,-2.509217e-05,-4.1871965e-05,8.4300234e-05,0.0076792985,0.0010318868,-0.048467007,5000,5000,0,3
415215083,415213875,2162698,2162698,6.5687396e-05,-3.8954004e-05,5.0589795e-05,0.0077888155,0.0010408526,-0.047940843,5011,5011,0,3
415715738,415714280,2162698,2162698,5.808219e-06,-3.659971e-05,0.00010230054,0.007939484,0.00087399356,-0.04778104,5008,5008,0,3
417216694,417215508,2162698,2162698,-4.5643843e-05,2.6357535e-05,-4.4726476e-05,0.007337135,0.00018353495,-0.047058724,5012,5012,0,3
417712068,417710921,2162698,2162698,-0.00014652585,-1.3913283e-05,-1.4669419e-05,0.0075015607,0.000402116,-0.047976434,5021,5021,0,3
418212432,418211319,2162698,2162698,-1.3344754e-06,3.9185845e-05,-3.5605357e-05,0.007665636,0.00072456757,-0.048282985,5011,5011,0,3
418712956,418711743,2162698,2162698,5.461979e-05,-4.749568e-05,4.266254e-05,0.007955704,0.00075917906,-0.048464116,5026,5026,0,3
419213208,419212130,2162698,2162698,0.00016225228,1.9827285e-05,0.0002324906,0.0075780805,0.0011409377,-0.04777307,5005,5005,0,3
420214025,420212947,2162698,2162698,-7.042846e-05,-3.0140205e-05,8.660057e-05,0.0077738543,0.00090496487,-0.047802255,5004,5004,0,3
420714450,420713367,2162698,2162698,8.389173e-05,-2.5902475e-05,3.1631127e-05,0.007537195,0.0011711722,-0.047710072,4997,4997,0,3
421214859,421213763,2162698,2162698,-0.00011781222,-2.4834655e-05,0.00010907461,0.007497815,0.0014254858,-0.048282314,5004,5004,0,3
421715264,421714171,2162698,2162698,0.0002547366,-4.9740232e-05,0.0001599777,0.0075401375,0.0018195871,-0.04800376,5004,5004,0,3
422215785,422214580,2162698,2162698,-0.000119455304,-8.519919e-06,2.4819943e-05,0.0076489258,0.00075855,-0.04865766,5004,5004,0,3
422716126,422714987,2162698,2162698,8.893269e-05,-1.4373921e-05,7.01326e-05,0.007605201,0.0009983015,-0.047798593,5003,5003,0,3
423216515,423215398,2162698,2162698,0.00014354162,-1.1232765e-05,0.00011644311,0.008080726,0.0012812377,-0.048218217,4990,4990,0,3
