timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
394698455,394680745,3997706,186.63759,51.969997,99103.25,1.1269724
394758791,394736103,3997706,186.44736,51.969997,99105.5,1.1273576
394809134,394788909,3997706,186.82785,51.969997,99100.99,1.1265874
394859396,394841723,3997706,186.61647,51.969997,99103.5,1.1266159
394919756,394897013,3997706,186.36281,51.96,99106.5,1.1270094
394970974,394950273,3997706,186.57419,51.969997,99104.0,1.126981
395021194,395003530,3997706,186.63759,51.969997,99103.25,1.1269724
395081604,395058839,3997706,186.48962,51.969997,99104.99,1.1269922
395131939,395111696,3997706,186.65874,51.96,99103.0,1.1269696
395182220,395164493,3997706,186.63759,51.96,99103.25,1.1269724
395242555,395219847,3997706,186.82785,51.96,99101.0,1.1269469
395293821,395273382,3997706,186.67989,51.969997,99102.75,1.1269667
395344092,395326416,3997706,186.2994,51.96,99107.24,1.1270179
395454736,395434516,3997706,186.4685,51.96,99105.25,1.1273547
395505012,395487346,3997706,186.55304,51.949997,99104.25,1.1269839
395565410,395542666,3997706,186.5319,51.96,99104.5,1.1269866
395616776,395596560,3997706,186.61647,51.949997,99103.5,1.1269753
395667045,395649380,3997706,186.61647,51.949997,99103.5,1.1269753
395727407,395704682,3997706,186.5319,51.949997,99104.5,1.1273462
395777832,395757445,3997706,186.70102,51.949997,99102.5,1.1273235
395827926,395810262,3997706,186.95467,51.949997,99099.5,1.1272893
395889280,395865778,3997706,186.74329,51.94,99101.99,1.1273177
395939511,395919296,3997706,186.65874,51.949997,99103.0,1.1269696
395989768,395972070,3997706,186.78558,51.949997,99101.49,1.1269525
396050012,396027330,3997706,186.63759,51.94,99103.25,1.1269724
396100285,396080080,3997706,186.63759,51.94,99103.25,1.127332
396150569,396132887,3997706,186.44736,51.94,99105.49,1.1273575
396210904,396188180,3997706,186.5319,51.94,99104.5,1.1269866
396262062,396241650,3997706,186.42621,51.94,99105.75,1.1270009
396312336,396294678,3997706,186.82785,51.94,99101.0,1.1273065
396372746,396349974,3997706,186.32051,51.94,99106.99,1.1273746
396422918,396402755,3997706,186.82785,51.94,99101.0,1.1273065
396533563,396510780,3997706,186.5319,51.94,99104.5,1.1269866
396584799,396564144,3997706,186.8067,51.94,99101.25,1.1269497
396635143,396617383,3997706,186.61647,51.94,99103.5,1.1269753
396695401,396672662,3997706,186.82785,51.94,99100.99,1.1269468
396745632,396725440,3997706,186.36281,51.93,99106.49,1.1270094
396795920,396778215,3997706,186.87012,51.93,99100.5,1.1269412
396856284,396833544,3997706,186.57419,51.93,99104.0,1.126981
396907613,396886863,3997706,186.8067,51.93,99101.25,1.1269497
396957866,396940165,3997706,186.76443,51.93,99101.74,1.1269553
397018121,396995445,3997706,186.51077,51.93,99104.75,1.1269895
397068436,397048203,3997706,186.72215,51.93,99102.25,1.126961
397118810,397101110,3997706,186.70102,51.93,99102.5,1.1273235
397179081,397156414,3997706,186.48962,51.93,99105.0,1.1269923
397230321,397209658,3997706,186.61647,51.92,99103.5,1.1269753
397280598,397262936,3997706,186.76443,51.93,99101.75,1.1269554
397340910,397318220,3997706,186.59532,51.93,99103.75,1.1269782
397391144,397370982,3997706,186.65874,51.93,99103.0,1.1269696
397714091,397693881,3997706,186.5319,51.92,99104.5,1.1269866
397764341,397746686,3997706,186.55304,51.92,99104.25,1.1269839
397824755,397802010,3997706,186.65874,51.92,99103.0,1.1269696
397875977,397855527,3997706,186.48962,51.91,99104.99,1.1269922
397926234,397908578,3997706,186.67989,51.92,99102.75,1.1269667
397986697,397963948,3997706,186.34166,51.91,99106.75,1.1270123
398036907,398016749,3997706,186.70102,51.91,99102.5,1.126964
398087243,398069508,3997706,186.44736,51.92,99105.5,1.126998
398147601,398124840,3997706,186.4685,51.91,99105.25,1.1269952
398198680,398178512,3997706,186.42621,51.91,99105.75,1.1270009
398249001,398231310,3997706,186.59532,51.91,99103.75,1.1269782
398309338,398286612,3997706,186.89127,51.91,99100.25,1.1269383
398359706,398339389,3997706,186.51077,51.91,99104.75,1.1266301
398409870,398392195,3997706,186.32051,51.91,99107.0,1.1266556
398470126,398447457,3997706,186.57419,51.91,99104.0,1.126981
398521420,398500677,3997706,186.74329,51.91,99102.0,1.1269583
398571589,398553908,3997706,186.55304,51.91,99104.26,1.1266245
398631857,398609153,3997706,186.51077,51.91,99104.75,1.1266301
398682122,398661902,3997706,186.57419,51.899998,99104.0,1.126981
398732388,398714665,3997706,186.74329,51.91,99102.0,1.1269583
398792606,398769928,3997706,186.42621,51.899998,99105.75,1.1270009
398842885,398822697,3997706,186.63759,51.899998,99103.25,1.1269724
398954369,398931687,3997706,186.42621,51.899998,99105.75,1.1270009
399004740,398984501,3997706,186.65874,51.899998,99103.0,1.1269696
399054999,399037291,3997706,186.51077,51.899998,99104.76,1.1269896
399115473,399092624,3997706,186.57419,51.899998,99104.0,1.126981
399165731,399145532,3997706,186.40508,51.899998,99106.0,1.1266443
399217108,399199111,3997706,186.51077,51.899998,99104.75,1.1266301
399327769,399307502,3997706,186.27824,51.899998,99107.49,1.1270207
399377949,399360282,3997706,186.5319,51.89,99104.5,1.1269866
399438211,399415546,3997706,186.5319,51.89,99104.5,1.1266272
399488621,399468310,3997706,186.34166,51.89,99106.75,1.1266528
399539858,399521901,3997706,186.2994,51.899998,99107.25,1.127018
399600143,399577412,3997706,186.40508,51.89,99106.0,1.1270037
399650404,399630203,3997706,186.48962,51.89,99105.0,1.1266329
399700683,399683020,3997706,186.5319,51.89,99104.5,1.1266272
399761046,399738291,3997706,186.21483,51.89,99108.24,1.1266698
399811351,399791110,3997706,186.32051,51.89,99107.0,1.1266556
399862665,399844652,3997706,186.19106,51.89,99108.5,1.1270322
399922850,399900186,3997706,186.36281,51.89,99106.5,1.1270094
400245476,400222753,3997706,186.25446,51.89,99107.75,1.1266642
400346067,400328379,3997706,186.48962,51.879997,99104.99,1.1266328
400406368,400383673,3997706,186.63759,51.879997,99103.25,1.126613
400456627,400436455,3997706,186.44736,51.879997,99105.5,1.126998
