timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
410427551,1.5040196,1.5040196,1.5679374,0.09189601,0.09866187,1,1
410627513,3.5128868,3.5128868,3.6622562,0.09072804,0.09740848,1,1
410827510,4.0311985,4.0311985,4.2031393,0.09088687,0.09757582,1,1
411027544,2.9092538,2.9092538,3.0329375,0.09151093,0.098246895,1,1
411227526,3.0289261,3.0289261,3.1577172,0.09180609,0.09856441,1,1
411427509,4.3027325,4.3027325,4.485574,0.09250277,0.09930988,1,1
411627510,4.2054644,4.2054644,4.3842053,0.092560254,0.09937234,1,1
411827510,3.2069123,3.2069123,3.3437626,0.09347311,0.10035133,1,1
412027567,4.200327,4.200327,4.3787937,0.09378379,0.10068309,1,1
412227507,3.6496694,3.6496694,3.80539,0.09282108,0.099650696,1,1
412427662,3.393828,3.393828,3.5380502,0.09379598,0.10069527,1,1
412627514,4.040391,4.040391,4.212025,0.09425166,0.10118294,1,1
412827518,3.8590257,3.8590257,4.0229707,0.09494085,0.10192319,1,1
413027510,3.0409229,3.0409229,3.170172,0.09615926,0.103233166,1,1
413227510,2.9684267,2.9684267,3.094536,0.095989354,0.10304881,1,1
413427515,3.1420414,3.1420414,3.2760615,0.0961058,0.10317262,1,1
413627510,2.9567764,2.9567764,3.0829139,0.09599637,0.103055805,1,1
413827510,3.4118323,3.4118323,3.5574007,0.09540771,0.10242437,1,1
414027499,4.0825033,4.0825033,4.2559857,0.09540984,0.10242614,1,1
414227512,3.8877864,3.8877864,4.0529585,0.096378095,0.10346308,1,1
414427508,3.1320393,3.1320393,3.2651575,0.097834,0.10502774,1,1
414627512,3.1888602,3.1888602,3.3249362,0.098827094,0.106094256,1,1
414827555,3.8936481,3.8936481,4.059681,0.098141134,0.10535479,1,1
415027509,3.8473184,3.8473184,4.011416,0.09773386,0.10491866,1,1
415227533,3.4236407,3.4236407,3.569654,0.09805903,0.10526732,1,1
415427612,2.6772294,2.6772294,2.7914343,0.09773596,0.104919806,1,1
415627728,0.31689352,0.31689352,0.330409,0.0980235,0.10522769,1,1
416027509,3.3287156,3.3287156,3.4706674,0.10055208,0.10793991,1,1
416227499,3.312486,3.312486,3.4532733,0.099562235,0.10687977,1,1
416427510,2.2787244,2.2787244,2.37553,0.100029446,0.10738093,1,1
416627587,3.0420697,3.0420697,3.1718857,0.09539597,0.102407806,1,1
417027591,1.8019145,1.8019145,1.878785,0.09952699,0.10684112,1,1
417227507,1.5049841,1.5049841,1.568951,0.098506495,0.10574657,1,1
417427504,2.2596767,2.2596767,2.3560576,0.09503143,0.102014415,1,1
417627499,4.307767,4.307767,4.491453,0.09279398,0.099611424,1,1
417827507,2.3998494,2.3998494,2.5026171,0.09508905,0.10207665,1,1
418027515,2.7335958,2.7335958,2.849754,0.09211068,0.098879665,1,1
418227507,3.879415,3.879415,4.044892,0.092980586,0.099811584,1,1
418427599,4.694556,4.694556,4.8947845,0.09044411,0.09708989,1,1
418627760,4.5337358,4.5337358,4.7270813,0.092715025,0.09952564,1,1
418827508,4.927768,4.927768,5.1379232,0.08706869,0.093466096,1,1
419027499,5.719728,5.719728,5.963636,0.08922325,0.0957786,1,1
419227513,4.4625793,4.4625793,4.6536674,0.08946971,0.09604413,1,1
419427510,4.20112,4.20112,4.3802366,0.0884114,0.09490639,1,1
419627517,3.0611055,3.0611055,3.1916652,0.088461235,0.09495985,1,1
419827521,2.7564094,2.7564094,2.87437,0.08701357,0.09340383,1,1
420027499,4.183937,4.183937,4.3630767,0.08950066,0.09607551,1,1
420227510,2.35898,2.35898,2.4595592,0.087776005,0.09422297,1,1
420427526,4.0593343,4.0593343,4.2323737,0.0871913,0.0935945,1,1
420627513,3.731409,3.731409,3.8904748,0.08667888,0.093044564,1,1
420827549,4.1713576,4.1713576,4.3498545,0.08550458,0.09178367,1,1
421027509,4.0930295,4.0930295,4.268202,0.08333725,0.08945775,1,1
421227568,2.8675523,2.8675523,2.9903371,0.08273901,0.088817365,1,1
421427506,4.0884533,4.0884533,4.262712,0.083172776,0.08928041,1,1
421627674,4.25134,4.25134,4.432614,0.0791663,0.08497982,1,1
421827514,3.510308,3.510308,3.659916,0.0818237,0.08783069,1,1
422027517,4.1184077,4.1184077,4.294666,0.07985766,0.08572262,1,1
422227513,3.9998713,3.9998713,4.171093,0.08083887,0.086776644,1,1
422427511,3.5731823,3.5731823,3.7255075,0.078638494,0.0844138,1,1
422627535,2.6075115,2.6075115,2.7191343,0.076848716,0.08249225,1,1
422827533,3.5770044,3.5770044,3.7301767,0.078647844,0.08442456,1,1
423027509,2.3126066,2.3126066,2.4116173,0.07139234,0.07663556,1,1
423227510,3.5496476,3.5496476,3.7009692,0.07118018,0.07640656,1,1
423427533,3.630304,3.630304,3.7857442,0.06785218,0.07283455,1,1
423627557,3.5336342,3.5336342,3.6842875,0.065765046,0.070593,1,1
423827504,4.4946666,4.4946666,4.6863046,0.05967518,0.06405722,1,1
424027526,3.465444,3.465444,3.6131856,0.06047882,0.06491963,1,1
424227612,3.1734192,3.1734192,3.30918,0.056112897,0.060232062,1,1
424427515,3.593748,3.593748,3.7468984,0.05396383,0.057924412,1,1
424627639,2.9818475,2.9818475,3.10935,0.057291374,0.061495807,1,1
424827791,0.88108873,0.88108873,0.91876024,0.05481523,0.058836814,1,1
425027512,2.01876,2.01876,2.105007,0.058422815,0.0627071,1,1
425227513,1.387735,1.387735,1.4467722,0.14911993,0.16005304,1,1
425427511,2.0490232,2.0490232,2.136209,0.23963553,0.25720695,1,1
425627510,1.908221,1.908221,1.9893932,0.35409996,0.3800544,1,1
425827567,2.5629067,2.5629067,2.6718879,0.5611481,0.6022602,1,1
426027509,4.415969,4.415969,4.6044855,0.80668944,0.8657652,1,1
426227525,5.0174294,5.0174294,5.2316165,1.0360808,1.1119541,1,1
426427512,4.9027963,4.9027963,5.110876,1.396084,1.4981805,1,1
426627510,5.587852,5.587852,5.824903,1.7869303,1.9175464,1,1
426827510,5.725032,5.725032,5.9685974,2.3272326,2.4971583,1,1
427027551,5.15423,5.15423,5.3725057,3.0341425,3.2554934,1,1
427227511,7.1688447,7.1688447,7.472578,3.7807858,4.056496,1,1
427427514,7.5080657,7.5080657,7.827054,4.572194,4.905237,1,1
427627541,8.265679,8.265679,8.616672,5.387368,5.7794876,1,1
427827660,9.167881,9.167881,9.557148,6.3254447,6.785503,1,1
428027509,10.160067,10.160067,10.589374,7.235693,7.761302,1,1
428227499,11.112783,11.112783,11.584063,8.046885,8.630923,1,1
428427536,11.632892,11.632892,12.126838,8.731079,9.36467,1,1
428627504,11.9234085,11.9234085,12.427881,9.27924,9.952441,1,1
428827547,12.096343,12.096343,12.610334,9.668612,10.369579,1,1
429027499,12.084243,12.084243,12.596648,9.978314,10.701706,1,1
429227546,12.411342,12.411342,12.937893,10.176053,10.913509,1,1
429427504,12.426987,12.426987,12.954627,10.306961,11.053756,1,1
429627555,12.5841675,12.5841675,13.121467,10.285605,11.030753,1,1
430027504,12.70118,12.70118,13.242801,9.89029,10.606804,1,1
430227507,12.767874,12.767874,13.313076,9.586047,10.280456,1,1
430427510,12.729889,12.729889,13.276458,9.243459,9.912936,1,1
430627559,13.064533,13.064533,13.625675,8.750321,9.383934,1,1
430827784,12.551871,12.551871,13.092398,8.097686,8.684437,1,1
431027642,12.644677,12.644677,13.189881,7.36487,7.8984427,1,1
431227515,12.718209,12.718209,13.266567,6.7094617,7.195209,1,1
431427553,12.608962,12.608962,13.153607,6.0857515,6.5263343,1,1
431627518,12.777424,12.777424,13.329462,5.396002,5.7863436,1,1
431827509,12.790029,12.790029,13.341041,4.815992,5.1642723,1,1
432027553,13.25976,13.25976,13.833894,4.270777,4.5795717,1,1
432427516,13.340801,13.340801,13.919324,3.351307,3.593347,1,1
432627499,13.399468,13.399468,13.98071,3.00298,3.2197545,1,1
432827509,13.21919,13.21919,13.793031,2.677539,2.870775,1,1
433027522,13.920431,13.920431,14.525134,2.4394357,2.6153214,1,1
433227510,13.922828,13.922828,14.527929,2.2985187,2.4641416,1,1
433427580,14.313625,14.313625,14.933706,2.2457438,2.407513,1,1
433627511,15.162113,15.162113,15.818952,2.24305,2.4044397,1,1
434027499,15.406309,15.406309,16.07706,2.3247316,2.491771,1,1
434227517,15.415161,15.415161,16.086927,2.313022,2.479202,1,1
434427657,15.410632,15.410632,16.082079,2.3489795,2.517529,1,1
434627849,15.875772,15.875772,16.564741,2.3767245,2.5470126,1,1
434827512,17.226765,17.226765,17.974272,2.3115315,2.4769826,1,1
435027513,17.64361,17.64361,18.413279,2.2675145,2.4297774,1,1
435227504,17.556183,17.556183,18.322641,2.3829668,2.5534172,1,1
435427510,18.343655,18.343655,19.144009,2.5043104,2.683082,1,1
435627512,18.173536,18.173536,18.966372,2.7233973,2.917613,1,1
435827522,19.019464,19.019464,19.849428,3.0479794,3.2651265,1,1
436027505,19.167845,19.167845,20.004337,3.3103564,3.5459309,1,1
436227518,19.235914,19.235914,20.071213,3.57666,3.8307638,1,1
436427645,19.518728,19.518728,20.365946,3.9674294,4.2488256,1,1
436627499,19.005693,19.005693,19.834053,4.035826,4.321793,1,1
436827499,19.236753,19.236753,20.071733,4.1043863,4.3947473,1,1
437027553,18.889574,18.889574,19.709957,5.0283246,5.383928,1,1
437227519,18.88734,18.88734,19.710918,6.426268,6.880146,1,1
437427508,19.164942,19.164942,20.001482,8.136974,8.711375,1,1
