timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
394709439,394707136,0.0,0.0,0.0,-0.006307972,-0.0046007605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37271118,0.0,0.0,nan,0.0,0.0,-0.005488977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395220140,395217553,0.0,0.0,0.0,-0.0057584215,-0.004853715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1772461,0.0,0.0,nan,0.0,0.0,-0.005062446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395710431,395707950,0.0,0.0,0.0,-0.005107376,-0.005013196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1826477,0.0,0.0,nan,0.0,0.0,-0.0059645325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396210421,396208362,0.0,0.0,0.0,-0.0043035764,-0.004541045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22563171,0.0,0.0,nan,0.0,0.0,0.005242303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396710900,396708770,0.0,0.0,0.0,-0.0038916061,-0.005132228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43293762,0.0,0.0,nan,0.0,0.0,-0.0040659755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397711470,397709593,0.0,0.0,0.0,-0.010293224,-0.016094448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11280823,0.0,0.0,nan,0.0,0.0,-0.0010492802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398211847,398209999,0.0,0.0,0.0,-0.003934071,-0.0066673555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1328125,0.0,0.0,nan,0.0,0.0,-0.007798195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398713106,398710409,0.0,0.0,0.0,-0.0040903967,-0.0059132497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25328064,0.0,0.0,nan,0.0,0.0,-0.00608477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399212886,399210818,0.0,0.0,0.0,-0.0051492434,-0.0063958755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28279114,0.0,0.0,nan,0.0,0.0,-0.007612124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399713405,399711228,0.0,0.0,0.0,-0.0052571357,-0.006333689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14071655,0.0,0.0,nan,0.0,0.0,-0.0037632138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400213975,400211643,0.0,0.0,0.0,-0.010850043,-0.011752013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086624146,0.0,0.0,nan,0.0,0.0,-0.0124105215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400714439,400712048,0.0,0.0,0.0,-0.0150508,-0.01435759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12815857,0.0,0.0,nan,0.0,0.0,-0.0037546903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401214775,401212510,0.0,0.0,0.0,-0.01941606,-0.017432507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05142212,0.0,0.0,nan,0.0,0.0,-0.0037886053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401714990,401712873,0.0,0.0,0.0,-0.020439247,-0.01743286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023040771,0.0,0.0,nan,0.0,0.0,-0.009067491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402215689,402213275,0.0,0.0,0.0,-0.005208653,-0.003670939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500763,0.0,0.0,nan,0.0,0.0,-0.00028902292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402716803,402713689,0.0,0.0,0.0,-0.0032577587,-0.0014283982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2284851,0.0,0.0,nan,0.0,0.0,-0.003979087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403216464,403214093,0.0,0.0,0.0,-0.0031101147,-0.0008171718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07766724,0.0,0.0,nan,0.0,0.0,-0.00046022236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403716902,403714502,0.0,0.0,0.0,-0.0027592464,-0.0003545987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,nan,0.0,0.0,0.001639545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404207176,404204910,0.0,0.0,0.0,-0.0023129685,-0.0007967083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,nan,0.0,0.0,-0.010386109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404707173,404705311,0.0,0.0,0.0,-0.0017882779,-0.0009995763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,nan,0.0,0.0,-0.0074971765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405207542,405205731,0.0,0.0,0.0,-0.001856074,-0.0023883104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30921936,0.0,0.0,nan,0.0,0.0,0.00559555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405708599,405706127,0.0,0.0,0.0,-0.002049184,-0.0033663043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,nan,0.0,0.0,-0.00071538985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406208374,406206536,0.0,0.0,0.0,-0.0025479211,-0.0047356733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050964355,0.0,0.0,nan,0.0,0.0,0.00060905516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
