timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
394709954,0,0.68344116,4.9866333,33.048363,4663305
395716624,0,0.68344116,6.8847885,33.048363,4663305
396711734,0,6.9961624,1.3956375,33.14607,4663305
397706396,0,6.9961624,4.098007,33.14607,4663305
398712700,0,12.256767,6.4323273,33.14607,4663305
399707270,0,0.68344116,14.557159,33.24377,4663305
400712227,0,12.256767,9.496956,33.14607,4663305
401708071,0,18.569489,9.264206,33.14607,4663305
402714864,0,18.569489,9.943619,33.24377,4663305
403709618,0,6.9961624,7.0656357,33.14607,4663305
404716088,0,6.9961624,7.023155,33.14607,4663305
405712681,0,0.68344116,9.295128,33.24377,4663305
406708158,0,12.256767,13.211044,33.24377,4663305
407714316,0,12.256767,3.8097458,33.14607,4663305
408710345,0,12.256767,6.4455414,33.14607,4663305
409716141,0,0.68344116,5.841812,33.24377,4663305
410711810,0,0.68344116,3.356247,33.14607,4663305
411706660,0,12.256767,12.706566,33.24377,4663305
412713355,0,6.9961624,9.0494995,33.14607,4663305
413708793,0,6.9961624,-1.8893051,33.14607,4663305
414714637,0,12.256767,6.130478,33.24377,4663305
415710796,0,6.9961624,2.5217438,33.24377,4663305
416716638,0,0.68344116,8.599945,33.24377,4663305
417711012,0,6.9961624,7.2143173,33.24377,4663305
418706931,0,12.256767,12.107529,33.24377,4663305
419713574,0,12.256767,10.5787735,33.24377,4663305
420707585,0,6.9961624,4.4117584,33.341476,4663305
421713465,0,6.9961624,7.545601,33.341476,4663305
422708060,0,12.256767,-1.8407288,33.24377,4663305
423713761,0,12.256767,7.5974274,33.24377,4663305
424709665,0,6.9961624,3.7485352,33.341476,4663305
425705615,0,-4.5771637,3.2073364,33.24377,4663305
426711286,0,23.830093,22.762245,33.341476,4663305
427707745,0,58.550064,46.567574,33.24377,4663305
428713331,0,81.69672,87.867584,33.24377,4663305
429708748,0,98.530655,101.22789,33.341476,4663305
430713594,0,98.530655,98.1897,33.341476,4663305
431708882,0,98.530655,99.60159,33.341476,4663305
432714762,0,110.10397,106.53543,33.341476,4663305
433709597,0,139.56335,139.44998,33.341476,4663305
434715307,0,181.64818,173.71617,33.341476,4663305
435709045,0,227.9415,217.82797,33.341476,4663305
436715410,0,233.20209,216.78885,33.24377,4663305
437710027,0,221.62875,218.93097,33.341476,4663305
438714511,0,181.64818,177.26591,33.24377,4663305
439710790,0,186.9088,182.65698,33.24377,4663305
440715696,0,175.33545,162.16907,33.341476,4663305
441710825,0,133.25063,131.56207,33.24377,4663305
442717290,0,152.1888,158.20499,33.341476,4663305
443722264,0,210.05545,194.07654,33.24377,4663305
444706057,0,198.48212,209.2229,33.341476,4663305
445711369,0,181.64818,178.61191,33.24377,4663305
446707107,0,186.9088,186.479,33.24377,4663305
447711459,0,210.05545,207.91608,33.24377,4663305
448705984,0,221.62875,219.68637,33.24377,4663305
449711555,0,227.9415,233.22794,33.24377,4663305
450716533,0,251.08813,250.2615,33.14607,4663305
451710942,0,256.34875,252.65744,33.14607,4663305
452706439,0,239.51483,250.25143,33.14607,4663305
453710748,0,244.77542,251.84824,33.048363,4663305
454716325,0,244.77542,240.06769,33.048363,4663305
455710762,0,233.20209,234.47403,33.048363,4663305
456716728,0,256.34875,249.14087,33.048363,4663305
457721106,0,267.92206,266.6044,33.048363,4663305
458716127,0,198.48212,228.03085,33.048363,4663305
459710911,0,210.05545,206.72647,32.95066,4663305
460717123,0,221.62875,223.13168,32.95066,4663305
461711649,0,227.9415,221.3237,33.048363,4663305
462707544,0,221.62875,224.9202,32.95066,4663305
463712618,0,216.36816,208.27127,32.95066,4663305
464706846,0,204.79483,211.04617,32.852955,4663305
465712837,0,227.9415,232.7373,32.852955,4663305
466707901,0,251.08813,225.1507,32.852955,4663305
467713440,0,210.05545,213.15372,32.852955,4663305
468708243,0,164.81425,173.17728,32.755253,4663305
469715020,0,127.99002,131.99263,32.755253,4663305
471706821,0,116.4167,111.70271,32.755253,4663305
472712828,0,104.84337,111.426636,32.755253,4663305
473717930,0,93.27005,88.00447,32.657547,4663305
474712349,0,98.530655,100.926025,32.755253,4663305
475718167,0,139.56335,130.67679,32.657547,4663305
476714477,0,98.530655,105.73747,32.755253,4663305
477708806,0,81.69672,83.37276,32.657547,4663305
478714038,0,121.67731,116.039566,32.657547,4663305
479710569,0,145.87608,141.71425,32.657547,4663305
480706187,0,186.9088,183.80888,32.657547,4663305
481712507,0,193.22153,193.86609,32.657547,4663305
482707047,0,175.33545,172.47267,32.559845,4663305
483713277,0,139.56335,136.7767,32.559845,4663305
484708582,0,116.4167,117.30815,32.559845,4663305
485714069,0,139.56335,140.80917,32.559845,4663305
486707120,0,157.44942,151.74074,32.46214,4663305
487713009,0,152.1888,147.38708,32.559845,4663305
488706490,0,121.67731,123.48129,32.46214,4663305
489712431,0,110.10397,119.39998,32.364437,4663305
490707472,0,133.25063,133.23245,32.46214,4663305
491713989,0,127.99002,117.44675,32.364437,4663305
492709143,0,170.07486,163.88426,32.364437,4663305
493714075,0,170.07486,165.09059,32.364437,4663305
494719426,0,170.07486,169.73738,32.364437,4663305
495714607,0,204.79483,202.5546,32.364437,4663305
496720743,0,221.62875,218.87561,32.26673,4663305
497716083,0,239.51483,227.78735,32.364437,4663305
499705956,0,251.08813,245.20471,32.26673,4663305
500710505,0,233.20209,216.8635,32.16903,4663305
501705184,0,181.64818,184.1579,32.16903,4663305
502711342,0,110.10397,114.39261,32.26673,4663305
503706108,0,98.530655,102.572754,32.16903,4663305
504712362,0,139.56335,136.35327,32.071323,4663305
505709008,0,227.9415,224.05173,32.071323,4663305
506713999,0,251.08813,255.76163,32.16903,4663305
507710450,0,251.08813,255.4429,32.071323,4663305
508706064,0,193.22153,195.58969,32.071323,4663305
509711263,0,133.25063,137.87003,32.071323,4663305
510716408,0,93.27005,94.4498,31.97362,4663305
511711697,0,75.384,77.95119,31.97362,4663305
512706177,0,93.27005,87.63913,31.97362,4663305
513713931,0,127.99002,122.96063,31.97362,4663305
514718562,0,104.84337,98.158295,31.97362,4663305
515713531,0,121.67731,114.705475,31.875916,4663305
516708459,0,152.1888,156.36327,31.875916,4663305
517715091,0,198.48212,191.21881,31.875916,4663305
518720603,0,221.62875,221.68518,31.875916,4663305
519715983,0,186.9088,188.17181,31.875916,4663305
520711219,0,175.33545,175.90532,31.875916,4663305
521717712,0,175.33545,168.834,31.875916,4663305
522713013,0,181.64818,180.70442,31.875916,4663305
523707599,0,170.07486,184.87292,31.778212,4663305
524714601,0,157.44942,142.99512,31.778212,4663305
525710464,0,127.99002,138.20995,31.778212,4663305
526706440,0,98.530655,107.95479,31.778212,4663305
528708240,0,40.664017,41.94021,31.680508,4663305
