timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
394709862,14.5386,14.688906,0.0,3.5e-44,-1.0,0.019464213,1.0,1.0,nan,3,4.8963017,4.8963017,4.8963017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
394909519,14.915799,14.697306,0.0,3.5e-44,-1.0,0.019464213,1.0,1.0,nan,3,4.8991017,4.8991017,4.8991017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
395110021,14.4566,14.690566,0.0,3.5e-44,-1.0,0.019464213,1.0,1.0,nan,3,4.8968554,4.8968554,4.8968554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
395309778,14.4894,14.685631,0.0,3.5e-44,-1.0,0.019464213,1.0,1.0,nan,3,4.8952103,4.8952103,4.8952103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
395508549,14.686199,14.671341,0.0,3.5e-44,-1.0,0.019464213,1.0,1.0,nan,3,4.890447,4.890447,4.890447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
395708568,14.7026,14.668297,0.0,3.5e-44,-1.0,0.019464213,1.0,1.0,nan,3,4.8894324,4.8894324,4.8894324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
395908553,14.8256,14.662314,0.0,3.5e-44,-1.0,0.019464213,1.0,1.0,nan,3,4.8874383,4.8874383,4.8874383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
396108521,14.8256,14.660729,0.0,3.5e-44,-1.0,0.019464213,1.0,1.0,nan,3,4.88691,4.88691,4.88691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
396308567,14.801,14.676389,0.0,3.5e-44,-1.0,0.019464213,1.0,1.0,nan,3,4.8921294,4.8921294,4.8921294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
396508732,14.4976,14.675673,0.0,3.5e-44,-1.0,0.019464213,1.0,1.0,nan,3,4.891891,4.891891,4.891891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
