timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
394706689,394706674,1114122,3.7686956,3.2877383,-5.972485,52.375,0,0,0,0,1
394708142,394708127,1114122,3.732803,3.4097722,-5.9940205,52.375,0,0,0,0,1
394804297,394804282,1114122,3.8907294,3.1513474,-5.814559,52.5,0,0,0,0,1
394906144,394906129,1114122,3.7184463,3.1226335,-5.814559,52.5,0,0,0,0,1
395006936,395006921,1114122,3.4600215,3.3667014,-5.7930236,52.5,0,0,0,0,1
395101478,395101463,1114122,3.6466615,3.3092737,-5.85763,52.625,0,0,0,0,1
395213519,395213504,1114122,3.6107693,3.3092737,-5.9007006,52.5,0,0,0,0,1
395303673,395303658,1114122,3.926622,3.2733812,-6.04427,52.5,0,0,0,0,1
395506300,395506285,1114122,3.7543385,3.4025936,-5.757131,52.5,0,0,0,0,1
395607535,395607520,1114122,3.6466615,3.2590244,-5.893522,52.625,0,0,0,0,1
395707285,395707270,1114122,3.7974093,3.0867412,-5.8863435,52.5,0,0,0,0,1
395801789,395801774,1114122,3.682554,3.180061,-5.749953,52.5,0,0,0,0,1
395907835,395907820,1114122,3.7112677,3.574877,-5.8719864,52.5,0,0,0,0,1
396001682,396001664,1114122,3.4887352,3.1657043,-5.8432727,52.5,0,0,0,0,1
396106791,396106776,1114122,3.976871,3.2949166,-5.85763,52.5,0,0,0,0,1
396204410,396204395,1114122,3.9338002,3.3954153,-5.879165,52.5,0,0,0,0,1
396304744,396304729,1114122,3.7256248,3.481557,-5.893522,52.5,0,0,0,0,1
396405570,396405548,1114122,3.8261232,3.2303104,-5.8863435,52.5,0,0,0,0,1
396501085,396501070,1114122,3.682554,3.330809,-6.202196,52.5,0,0,0,0,1
396607191,396607173,1114122,3.9122648,3.1657043,-5.8432727,52.5,0,0,0,0,1
396703735,396703720,1114122,4.098905,3.4025936,-5.771488,52.5,0,0,0,0,1
396807358,396807342,1114122,3.8333018,3.4025936,-5.8863435,52.375,0,0,0,0,1
396906393,396906373,1114122,3.8907294,3.2159536,-5.879165,52.375,0,0,0,0,1
397006167,397006152,1114122,3.8907294,3.129812,-5.6279187,52.375,0,0,0,0,1
397105118,397105103,1114122,3.6897323,3.2949166,-5.9437714,52.5,0,0,0,0,1
397307758,397307740,1114122,3.682554,3.4097722,-5.7786665,52.375,0,0,0,0,1
397708081,397708063,1114122,3.7974093,3.2590244,-6.022734,52.375,0,0,0,0,1
397805690,397805675,1114122,3.682554,3.3092737,-5.915057,52.25,0,0,0,0,1
397899688,397899673,1114122,3.9122648,3.2015965,-5.8432727,52.375,0,0,0,0,1
398006790,398006775,1114122,3.790231,3.4600215,-5.9007006,52.375,0,0,0,0,1
398103556,398103532,1114122,3.546163,2.993421,-5.757131,52.375,0,0,0,0,1
398207364,398207346,1114122,3.7974093,3.1082766,-5.9796634,52.5,0,0,0,0,1
398306136,398306121,1114122,3.5820553,3.4456644,-5.7930236,52.25,0,0,0,0,1
398406845,398406830,1114122,3.7830524,3.3236306,-5.85763,52.25,0,0,0,0,1
398506270,398506255,1114122,3.8117664,3.4743783,-5.749953,52.25,0,0,0,0,1
398605285,398605270,1114122,3.5820553,3.5174491,-5.8863435,52.375,0,0,0,0,1
398706453,398706438,1114122,3.869194,3.3667014,-5.9437714,52.5,0,0,0,0,1
398806526,398806511,1114122,3.8117664,3.452843,-5.915057,52.375,0,0,0,0,1
398906691,398906674,1114122,3.8548372,3.5030923,-5.757131,52.375,0,0,0,0,1
399004119,399004104,1114122,3.682554,3.2733812,-5.8863435,52.5,0,0,0,0,1
399107196,399107181,1114122,3.5389845,3.4097722,-5.742774,52.375,0,0,0,0,1
399206813,399206796,1114122,3.7040894,3.2733812,-5.907879,52.375,0,0,0,0,1
399407001,399406986,1114122,3.8907294,3.180061,-5.893522,52.375,0,0,0,0,1
399504572,399504557,1114122,3.8476586,3.424129,-5.9940205,52.25,0,0,0,0,1
399607175,399607160,1114122,3.9409788,3.4025936,-6.144768,52.625,0,0,0,0,1
399704729,399704710,1114122,3.8117664,2.993421,-5.9653068,52.375,0,0,0,0,1
399805470,399805455,1114122,3.7543385,3.2590244,-5.6853466,52.375,0,0,0,0,1
399906253,399906231,1114122,3.7471602,3.4671998,-5.785845,52.5,0,0,0,0,1
400202628,400202610,1114122,3.8261232,3.3667014,-5.800202,52.375,0,0,0,0,1
400403938,400403923,1114122,3.546163,3.180061,-5.678168,52.375,0,0,0,0,1
400505785,400505770,1114122,3.7830524,3.2303104,-5.85763,52.25,0,0,0,0,1
400606588,400606570,1114122,3.9481573,3.1513474,-5.757131,52.375,0,0,0,0,1
400703042,400703024,1114122,3.7399817,3.1728828,-5.6853466,52.5,0,0,0,0,1
400806085,400806070,1114122,3.9625142,3.5246277,-5.556134,52.5,0,0,0,0,1
401105881,401105857,1114122,3.926622,3.2590244,-5.9509497,52.5,0,0,0,0,1
401204035,401204020,1114122,3.8835511,3.4025936,-6.202196,52.5,0,0,0,0,1
401306039,401306020,1114122,3.8404803,3.3379874,-5.9294143,52.375,0,0,0,0,1
401403655,401403640,1114122,3.7399817,3.3379874,-5.915057,52.375,0,0,0,0,1
401506168,401506149,1114122,3.8117664,3.072384,-5.958128,52.125,0,0,0,0,1
401605135,401605120,1114122,3.9696927,3.4600215,-5.699703,52.375,0,0,0,0,1
401706362,401706341,1114122,3.7974093,3.4097722,-5.8289156,52.5,0,0,0,0,1
401806410,401806395,1114122,3.9050865,3.2159536,-6.0514483,52.375,0,0,0,0,1
401901542,401901527,1114122,3.7184463,3.2733812,-5.757131,52.375,0,0,0,0,1
402006622,402006607,1114122,3.869194,3.237489,-5.958128,52.375,0,0,0,0,1
402102838,402102823,1114122,3.818945,3.452843,-5.8432727,52.375,0,0,0,0,1
402206788,402206773,1114122,3.7974093,3.3810582,-5.800202,52.5,0,0,0,0,1
402304332,402304317,1114122,3.6610186,3.3882368,-5.85763,52.375,0,0,0,0,1
402406894,402406879,1114122,3.9409788,3.3523445,-5.9007006,52.375,0,0,0,0,1
402507086,402507071,1114122,3.8476586,3.2518458,-5.6063833,52.375,0,0,0,0,1
402604565,402604550,1114122,3.682554,3.2159536,-5.958128,52.375,0,0,0,0,1
402707139,402707124,1114122,3.732803,3.1657043,-5.958128,52.25,0,0,0,0,1
402804759,402804742,1114122,3.6179478,3.345166,-6.029913,52.375,0,0,0,0,1
402907326,402907311,1114122,3.6610186,3.2518458,-6.2380886,52.375,0,0,0,0,1
