timestamp,timestamp_sample,device_id,error_count,pressure,temperature
398409805,398409794,3997706,0,991.07,51.91
398511209,398511198,3997706,0,991.06,51.91
398611675,398611664,3997706,0,991.01996,51.91
398712165,398712154,3997706,0,991.02997,51.91
398812643,398812632,3997706,0,991.05,51.899998
398914113,398914101,3997706,0,991.1,51.899998
399014688,399014677,3997706,0,990.99,51.899998
399115293,399115275,3997706,0,990.99,51.899998
399206919,399206908,3997706,0,991.01996,51.899998
399408025,399408014,3997706,0,991.08997,51.899998
399498549,399498532,3997706,0,991.07996,51.89
399610083,399610072,3997706,0,991.01996,51.89
399700628,399700617,3997706,0,991.02997,51.89
399811246,399811235,3997706,0,991.06,51.89
399902709,399902698,3997706,0,991.06,51.879997
400215218,400215207,3997706,0,991.05,51.879997
400406313,400406302,3997706,0,991.04,51.879997
400506905,400506894,3997706,0,991.0,51.879997
400608390,400608377,3997706,0,991.07,51.879997
400708926,400708915,3997706,0,991.02997,51.879997
400809518,400809507,3997706,0,991.02997,51.879997
401112073,401112062,3997706,0,991.06,51.87
401213694,401213680,3997706,0,991.11,51.87
401314236,401314225,3997706,0,990.97,51.87
401414763,401414752,3997706,0,991.06,51.86
401506226,401506215,3997706,0,991.05,51.86
401596789,401596778,3997706,0,991.07,51.86
401707343,401707332,3997706,0,991.07996,51.86
401797798,401797786,3997706,0,991.07996,51.86
401909265,401909254,3997706,0,991.05,51.85
401999754,401999743,3997706,0,991.04,51.85
402110342,402110327,3997706,0,991.04,51.85
402201803,402201791,3997706,0,991.07996,51.85
402312360,402312349,3997706,0,991.1,51.85
402402865,402402854,3997706,0,991.01996,51.85
402513529,402513518,3997706,0,991.13,51.84
402605191,402605180,3997706,0,991.04,51.85
402715808,402715794,3997706,0,991.05,51.84
402807279,402807268,3997706,0,991.13,51.84
402907847,402907836,3997706,0,991.12,51.84
403008398,403008387,3997706,0,991.07996,51.84
403108995,403108984,3997706,0,991.1,51.84
403210522,403210511,3997706,0,991.07996,51.829998
403311025,403311014,3997706,0,991.13,51.829998
403411566,403411555,3997706,0,991.12,51.829998
403513191,403513177,3997706,0,991.05,51.829998
403613760,403613749,3997706,0,991.07,51.829998
403714312,403714301,3997706,0,991.19,51.829998
403816039,403816025,3997706,0,991.1,51.82
403916645,403916627,3997706,0,991.19995,51.82
404017198,404017186,3997706,0,991.07,51.82
404098688,404098674,3997706,0,991.14996,51.82
404209322,404209311,3997706,0,991.12,51.82
404299863,404299852,3997706,0,991.08997,51.809998
404411324,404411312,3997706,0,991.12,51.809998
404501869,404501858,3997706,0,991.07996,51.809998
404612458,404612447,3997706,0,991.12,51.809998
404703857,404703846,3997706,0,991.13995,51.8
404814591,404814576,3997706,0,991.13,51.8
404905079,404905068,3997706,0,991.1,51.8
405006514,405006502,3997706,0,991.20996,51.8
405107157,405107146,3997706,0,991.19,51.789997
405207642,405207628,3997706,0,991.07,51.8
405308163,405308152,3997706,0,991.14996,51.8
405409764,405409753,3997706,0,991.13995,51.789997
405510364,405510353,3997706,0,991.1,51.789997
405610978,405610966,3997706,0,991.13995,51.789997
405712378,405712364,3997706,0,991.04,51.789997
405812950,405812939,3997706,0,991.06,51.78
405913531,405913520,3997706,0,991.04,51.789997
406015226,406015215,3997706,0,991.16,51.78
406115774,406115762,3997706,0,991.12,51.78
406196225,406196214,3997706,0,991.08997,51.78
406307803,406307792,3997706,0,991.13,51.77
406398267,406398256,3997706,0,991.12,51.78
406508842,406508831,3997706,0,991.13995,51.77
406599354,406599337,3997706,0,991.14996,51.78
406710908,406710897,3997706,0,991.13,51.77
406801347,406801336,3997706,0,991.08997,51.77
406911924,406911913,3997706,0,991.17,51.76
407003310,407003296,3997706,0,991.12,51.76
407204411,407204400,3997706,0,991.22,51.76
407316140,407316125,3997706,0,991.07996,51.75
407406675,407406664,3997706,0,991.12,51.76
407507235,407507224,3997706,0,991.17,51.76
407608915,407608904,3997706,0,991.07996,51.75
407709457,407709446,3997706,0,991.1,51.75
407809996,407809985,3997706,0,991.14996,51.75
407911468,407911457,3997706,0,991.17,51.75
408011972,408011961,3997706,0,991.14996,51.739998
408112549,408112538,3997706,0,991.12,51.739998
408213070,408213059,3997706,0,991.17,51.739998
408314590,408314579,3997706,0,991.13995,51.739998
408415117,408415106,3997706,0,991.17,51.73
408515724,408515713,3997706,0,991.08997,51.73
408607302,408607291,3997706,0,991.16,51.73
408697842,408697831,3997706,0,991.13995,51.73
408808378,408808367,3997706,0,991.17,51.73
408899841,408899829,3997706,0,991.22,51.73
409010392,409010379,3997706,0,991.18,51.73
409100864,409100853,3997706,0,991.13,51.719997
409211462,409211451,3997706,0,991.14996,51.73
409302947,409302936,3997706,0,991.16,51.719997
409413651,409413630,3997706,0,991.22,51.719997
409504182,409504171,3997706,0,991.18,51.719997
409615856,409615845,3997706,0,991.13,51.71
409706332,409706321,3997706,0,991.20996,51.71
409806953,409806942,3997706,0,991.20996,51.71
409908522,409908511,3997706,0,991.12,51.71
410008983,410008972,3997706,0,991.13,51.699997
410109544,410109533,3997706,0,991.20996,51.71
410211040,410211027,3997706,0,991.13,51.699997
410311584,410311570,3997706,0,991.19,51.699997
410412046,410412035,3997706,0,991.20996,51.71
410513565,410513554,3997706,0,991.14996,51.699997
410614188,410614177,3997706,0,991.16,51.699997
410714857,410714843,3997706,0,991.17,51.69
410816458,410816447,3997706,0,991.19995,51.699997
410916904,410916893,3997706,0,991.16,51.69
410997317,410997306,3997706,0,991.17,51.69
411107881,411107870,3997706,0,991.18,51.69
411199326,411199315,3997706,0,991.14996,51.69
411309985,411309974,3997706,0,991.23,51.69
411400415,411400404,3997706,0,991.23,51.69
411511949,411511938,3997706,0,991.19,51.69
411602415,411602404,3997706,0,991.16,51.69
411712898,411712887,3997706,0,991.22,51.68
411803402,411803391,3997706,0,991.17,51.68
411914996,411914985,3997706,0,991.18,51.68
412005548,412005537,3997706,0,991.20996,51.68
412106097,412106082,3997706,0,991.24,51.68
412207645,412207634,3997706,0,991.20996,51.68
412308174,412308163,3997706,0,991.19995,51.68
412408763,412408752,3997706,0,991.16,51.67
412510348,412510337,3997706,0,991.19995,51.67
412711384,412711369,3997706,0,991.17,51.67
412812867,412812856,3997706,0,991.16,51.67
412913445,412913434,3997706,0,991.23,51.67
413014004,413013993,3997706,0,991.17,51.67
413114561,413114550,3997706,0,991.17,51.66
413216084,413216073,3997706,0,991.23,51.67
413407185,413407174,3997706,0,991.22,51.66
413498672,413498661,3997706,0,991.24,51.66
413609237,413609226,3997706,0,991.16,51.66
413699700,413699689,3997706,0,991.18,51.649998
413811247,413811236,3997706,0,991.16,51.66
413901737,413901726,3997706,0,991.20996,51.66
414012278,414012267,3997706,0,991.20996,51.66
414102807,414102796,3997706,0,991.25995,51.649998
414214425,414214411,3997706,0,991.23,51.649998
414304934,414304923,3997706,0,991.25,51.649998
414415507,414415496,3997706,0,991.20996,51.649998
414506940,414506929,3997706,0,991.22,51.649998
414607631,414607619,3997706,0,991.22,51.649998
414708202,414708188,3997706,0,991.20996,51.649998
414809715,414809704,3997706,0,991.23,51.649998
414910212,414910201,3997706,0,991.16,51.649998
415010767,415010756,3997706,0,991.24,51.649998
415111257,415111246,3997706,0,991.20996,51.64
415212835,415212823,3997706,0,991.25,51.64
415313377,415313366,3997706,0,991.23,51.64
415413961,415413946,3997706,0,991.19995,51.64
415515584,415515573,3997706,0,991.20996,51.64
415616103,415616092,3997706,0,991.18,51.64
415716638,415716627,3997706,0,991.22,51.64
415798096,415798082,3997706,0,991.22,51.64
415999223,415999212,3997706,0,991.18,51.629997
416110820,416110809,3997706,0,991.22,51.64
416312090,416312075,3997706,0,991.22,51.629997
416403631,416403617,3997706,0,991.19995,51.64
416514216,416514205,3997706,0,991.25,51.64
416716335,416716321,3997706,0,991.22,51.629997
416806846,416806835,3997706,0,991.25995,51.629997
417009008,417008981,3997706,0,991.22,51.629997
417109521,417109510,3997706,0,991.25,51.629997
417210040,417210029,3997706,0,991.25995,51.629997
417310558,417310543,3997706,0,991.29,51.629997
417412032,417412018,3997706,0,991.20996,51.629997
417512659,417512645,3997706,0,991.25995,51.629997
417613246,417613235,3997706,0,991.24,51.629997
417714886,417714875,3997706,0,991.19995,51.62
417815413,417815402,3997706,0,991.19,51.629997
417915911,417915900,3997706,0,991.19995,51.62
418007324,418007313,3997706,0,991.23,51.629997
418097817,418097806,3997706,0,991.19995,51.629997
418208385,418208370,3997706,0,991.20996,51.62
418298889,418298878,3997706,0,991.25,51.629997
418410551,418410540,3997706,0,991.19,51.629997
418501031,418501016,3997706,0,991.19995,51.629997
418612656,418612644,3997706,0,991.20996,51.629997
418703145,418703134,3997706,0,991.25,51.629997
418813753,418813742,3997706,0,991.24,51.629997
418904226,418904215,3997706,0,991.24,51.629997
419005784,419005773,3997706,0,991.25,51.629997
419106355,419106344,3997706,0,991.23,51.62
419206898,419206887,3997706,0,991.23,51.629997
419308545,419308534,3997706,0,991.3,51.62
419409014,419409003,3997706,0,991.25995,51.629997
419509560,419509549,3997706,0,991.29,51.629997
419611073,419611060,3997706,0,991.3,51.62
419711667,419711656,3997706,0,991.25,51.629997
419812273,419812262,3997706,0,991.27997,51.62
419913872,419913861,3997706,0,991.24,51.62
420014425,420014407,3997706,0,991.3,51.62
420114953,420114942,3997706,0,991.3,51.629997
420216523,420216512,3997706,0,991.19995,51.62
420306944,420306930,3997706,0,991.3,51.62
420397458,420397447,3997706,0,991.29,51.629997
420508027,420508016,3997706,0,991.27997,51.62
420599479,420599468,3997706,0,991.22,51.62
420710066,420710055,3997706,0,991.26996,51.62
420800563,420800552,3997706,0,991.25995,51.62
420912062,420912051,3997706,0,991.31,51.62
421002614,421002596,3997706,0,991.27997,51.62
421113299,421113285,3997706,0,991.26996,51.62
421204883,421204872,3997706,0,991.22,51.62
421315492,421315481,3997706,0,991.25,51.62
421405970,421405959,3997706,0,991.23,51.62
421506507,421506496,3997706,0,991.25995,51.61
421608053,421608042,3997706,0,991.26996,51.61
421708651,421708640,3997706,0,991.24,51.62
421809170,421809156,3997706,0,991.31,51.61
421910677,421910666,3997706,0,991.26996,51.61
422011216,422011205,3997706,0,991.3,51.61
422111691,422111680,3997706,0,991.25,51.61
422213343,422213332,3997706,0,991.19995,51.62
422313967,422313956,3997706,0,991.27997,51.61
422414618,422414607,3997706,0,991.29,51.62
422516068,422516055,3997706,0,991.22,51.61
422616596,422616585,3997706,0,991.26996,51.61
422697072,422697061,3997706,0,991.24,51.61
422808681,422808664,3997706,0,991.19,51.61
422899159,422899147,3997706,0,991.25,51.61
423009751,423009735,3997706,0,991.24,51.61
423100218,423100204,3997706,0,991.23,51.61
423211951,423211940,3997706,0,991.25995,51.61
423302446,423302435,3997706,0,991.26996,51.61
423412998,423412987,3997706,0,991.19995,51.6
423504387,423504374,3997706,0,991.27997,51.61
423615023,423615012,3997706,0,991.20996,51.61
423705529,423705515,3997706,0,991.25,51.61
423807068,423807057,3997706,0,991.24,51.61
423907658,423907647,3997706,0,991.25995,51.61
424008173,424008152,3997706,0,991.22,51.61
424109896,424109885,3997706,0,991.22,51.6
424210467,424210455,3997706,0,991.31,51.61
424310984,424310973,3997706,0,991.32996,51.6
424412575,424412564,3997706,0,991.36,51.61
424513198,424513185,3997706,0,991.3,51.6
424613668,424613657,3997706,0,991.32,51.61
424715143,424715132,3997706,0,991.25,51.61
424815790,424815779,3997706,0,991.31,51.6
424916321,424916310,3997706,0,991.38995,51.6
424996721,424996710,3997706,0,991.37,51.6
425108212,425108201,3997706,0,991.41,51.6
425198769,425198758,3997706,0,991.42,51.6
425309285,425309274,3997706,0,991.38,51.59
425400781,425400770,3997706,0,991.35,51.59
425511470,425511459,3997706,0,991.38,51.59
425601968,425601957,3997706,0,991.43,51.59
425713525,425713514,3997706,0,991.51996,51.59
425804004,425803991,3997706,0,991.51996,51.579998
425914594,425914580,3997706,0,991.47,51.579998
426005105,426005094,3997706,0,991.43,51.559998
426106722,426106711,3997706,0,991.52997,51.559998
426207286,426207275,3997706,0,991.39996,51.57
426308938,426308927,3997706,0,991.57,51.55
426409511,426409500,3997706,0,991.58997,51.55
426510026,426510015,3997706,0,991.69995,51.539997
426610585,426610574,3997706,0,991.63995,51.539997
426812590,426812579,3997706,0,991.70996,51.52
426913139,426913126,3997706,0,991.87,51.51
427014704,427014693,3997706,0,991.85,51.5
427115209,427115198,3997706,0,991.77997,51.489998
427215760,427215746,3997706,0,991.77997,51.469997
427316222,427316211,3997706,0,991.82,51.46
427407612,427407601,3997706,0,991.79,51.449997
427498155,427498144,3997706,0,991.99,51.44
427608865,427608852,3997706,0,991.94995,51.43
427700389,427700372,3997706,0,991.85,51.42
427810952,427810941,3997706,0,991.89996,51.399998
427901458,427901447,3997706,0,991.88,51.379997
428013164,428013146,3997706,0,992.1,51.37
428103678,428103667,3997706,0,992.07,51.35
428214190,428214179,3997706,0,991.97,51.34
428305635,428305624,3997706,0,991.82,51.32
428416218,428416207,3997706,0,991.93,51.3
428506668,428506657,3997706,0,992.01996,51.289997
428607217,428607206,3997706,0,991.72,51.26
428708752,428708741,3997706,0,991.82996,51.25
428809374,428809363,3997706,0,991.92,51.239998
428909914,428909903,3997706,0,991.69,51.21
429011378,429011367,3997706,0,991.58997,51.19
429111947,429111936,3997706,0,991.75995,51.18
429212523,429212512,3997706,0,991.61,51.16
429314185,429314174,3997706,0,991.66,51.14
429414777,429414766,3997706,0,991.57,51.12
429515410,429515391,3997706,0,991.48,51.1
429616969,429616958,3997706,0,991.45996,51.079998
429707468,429707456,3997706,0,991.36,51.059998
429797885,429797874,3997706,0,991.26996,51.039997
429999958,429999940,3997706,0,991.22,51.01
430110594,430110580,3997706,0,991.20996,50.989998
430201977,430201966,3997706,0,991.07,50.969997
430312614,430312603,3997706,0,991.0,50.95
430403126,430403115,3997706,0,991.01996,50.94
430514671,430514660,3997706,0,990.93,50.91
430605281,430605270,3997706,0,990.95996,50.899998
430715882,430715867,3997706,0,990.91,50.879997
430806369,430806358,3997706,0,990.81,50.86
430908043,430908032,3997706,0,990.75995,50.84
431008689,431008675,3997706,0,990.58997,50.82
431110092,431110081,3997706,0,990.61,50.8
431210877,431210866,3997706,0,990.67,50.78
431311400,431311385,3997706,0,990.55,50.76
431412848,431412837,3997706,0,990.6,50.739998
431513511,431513500,3997706,0,990.54,50.719997
431614055,431614044,3997706,0,990.48,50.7
431714604,431714593,3997706,0,990.41,50.68
431806014,431806003,3997706,0,990.33997,50.66
431896517,431896499,3997706,0,990.3,50.64
432007121,432007110,3997706,0,990.23,50.62
432098688,432098677,3997706,0,990.3,50.6
432209288,432209277,3997706,0,990.3,50.579998
432411336,432411325,3997706,0,990.08997,50.53
432612574,432612563,3997706,0,990.00995,50.5
432704095,432704084,3997706,0,990.00995,50.48
432814677,432814666,3997706,0,990.14996,50.46
432905173,432905162,3997706,0,990.05,50.44
433006720,433006706,3997706,0,989.99,50.41
433107296,433107285,3997706,0,990.04,50.399998
433207887,433207876,3997706,0,990.01996,50.37
433309492,433309481,3997706,0,989.92,50.35
433409971,433409957,3997706,0,989.95996,50.329998
433510564,433510552,3997706,0,989.99,50.309998
433612027,433612016,3997706,0,990.05,50.28
433712590,433712579,3997706,0,990.00995,50.27
433813227,433813216,3997706,0,989.87,50.239998
434015262,434015251,3997706,0,989.83997,50.2
434115745,434115730,3997706,0,990.0,50.18
434196171,434196160,3997706,0,989.67,50.17
434307772,434307753,3997706,0,989.88,50.14
