timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var,source
394627506,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
395627553,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
396627509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
397627516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
398627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
399627493,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
400627512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
401627509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
402627509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
403627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
404627504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
405627507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
406627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
407627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
408627561,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
409627517,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
410627513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
411627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
412627514,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
413627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
414627512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
415627728,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
416627587,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
417627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
418627760,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
419627517,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
420627513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
421627674,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
422627535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
423627557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
424627639,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
425627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
426627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
427627541,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
428627504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
429627555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
430627559,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
431627518,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
432627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
433627511,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
434627849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
435627512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
436627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
437627529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
438627515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
439627502,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
440627554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
441627675,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
442627500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
443627504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
444627507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
445627643,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
446627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448627509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
449627602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
450627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
451627518,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
453627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
454627513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
455627552,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
456627509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
457627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
458627515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
459627504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
460627563,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
461627504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
462627655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
463627511,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
464627511,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
465627554,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
466627523,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
467627681,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
468627505,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
469627547,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
470627543,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
471627552,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
472627511,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
473627502,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
474627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
475627542,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
476627511,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
477627501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
478627513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
479627550,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
480627552,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
481627568,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
482627506,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
483627543,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
484627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
486627628,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
487627522,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
488627509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
489627514,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
490627532,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
491627520,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
492627504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
493627536,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
494627502,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
495627655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
496627503,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
497627503,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
498627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
499627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
500627555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
501627516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
502627610,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
503627511,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
504627512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
505627516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
506627522,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
507627507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
508627516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
509627504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
510627523,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
511627546,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
512627512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
513627518,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
514627501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
515627514,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
516627502,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
517627511,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
518627503,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
519627737,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
520627507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
521627548,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
522627504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
523627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
524627555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
525627515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
526627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
527627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
528627517,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
529627523,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
530627669,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
531627507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
532627511,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
533627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
534627548,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
535627516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
536627529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
537627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
538627519,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
539627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
540627511,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
541627603,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
543627506,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
544627504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
545627512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
546627513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
547627689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
548627509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
549627557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
550627532,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
551627510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
552627511,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
553627774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
554627507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
555627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
556627506,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
557627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
558627499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
559627509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
560627515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
561627502,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
562627509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
563627587,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
