timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
448224756,448218207,1.8239561,0.12917084,1.6082565,1.7250823,1.8506185,2.199677,-0.78276706,8.218308,0.122766495,-3.0236645,-12.889629,59.311115,18.835901,11.727062,7.643284,-1.8501663,-21.947895,0.017101303,0.15305944,0.7956366,0.017101303,0.017101303
449225568,449218819,2.0656648,0.11471754,1.8912873,1.9712414,2.082159,2.4056582,-0.5337092,5.510208,-1.2495842,-3.6541023,-11.836548,62.955246,16.968245,9.747589,5.4711914,-4.0114098,-15.903408,0.015534231,0.092020854,0.86137646,0.015534231,0.015534231
450225940,450219424,2.2135153,0.11335237,2.0785646,2.126043,2.2239494,2.525677,-0.3860615,2.380331,-3.2875443,-5.058901,-11.947098,61.274517,16.893919,9.942009,5.7846794,-2.952777,-9.600693,0.015612339,0.04689326,0.9062696,0.015612339,0.015612339
451222585,451220022,2.3324504,0.10373293,2.2326021,2.2529337,2.3399777,2.625513,-0.25727603,3.2198563,-1.6137657,-2.878231,-8.640602,61.684376,15.442987,8.913952,4.9581013,-3.1113682,-4.4549303,0.014477442,0.027016588,0.929551,0.014477442,0.014477442
452227225,452220614,2.4228659,0.10402326,2.3505156,2.3489497,2.4291704,2.7065797,-0.154997,0.8117447,-3.4227219,-4.3157997,-9.203283,57.59453,15.111154,9.002873,5.269088,-2.140253,0.11517143,0.0147448545,0.015073991,0.9406914,0.0147448545,0.0147448545
454224216,454221780,2.473673,0.0983053,2.4473636,2.413166,2.4791799,2.7362025,-0.095561594,1.4153442,-2.0233593,-2.5174332,-6.4701366,52.845078,13.2218075,7.869318,4.6258736,-1.5440407,3.189023,0.0140872095,0.0140872095,0.94365114,0.0140872095,0.0140872095
455229185,455222357,2.5946941,0.09618982,2.586331,2.539206,2.599917,2.8517702,0.031239275,0.75377846,-2.457058,-2.7349186,-5.966797,50.32698,12.139039,7.126832,4.029928,-1.8202629,6.5814333,0.013856568,0.013856568,0.94457364,0.013856568,0.013856568
456225194,456222929,2.8227124,0.09411677,2.8322344,2.7727904,2.8276873,3.0750644,0.27005586,0.121004105,-3.0352993,-3.0009766,-5.0343,48.418713,11.777666,7.150785,4.1421285,-1.5953372,14.827986,0.013676009,0.013676009,0.94516706,0.013804921,0.013676009
457230331,457223487,2.9975133,0.088337496,3.0229025,2.9529428,3.001726,-3.0403643,0.4623562,0.092437744,-3.1496906,-2.806322,-3.584879,45.12051,11.003092,6.7018385,3.836938,-1.5647838,23.336561,0.012975773,0.012975773,0.946006,0.015066706,0.012975773
458226003,458224046,-2.9183252,0.080034345,-2.8809578,-2.9577773,-2.9145997,-2.6793368,0.86253655,0.18590164,-3.3923187,-2.6806812,-1.8043919,37.01855,7.4611354,3.3401728,0.70906925,-3.9141338,32.196297,0.01201069,0.01201069,0.9485196,0.01544842,0.01201069
459226680,459224609,-2.3901787,0.078027375,-2.356056,-2.4267664,-2.3859143,-2.1578453,1.4397489,1.035471,-2.9586964,-1.9029903,0.64643097,18.337383,10.118879,5.675495,3.4789286,0.8536911,45.67787,0.012178051,0.012178051,0.94728136,0.016184427,0.012178051
