timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
401485287,1627401610000097,386218725,-91532770,49231,97456,1.654,0.5553847,5.4040003,12.696001,1.17,2.45,89,10,0.31800002,-0.046000004,-0.31500003,0.638,1.0850682,0,nan,0.0,3,0,1,8,0
401689642,1627401610200097,386218723,-91532776,48711,96937,1.6980001,0.5554687,5.4160004,12.714001,1.17,2.45,89,10,0.65000004,0.187,0.623,0.675,1.0850682,0,nan,0.0,3,0,1,8,0
401890134,1627401610400097,386218714,-91532766,48638,96863,1.549,0.5555451,5.42,12.714001,1.17,2.45,89,6,0.605,-0.07300001,0.601,1.1580001,1.0850682,0,nan,0.0,3,0,1,8,0
402090501,1627401610600097,386218698,-91532743,48482,96707,1.5830001,0.5556449,5.432,12.741,1.17,2.45,89,6,1.746,-1.093,1.3610001,1.026,1.0850682,0,nan,0.0,3,0,1,8,0
402290473,1627401610800097,386218679,-91532718,49046,97271,1.5020001,0.5557191,5.4300003,12.72,1.17,2.44,89,6,0.45400003,-0.43,0.147,0.8880001,1.0850682,0,nan,0.0,3,0,1,8,0
402492599,1627401611000097,386218678,-91532727,48922,97147,1.3050001,0.5557835,5.4340005,12.725,1.17,2.44,89,6,0.591,0.512,-0.296,0.259,1.0850682,0,nan,0.0,3,0,1,8,0
402690520,1627401611200097,386218675,-91532711,49861,98087,1.2340001,0.55584425,5.425,12.689,1.17,2.44,89,6,0.544,-0.531,-0.116000004,0.094000004,1.0850682,0,nan,0.0,3,0,1,8,0
402890906,1627401611400097,386218685,-91532709,50728,98954,1.225,0.55592716,5.4100003,12.653001,1.17,2.44,89,5,1.6300001,1.102,-1.202,0.41200003,1.0850682,0,nan,0.0,3,0,1,8,0
403091424,1627401611600097,386218686,-91532732,50744,98970,1.1860001,0.5559856,5.3830004,12.589001,1.17,2.44,89,5,0.27400002,0.26900002,-0.052,-0.07300001,1.0850682,0,nan,0.0,3,0,1,8,0
403292416,1627401611800097,386218689,-91532768,50117,98343,1.3510001,0.55605227,5.3840003,12.617001,1.17,2.44,89,5,1.215,0.37300003,-1.156,-0.24000001,1.0850682,0,nan,0.0,3,0,1,8,0
403491260,1627401612000097,386218696,-91532796,49522,97747,1.4050001,0.5561216,5.3950005,12.649,1.17,2.44,89,5,0.75200003,0.739,-0.13700001,0.656,1.0850682,0,nan,0.0,3,0,1,8,0
403687195,1627401612200097,386218693,-91532792,49238,97464,1.342,0.55618775,5.407,12.682,1.17,2.44,89,5,0.98,-0.48800004,0.85,0.441,1.0850682,0,nan,0.0,3,0,1,8,0
403887561,1627401612400097,386218686,-91532798,49217,97442,1.3440001,0.556254,5.401,12.661,1.17,2.44,89,5,0.75500005,0.24900001,-0.712,0.24900001,1.0850682,0,nan,0.0,3,0,1,8,0
404082503,1627401612600097,386218689,-91532830,49152,97377,1.3490001,0.5563354,5.405,12.683001,1.17,2.44,89,5,1.621,0.379,-1.5760001,-0.31800002,1.0850682,0,nan,0.0,3,0,1,8,0
404291787,1627401612800097,386218701,-91532873,49607,97833,1.4690001,0.4864534,5.412,12.705001,1.17,2.44,89,5,2.66,1.24,-2.3530002,-0.19100001,6.1378255,0,nan,0.0,3,0,1,8,0
404487759,1627401613000097,386218717,-91532896,50429,98655,1.4350001,0.74590045,5.4150004,12.709001,1.17,2.44,89,5,1.741,0.642,-1.618,0.085,5.825111,0,nan,0.0,3,0,1,8,0
