timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
394709333,394707136,0,nan,nan,-0.0054858224,-0.004806905,-0.41018534,0.0,0.0,0.0,-0.010057716,-0.00777637,0.14728339,0.11935772,-0.00071485934,-0.0009356753,0.0,-0.02061227,-0.0076354076,0.02965995,-0.22222945,-2.2562287,nan,0.1,0.08612803,0.4840542,0.09485677,0.11357508,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
394809285,394807213,0,nan,nan,-0.0054285214,-0.0046473993,-0.40078846,0.0,0.0,0.0,-0.0074435873,-0.006175146,0.14736784,0.11697878,-0.00071485934,-0.0009356753,0.0,-0.025997099,-0.06742699,0.010784345,-0.22295095,-2.2562287,nan,0.1,0.07901289,0.483414,0.09009531,0.11348821,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
394909219,394907296,0,nan,nan,-0.0052780025,-0.0046478235,-0.3903727,0.0,0.0,0.0,-0.007510463,-0.0083791865,0.14725049,0.11566501,-0.00071485934,-0.0009356753,0.0,-0.030450374,-0.038373627,0.04923884,-0.22282286,-2.2562287,nan,0.1,0.08612775,0.48276627,0.09485296,0.11339918,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
395009521,395007377,0,nan,nan,-0.005157128,-0.0048004603,-0.3803736,0.0,0.0,0.0,-0.00733805,-0.00847357,0.1469854,0.11397563,-0.00071485934,-0.0009356753,0.0,0.0147951115,0.06618002,0.05611521,-0.22249565,-2.2562287,nan,0.1,0.079012774,0.4821273,0.09009616,0.113312,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
395109631,395107470,0,nan,nan,-0.0050301203,-0.00468504,-0.36843547,0.0,0.0,0.0,-0.0077192714,-0.006273582,0.14656024,0.114100195,-0.00071485934,-0.0009356753,0.0,0.016424933,-0.010334844,0.02039503,-0.22273614,-2.2562287,nan,0.1,0.08612776,0.48611927,0.09485732,0.113852,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
395219877,395217553,0,nan,nan,-0.004775541,-0.004426356,-0.35561985,0.0,0.0,0.0,-0.0069438242,-0.0077520544,0.14642046,0.114275314,-0.00071485934,-0.0009356753,0.0,-0.0048978296,-0.10180624,-0.0018230878,-0.22225729,-2.2562287,nan,0.1,0.07969643,0.48170087,0.09057381,0.11325255,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
395309558,395307622,0,nan,nan,-0.0046872213,-0.004580919,-0.3455566,0.0,0.0,0.0,-0.0077801244,-0.010918567,0.14654014,0.11414897,-0.00071485934,-0.0009356753,0.0,-0.024497587,-0.056666188,-0.007799457,-0.222173,-2.2562287,nan,0.1,0.086128004,0.4848166,0.09486052,0.11367397,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
395509518,395507797,0,nan,nan,-0.00424016,-0.0047666044,-0.326382,0.0,0.0,0.0,-0.007143453,-0.0041091545,0.14761075,0.11197016,-0.00071485934,-0.0009356753,0.0,-0.04429976,0.01363924,0.042813893,-0.22128186,-2.2562287,nan,0.1,0.08612842,0.48351744,0.09486204,0.11349601,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
395609864,395607868,0,nan,nan,-0.0042141653,-0.004465106,-0.3160516,0.0,0.0,0.0,-0.0072322153,-0.007282871,0.14585528,0.1094875,-0.00071485934,-0.0009356753,0.0,0.018657926,-0.07574319,-0.059132185,-0.22197461,-2.2562287,nan,0.1,0.07901341,0.48286504,0.090097904,0.11340622,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
395710334,395707950,0,nan,nan,-0.003988482,-0.004452015,-0.3055894,0.0,0.0,0.0,-0.004992163,-0.007821121,0.14492184,0.10819074,-0.00071485934,-0.0009356753,0.0,-0.035422627,-0.033904854,-0.045518942,-0.22121577,-2.2562287,nan,0.1,0.08612853,0.48222175,0.09486073,0.11331834,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
395810202,395808032,0,nan,nan,-0.003911617,-0.004392225,-0.29575607,0.0,0.0,0.0,-0.0072044437,-0.0053714034,0.14615019,0.10847579,-0.00071485934,-0.0009356753,0.0,0.047975056,-0.007242857,0.05065742,-0.22139321,-2.2562287,nan,0.1,0.0790137,0.48621202,0.09010481,0.113857575,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
395910109,395908114,0,nan,nan,-0.0037488707,-0.0043751835,-0.2865086,0.0,0.0,0.0,-0.0030530272,-0.007086639,0.1447682,0.1056626,-0.00071485934,-0.0009356753,0.0,0.03249696,0.015620363,0.0112537695,-0.22130632,-2.2562287,nan,0.1,0.08612929,0.4855519,0.09486286,0.113767095,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
396010274,396008206,0,nan,nan,-0.0034120798,-0.004378007,-0.280888,0.0,0.0,0.0,-0.005707719,-0.0076283556,0.144546,0.10071003,-0.00071485934,-0.0009356753,0.0,-0.045367014,0.026713386,0.034453347,-0.22113569,-2.2562287,nan,0.1,0.07901417,0.4849009,0.0901071,0.113677986,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
396110024,396108278,0,nan,nan,-0.0033427423,-0.004413408,-0.2761675,0.0,0.0,0.0,-0.005763254,-0.008827412,0.14417627,0.09518785,-0.00071485934,-0.0009356753,0.0,0.0017045429,-0.02354733,0.007035046,-0.22145343,-2.2562287,nan,0.1,0.08612982,0.48425916,0.09486436,0.11359133,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
396210168,396208362,0,nan,nan,-0.0031552585,-0.004545672,-0.27175102,0.0,0.0,0.0,-0.004154773,-0.00827567,0.14165293,0.08792249,-0.00071485934,-0.0009356753,0.0,0.008249298,-0.047125313,0.0013814517,-0.22089542,-2.2562287,nan,0.1,0.07901439,0.4836099,0.09010295,0.11350249,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
396310515,396308442,0,nan,nan,-0.0030301267,-0.0047224057,-0.26603395,0.0,0.0,0.0,-0.005173433,-0.0076906593,0.14259233,0.08605604,-0.00071485934,-0.0009356753,0.0,-0.0015558293,0.07029231,-0.021356137,-0.22130127,-2.2562287,nan,0.1,0.0861299,0.48296958,0.094866306,0.11341551,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
