timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
394698087,394697129,2162698,1.5650098,-0.41020656,-9.781113,52.765293,1,0,0,0,3
394700560,394699628,2162698,1.5310919,-0.39863458,-9.775525,52.765293,1,0,0,0,2
394798161,394797221,2162698,1.6120958,-0.3774858,-9.772333,52.765293,0,0,0,0,3
394898226,394897292,2162698,1.5801731,-0.3894568,-9.771536,52.765293,0,0,0,0,3
394998318,394997376,2162698,1.5642118,-0.28810227,-9.742007,52.765293,0,0,0,0,3
395098526,395097462,2162698,1.5865577,-0.3750916,-9.77393,52.765293,0,0,0,0,3
395203492,395202537,2162698,1.5602214,-0.45170605,-9.745997,52.765293,0,0,0,0,3
395298562,395297614,2162698,1.5626156,-0.40222588,-9.85214,52.765293,0,0,0,0,3
395498731,395497778,2162698,1.5203182,-0.32002497,-9.786698,52.671177,0,0,0,0,3
395598785,395597860,2162698,1.5777789,-0.39264908,-9.809045,52.671177,0,0,0,0,3
395698878,395697942,2162698,1.5259045,-0.31523657,-9.840169,52.671177,0,0,0,0,3
395796522,395795538,2162698,1.5610195,-0.2825158,-9.716867,52.671177,0,0,0,0,2
395899044,395898107,2162698,1.6320475,-0.25697765,-9.781113,52.671177,0,0,0,0,3
395996680,395995685,2162698,1.4664485,-0.37588966,-9.77792,52.671177,0,0,0,0,2
396096777,396095776,2162698,1.6244658,-0.35075054,-9.836577,52.671177,0,0,0,0,2
396196862,396195857,2162698,1.5562311,-0.37110126,-9.822212,52.671177,0,0,0,0,2
396296871,396295935,2162698,1.5490485,-0.31244332,-9.8677025,52.671177,0,0,0,0,2
396396937,396396013,2162698,1.567005,-0.35075054,-9.844957,52.765293,0,0,0,0,2
396497127,396496102,2162698,1.5011644,-0.34835634,-9.781511,52.765293,0,0,0,0,2
396597226,396596184,2162698,1.5933412,-0.34476504,-9.704897,52.765293,0,0,0,0,2
396697272,396696266,2162698,1.5035586,-0.38067806,-9.797073,52.765293,0,0,0,0,2
396797271,396796341,2162698,1.6244658,-0.2861071,-9.751583,52.765293,0,0,0,0,2
396897366,396896427,2162698,1.4820108,-0.36511576,-9.836577,52.765293,0,0,0,0,2
396997431,396996505,2162698,1.5897499,-0.39863458,-9.824607,52.765293,0,0,0,0,2
397097608,397096587,2162698,1.5370775,-0.260968,-9.797073,52.765293,0,0,0,0,2
397297680,397296754,2162698,1.6208745,-0.31124622,-9.763555,52.765293,0,0,0,0,2
397697999,397697079,2162698,1.5215151,-0.3842694,-9.811439,52.81235,0,0,0,0,2
397798146,397797161,2162698,1.5765818,-0.3196259,-9.810242,52.81235,0,0,0,0,2
397898252,397897249,2162698,1.5478514,-0.25378537,-9.797073,52.81235,0,0,0,0,2
397998265,397997347,2162698,1.5957354,-0.24779987,-9.832987,52.81235,0,0,0,0,2
398098449,398097413,2162698,1.5179238,-0.36391866,-9.832987,52.81235,0,0,0,0,2
398198422,398197489,2162698,1.567005,-0.33159694,-9.846154,52.81235,0,0,0,0,2
398298574,398297571,2162698,1.496376,-0.30885202,-9.76116,52.81235,0,0,0,0,2
398398583,398397653,2162698,1.5646108,-0.24899697,-9.767146,52.718235,0,0,0,0,2
398498663,398497735,2162698,1.5298948,-0.30645782,-9.862914,52.718235,0,0,0,0,2
398598746,398597817,2162698,1.5478514,-0.29448682,-9.80665,52.718235,0,0,0,0,2
398696397,398695408,2162698,1.5650098,-0.41100463,-9.825006,52.718235,0,0,0,0,3
398796435,398795482,2162698,1.5275007,-0.27373707,-9.787497,52.718235,0,0,0,0,3
398896564,398895571,2162698,1.5490485,-0.21468009,-9.718863,52.718235,0,0,0,0,3
398996656,398995646,2162698,1.567404,-0.3343902,-9.825006,52.718235,0,0,0,0,3
399096760,399095731,2162698,1.554635,-0.31284237,-9.788295,52.718235,0,0,0,0,3
399196812,399195806,2162698,1.5322891,-0.21867043,-9.793083,52.718235,0,0,0,0,3
399396906,399395968,2162698,1.5993267,-0.29688102,-9.785901,52.81235,0,0,0,0,3
399497020,399496059,2162698,1.5147316,-0.14844051,-9.859323,52.81235,0,0,0,0,3
399597109,399596145,2162698,1.5522408,-0.31763077,-9.849746,52.81235,0,0,0,0,3
399697183,399696257,2162698,1.6097016,-0.4700616,-9.904015,52.81235,0,0,0,0,3
399797239,399796302,2162698,1.5658079,-0.3463612,-9.817025,52.81235,0,0,0,0,3
399897363,399896402,2162698,1.542664,-0.055864707,-9.771536,52.81235,0,0,0,0,3
400197571,400196632,2162698,1.5051548,-0.21148781,-9.758766,52.81235,0,0,0,0,3
400397742,400396796,2162698,1.5442601,-0.47644615,-9.673373,52.718235,0,0,0,0,3
400497887,400496871,2162698,1.5586253,-0.32561144,-9.743603,52.718235,0,0,0,0,3
400597926,400596958,2162698,1.5203182,-0.4213795,-9.730036,52.718235,0,0,0,0,3
400697984,400697038,2162698,1.566606,-0.21388203,-9.701305,52.718235,0,0,0,0,3
400798118,400797118,2162698,1.5682021,-0.21068975,-9.797073,52.718235,0,0,0,0,3
401098294,401097363,2162698,1.5267026,-0.32481337,-9.816227,52.718235,0,0,0,0,3
401198406,401197462,2162698,1.5099432,-0.3024675,-9.858524,52.718235,0,0,0,0,3
401298523,401297565,2162698,1.6248649,-0.3607264,-9.884861,52.718235,0,0,0,0,3
401398583,401397642,2162698,1.472434,-0.15961345,-9.768343,52.765293,0,0,0,0,3
401496113,401495195,2162698,1.553837,-0.35913026,-9.642648,52.765293,0,0,0,0,2
401598744,401597797,2162698,1.5833654,-0.39823556,-9.853736,52.765293,0,0,0,0,3
401696300,401695360,2162698,1.5406688,-0.2765303,-9.870096,52.765293,0,0,0,0,2
401798879,401797936,2162698,1.517924,-0.2681506,-9.79867,52.765293,0,0,0,0,3
401896449,401895516,2162698,1.5753847,-0.30885202,-9.781511,52.765293,0,0,0,0,2
401996535,401995602,2162698,1.5275006,-0.22864626,-9.8042555,52.765293,0,0,0,0,2
402096679,402095680,2162698,1.541866,-0.18435353,-9.783905,52.765293,0,0,0,0,2
402196683,402195762,2162698,1.5406688,-0.31603462,-9.854534,52.765293,0,0,0,0,2
402296848,402295852,2162698,1.5334862,-0.33279404,-9.720459,52.765293,0,0,0,0,2
402396923,402395925,2162698,1.5957354,-0.2765303,-9.773131,52.718235,0,0,0,0,2
402497011,402496007,2162698,1.4772224,-0.19273324,-9.82341,52.718235,0,0,0,0,2
402597015,402596088,2162698,1.5610195,-0.33877954,-9.710882,52.718235,0,0,0,0,2
402699624,402698679,2162698,1.5793751,-0.24740085,-9.647835,52.718235,0,0,0,0,3
402797169,402796251,2162698,1.5490485,-0.24420857,-9.799467,52.718235,0,0,0,0,2
402897302,402896334,2162698,1.6089035,-0.29568392,-9.928755,52.718235,0,0,0,0,2
402997363,402996445,2162698,1.5394717,-0.29209262,-9.921572,52.718235,0,0,0,0,2
403097434,403096497,2162698,1.5275006,-0.19273324,-9.969456,52.718235,0,0,0,0,2
403197510,403196577,2162698,1.5682021,-0.35793316,-9.844957,52.718235,0,0,0,0,2
403297611,403296678,2162698,1.5610195,-0.46088383,-9.7479925,52.718235,0,0,0,0,2
403397668,403396750,2162698,1.5957354,-0.15442601,-9.890448,52.718235,0,0,0,0,2
403497751,403496824,2162698,1.4927847,-0.2896984,-9.842564,52.718235,0,0,0,0,2
403597921,403596907,2162698,1.602918,-0.427365,-9.882068,52.718235,0,0,0,0,2
403697924,403696996,2162698,1.5717934,-0.34596214,-9.880871,52.718235,0,0,0,0,2
403798000,403797070,2162698,1.5478514,-0.17477672,-9.888053,52.718235,0,0,0,0,2
403898083,403897159,2162698,1.6041151,-0.33159694,-9.816227,52.718235,0,0,0,0,2
403998159,403997233,2162698,1.5945383,-0.36511576,-9.755175,52.718235,0,0,0,0,2
404098239,404097315,2162698,1.5179238,-0.38307226,-9.755175,52.718235,0,0,0,0,2
404198324,404197400,2162698,1.6101006,-0.30526072,-9.767146,52.718235,0,0,0,0,2
404298429,404297481,2162698,1.5646108,-0.32202014,-9.744401,52.718235,0,0,0,0,2
404398506,404397560,2162698,1.5526398,-0.2657564,-9.8042555,52.81235,0,0,0,0,2
404498626,404497642,2162698,1.532289,-0.33877954,-9.775525,52.81235,0,0,0,0,2
404598659,404597724,2162698,1.5682021,-0.33877954,-9.765948,52.81235,0,0,0,0,2
404698742,404697808,2162698,1.5526398,-0.36391866,-9.862914,52.81235,0,0,0,0,2
404798807,404797887,2162698,1.5598224,-0.39504328,-9.791088,52.81235,0,0,0,0,2
404898967,404897968,2162698,1.5310919,-0.30406362,-9.755175,52.81235,0,0,0,0,2
404996523,404995588,2162698,1.5378757,-0.2338337,-9.855332,52.81235,0,0,0,0,3
405096641,405095624,2162698,1.5490485,-0.29688102,-9.882466,52.81235,0,0,0,0,3
405196647,405195722,2162698,1.5642118,-0.48362875,-9.829794,52.81235,0,0,0,0,3
405296748,405295817,2162698,1.578577,-0.32561144,-9.840967,52.81235,0,0,0,0,3
405396903,405395890,2162698,1.529895,-0.22266077,-9.923168,52.624115,0,0,0,0,3
405496898,405495964,2162698,1.5139335,-0.3631206,-9.839371,52.624115,0,0,0,0,3
405596963,405596038,2162698,1.5745866,-0.37429354,-9.770738,52.624115,0,0,0,0,3
405697067,405696119,2162698,1.5514427,-0.34476507,-9.786698,52.624115,0,0,0,0,3
405797152,405796214,2162698,1.5642118,-0.29927522,-9.77792,52.624115,0,0,0,0,3
405897234,405896289,2162698,1.5131356,-0.39743748,-9.750786,52.624115,0,0,0,0,3
405997312,405996365,2162698,1.6081055,-0.32960176,-9.795478,52.624115,0,0,0,0,3
406097484,406096452,2162698,1.4923857,-0.25538152,-9.801862,52.624115,0,0,0,0,3
406197469,406196527,2162698,1.5394717,-0.38865876,-9.77792,52.624115,0,0,0,0,3
406297554,406296609,2162698,1.6216726,-0.24420857,-9.993398,52.624115,0,0,0,0,3
406397621,406396690,2162698,1.5155298,-0.39264908,-9.903216,52.624115,0,0,0,0,3
406497783,406496772,2162698,1.590548,-0.23942018,-9.8728895,52.624115,0,0,0,0,3
406597782,406596857,2162698,1.5697982,-0.34476507,-9.77792,52.624115,0,0,0,0,3
406697880,406696944,2162698,1.541866,-0.3535438,-9.638258,52.624115,0,0,0,0,3
406797953,406797017,2162698,1.5841635,-0.20111294,-9.801064,52.624115,0,0,0,0,3
406898059,406897106,2162698,1.5083472,-0.40541816,-9.759564,52.624115,0,0,0,0,3
406998105,406997180,2162698,1.5825673,-0.3758897,-9.882466,52.624115,0,0,0,0,3
407198268,407197343,2162698,1.6065093,-0.21468009,-9.938332,52.624115,0,0,0,0,3
407298355,407297424,2162698,1.5330871,-0.36711094,-9.847352,52.624115,0,0,0,0,3
407398452,407397506,2162698,1.5913461,-0.28091967,-9.924765,52.624115,0,0,0,0,3
407498532,407497587,2162698,1.5338852,-0.31284237,-9.928755,52.624115,0,0,0,0,3
407598623,407597669,2162698,1.5362794,-0.36471674,-9.89763,52.624115,0,0,0,0,3
407696293,407695253,2162698,1.5370775,-0.4321534,-9.883265,52.624115,0,0,0,0,2
407798765,407797832,2162698,1.517924,-0.29608294,-9.853736,52.624115,0,0,0,0,3
407898852,407897914,2162698,1.506751,-0.31124622,-9.818622,52.624115,0,0,0,0,3
407998921,407997995,2162698,1.5442601,-0.37429354,-9.765151,52.624115,0,0,0,0,3
408096591,408095574,2162698,1.5777789,-0.2765303,-9.830592,52.624115,0,0,0,0,2
408196653,408195656,2162698,1.4856021,-0.31603462,-9.812635,52.624115,0,0,0,0,2
408296739,408295743,2162698,1.5945383,-0.48602295,-9.829395,52.624115,0,0,0,0,2
408396781,408395825,2162698,1.6424223,-0.33997664,-9.877279,52.624115,0,0,0,0,2
408496907,408495900,2162698,1.4748282,-0.25258827,-9.861717,52.624115,0,0,0,0,2
408596914,408595988,2162698,1.5981296,-0.3172317,-9.888053,52.624115,0,0,0,0,2
408696981,408696063,2162698,1.590947,-0.41180268,-9.89763,52.624115,0,0,0,0,2
408797155,408796150,2162698,1.5933412,-0.3196259,-9.90601,52.624115,0,0,0,0,2
408897236,408896230,2162698,1.5478514,-0.2753332,-9.877279,52.624115,0,0,0,0,2
408997236,408996312,2162698,1.5705963,-0.4309563,-9.8042555,52.624115,0,0,0,0,2
409097418,409096401,2162698,1.6065093,-0.34117374,-9.827001,52.624115,0,0,0,0,2
409197407,409196470,2162698,1.4856021,-0.28491,-9.8437605,52.624115,0,0,0,0,2
409297501,409296552,2162698,1.6124948,-0.31124622,-9.859323,52.624115,0,0,0,0,2
409397552,409396634,2162698,1.5251064,-0.35075054,-9.860519,52.624115,0,0,0,0,2
