timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
394709431,394707136,1.1333732e-09,1.5688169e-05,0.00025766535,0.00015848306,0.0011440215,0.0046703853,67240467,0,0.08612803,0.4840542,0.007031485,0.0,0.0,0.021094574,0.0,0.0,0.0,0.005004,2162698,2162698,3997706,1114122,32,0,229,1,0,1,0,2,0,0,0,0,0,0,0
394909366,394907296,9.257692e-10,1.4451507e-05,0.0002453052,0.00020028936,0.0010441783,0.0040438226,67240467,0,0.08612775,0.48276627,0.017867954,0.0,0.0,0.017478932,0.0,0.0,0.0,0.005004,2162698,2162698,3997706,1114122,32,0,229,1,0,1,0,2,0,0,0,0,0,0,0
395109721,395107470,8.2287815e-10,1.3761514e-05,0.0002476745,0.00019673376,0.0009958346,0.0032601417,67240467,0,0.08612776,0.48611927,0.012254893,0.0,0.0,0.004160104,0.0,0.0,0.0,0.005004,2162698,2162698,3997706,1114122,32,0,229,1,0,1,0,2,0,0,0,0,0,0,0
395309639,395307622,9.0305247e-10,1.3682716e-05,0.00024299664,0.00017075801,0.00086551456,0.0011286361,67240467,0,0.086128004,0.4848166,0.010831528,0.0,0.0,0.009138773,0.0,0.0,0.0,0.005004,2162698,2162698,3997706,1114122,32,0,229,1,0,1,0,2,0,0,0,0,0,0,0
395509649,395507797,9.985516e-10,1.3603051e-05,0.000237712,0.00015111077,0.0010268324,0.003532968,67240467,0,0.08612842,0.48351744,0.018206792,0.0,0.0,0.016241426,0.0,0.0,0.0,0.005004,2162698,2162698,3997706,1114122,32,0,229,1,0,1,0,2,0,0,0,0,0,0,0
395710424,395707950,8.6981883e-10,1.2961618e-05,0.00023235587,0.0001474222,0.0010087908,0.0028966824,67240467,0,0.08612853,0.48222175,0.00764068,0.0,0.0,0.010337476,0.0,0.0,0.0,0.005004,2162698,2162698,3997706,1114122,32,0,229,1,0,1,0,2,0,0,0,0,0,0,0
395910191,395908114,7.21609e-10,1.2244059e-05,0.00022901446,0.00015730262,0.0011448893,0.004089018,67240467,0,0.08612929,0.4855519,0.003917189,0.0,0.0,0.015914777,0.0,0.0,0.0,0.005004,2162698,2162698,3997706,1114122,32,0,229,1,0,1,0,2,0,0,0,0,0,0,0
396110105,396108278,6.439532e-10,1.180991e-05,0.00025168055,0.00017136992,0.0026453435,0.014384982,67240467,0,0.08612982,0.48425916,0.022796953,0.0,0.0,0.020905994,0.0,0.0,0.0,0.005004,2162698,2162698,3997706,1114122,32,0,229,1,0,1,0,2,0,0,0,0,0,0,0
396310605,396308442,6.3839223e-10,1.1834481e-05,0.00024618325,8.2115854e-05,0.0016736945,0.008296425,67240467,0,0.0861299,0.48296958,0.0019848014,0.0,0.0,0.007379626,0.0,0.0,0.0,0.005004,2162698,2162698,3997706,1114122,32,0,229,1,0,1,0,2,0,0,0,0,0,0,0
396510789,396508608,8.729328e-10,1.3538511e-05,0.00025497467,0.00010370099,0.0020369038,0.010551901,67240467,0,0.08613032,0.48168314,0.017083785,0.0,0.0,0.025218977,0.0,0.0,0.0,0.005004,2162698,2162698,3997706,1114122,32,0,229,1,0,1,0,2,0,0,0,0,0,0,0
