timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
396704976,396699821,1114122,0.18301326,0.035848536,0.34587932,2
396725909,396720542,1114122,0.18450975,0.037463948,0.35450348,2
396747410,396741813,1114122,0.18459177,0.038179208,0.353176,2
396767852,396762567,1114122,0.18455085,0.03706907,0.35378546,2
396788986,396783583,1114122,0.1840766,0.038231485,0.35197255,2
396809926,396804833,1114122,0.18367724,0.037670095,0.3527667,2
396830879,396825561,1114122,0.18427762,0.038282637,0.35085952,2
396852582,396846873,1114122,0.18363567,0.03626146,0.35372877,2
396874011,396868606,1114122,0.18311626,0.036100127,0.3548398,2
396896092,396890445,1114122,0.18379505,0.036924437,0.35360396,2
396917698,396911941,1114122,0.18347892,0.035470553,0.3523814,2
396939187,396933738,1114122,0.18411303,0.036480732,0.3538216,2
396960156,396955050,1114122,0.1840323,0.036729813,0.35444853,2
396981016,396975711,1114122,0.18367717,0.035832733,0.3527875,2
397002683,396997028,1114122,0.18384548,0.032516994,0.34779853,2
397024119,397018758,1114122,0.18459249,0.038808897,0.35278308,2
397046153,397040565,1114122,0.18356034,0.03842266,0.35139477,2
397067719,397062069,1114122,0.18379983,0.038942143,0.35100085,2
397088111,397082884,1114122,0.18351465,0.03933631,0.35461497,2
397109188,397103807,1114122,0.18312109,0.03675861,0.35221916,2
397130223,397125147,1114122,0.18459043,0.039492458,0.35390598,2
397151109,397145816,1114122,0.18459234,0.03844038,0.35286742,2
397172790,397167102,1114122,0.18335994,0.038449597,0.3521523,2
397193108,397187926,1114122,0.18471137,0.03979729,0.35306346,2
397214106,397208792,1114122,0.18387601,0.03796283,0.35285997,2
397235360,397230232,1114122,0.18427175,0.035852775,0.35408115,2
397256100,397250790,1114122,0.18351227,0.037886336,0.35593313,2
397277880,397272139,1114122,0.18323843,0.039757103,0.35332763,2
397298099,397292892,1114122,0.18435305,0.03880427,0.35313907,2
397319166,397313809,1114122,0.18305758,0.033235252,0.34339464,2
397340409,397335298,1114122,0.1841994,0.037079573,0.3501308,2
397361190,397355819,1114122,0.18407562,0.038922556,0.35251623,2
397383009,397377193,1114122,0.18486866,0.03982079,0.35408896,2
397679255,397673943,1114122,0.18355364,0.038228475,0.35504636,2
397701302,397695936,1114122,0.18367866,0.037900873,0.35196757,2
397743358,397738179,1114122,0.18395416,0.037878983,0.35366112,2
397763420,397758276,1114122,0.18387648,0.035871767,0.3526101,2
397784320,397778956,1114122,0.18391472,0.03630166,0.35346243,2
397805759,397800668,1114122,0.18483144,0.038295735,0.35268778,2
397826288,397820961,1114122,0.18379897,0.037760273,0.35147578,2
397847306,397841950,1114122,0.18530881,0.03855174,0.35278106,2
397868429,397863228,1114122,0.18403456,0.03751738,0.353211,2
397889264,397883945,1114122,0.18336403,0.036935516,0.34990463,2
397910830,397905231,1114122,0.18446915,0.034408547,0.35495406,2
397930853,397925783,1114122,0.18371898,0.037500236,0.35169506,2
397950870,397945799,1114122,0.18411438,0.03810688,0.35308507,2
397972214,397966889,1114122,0.18467215,0.03792781,0.35272726,2
397994376,397988811,1114122,0.18392088,0.03796181,0.35009715,2
398015902,398010265,1114122,0.18379593,0.0379961,0.35312763,2
398035996,398030899,1114122,0.18293159,0.034584552,0.34702143,2
398057277,398051954,1114122,0.18355493,0.03654728,0.3543562,2
398078692,398073455,1114122,0.18244001,0.036799833,0.35471392,2
398099370,398093950,1114122,0.18367659,0.03630627,0.35310555,2
398121006,398115313,1114122,0.18355763,0.036309145,0.35288256,2
398141033,398135955,1114122,0.18454987,0.03742952,0.35432488,2
398161278,398156047,1114122,0.18479738,0.036058463,0.3495394,2
398182203,398176891,1114122,0.18463427,0.037977785,0.3517029,2
398203600,398198486,1114122,0.18419608,0.03797491,0.3519249,2
398224216,398218891,1114122,0.18439221,0.037991494,0.35348514,2
398246105,398240337,1114122,0.18435639,0.038497284,0.35130805,2
398287217,398281894,1114122,0.18471253,0.035359774,0.35242677,2
398309298,398303911,1114122,0.18407342,0.0356737,0.35372198,2
398331160,398325377,1114122,0.18285109,0.032189846,0.34752506,2
398351260,398346160,1114122,0.1839149,0.036302812,0.35337332,2
398372264,398366941,1114122,0.18379472,0.036995612,0.35378313,2
398394357,398388998,1114122,0.18494825,0.037505858,0.35410374,2
398416340,398410475,1114122,0.18491109,0.039361652,0.35265714,2
398437362,398432044,1114122,0.18388677,0.03800211,0.34697825,2
398458798,398453681,1114122,0.18391314,0.03889894,0.3543427,2
