timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
394703260,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00025780668,1.5598194e-05,1.1434806e-09,1.5076914,0.17510697,-9.594889,-0.011931695,-0.0035788442,0.008028254,52.76529,52.76529
394803366,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00024114328,1.506135e-05,9.892464e-10,1.5657722,0.17406903,-9.593848,0.0033978168,-0.0033833333,0.0009162266,52.76529,52.76529
395704309,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00023354491,1.3014931e-05,8.7395285e-10,1.5703429,0.16358028,-9.606054,0.0053808033,-0.0059644487,0.01572488,52.671165,52.671165
396619796,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00026563916,1.5370364e-05,1.2471746e-09,1.5761737,0.25129128,-9.59971,0.040353466,-0.004933697,0.01465347,52.76529,52.76529
397625669,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00031425685,1.2139064e-05,6.62552e-10,1.5363605,0.20068333,-9.592553,0.0004254045,-0.004843738,0.0091157975,52.812366,52.812366
398626500,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00024729184,1.1577413e-05,5.6174737e-10,1.5284746,0.20759192,-9.585385,0.0032408978,-0.0041719517,0.0033567282,52.718254,52.718254
399632406,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00028581932,1.7596223e-05,1.6989786e-09,1.5186279,0.29592854,-9.599727,0.0041827215,-0.0019401587,-0.0041520847,52.812366,52.812366
400658154,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00032597294,2.2411528e-05,2.9574088e-09,1.5036445,0.13670869,-9.58068,-0.026548145,-0.002006351,-0.008565019,52.718254,52.718254
401668900,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.0003376735,1.744003e-05,1.5192538e-09,1.5681818,0.15769443,-9.599911,-0.014007169,-0.0061745825,0.017985936,52.76529,52.76529
402669728,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00030360458,1.4097018e-05,9.0378877e-10,1.5606294,0.2037215,-9.622596,0.0027255584,-0.0033273618,0.009565076,52.718254,52.718254
403670575,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.0002957606,1.5370517e-05,1.1334016e-09,1.5720452,0.1378095,-9.606384,0.0065810904,-0.0055072457,0.011058071,52.718254,52.718254
404676474,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00026835632,1.2935174e-05,7.0180056e-10,1.540644,0.18199837,-9.589394,0.012941248,-0.0032662686,0.0067633237,52.812366,52.812366
405692213,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00030735406,1.2958015e-05,6.90225e-10,1.5236068,0.16940147,-9.595723,-0.00893305,-0.0039147306,0.011353294,52.624134,52.624134
406703062,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00031286577,1.8844938e-05,1.5287283e-09,1.4990526,0.16543655,-9.594921,0.004575259,-0.0028900732,0.0127748335,52.624134,52.624134
407713958,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00026582333,1.7321518e-05,1.4627656e-09,1.5646751,0.085443676,-9.603397,-0.025383947,-0.0042461217,-0.004040786,52.624134,52.624134
408619598,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00026486279,1.498624e-05,1.162944e-09,1.5395682,0.18325104,-9.616188,0.020611482,-0.0024089809,-0.0017990178,52.624134,52.624134
409620413,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00028502924,1.2917627e-05,7.3983786e-10,1.5301572,0.1824185,-9.585698,0.0046533975,-0.0021978677,0.0035253225,52.624134,52.624134
410621346,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00025665088,1.2017941e-05,5.780082e-10,1.5489565,0.16010517,-9.612314,-0.005534375,-0.0038647486,0.0070814127,52.624134,52.624134
412632851,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00026135374,1.3829111e-05,7.980222e-10,1.5131478,0.13221215,-9.601859,-0.0033963902,-0.002822852,0.0008131898,52.624134,52.624134
413643696,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00029382305,1.330657e-05,7.3078205e-10,1.542166,0.12916218,-9.605477,0.00031183907,-0.0028432522,0.0027586427,52.530018,52.530018
414659574,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00030587392,1.3938048e-05,7.5585194e-10,1.5667447,0.13976102,-9.608662,0.0011632921,-0.005397413,0.011565631,52.624134,52.624134
415670312,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.0004347178,1.610895e-05,7.2148904e-10,1.5270572,0.13167396,-9.604885,-0.0021747795,-0.003000397,0.0030636876,52.624134,52.624134
418672824,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00041692646,2.199896e-05,1.7566839e-09,1.5064712,0.081875436,-9.602525,-0.01457343,-0.000619646,-0.0011582954,52.718254,52.718254
420699638,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00043421294,1.8141682e-05,1.5739272e-09,1.522609,0.22929713,-9.611415,0.005091333,-0.0067043956,0.017171722,52.718254,52.718254
421715261,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00056522194,2.4400573e-05,2.1201245e-09,1.5144407,0.28558862,-9.58494,0.008333881,-0.0057719764,0.020671345,52.718254,52.718254
422631048,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00053706963,2.0443376e-05,1.872696e-09,1.5635941,0.17805474,-9.594768,-0.01966079,-0.0076584155,0.023666736,52.624134,52.624134
423646833,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.0004964021,1.8977133e-05,1.4428796e-09,1.5295179,0.2380887,-9.600854,0.016684309,-0.0021695509,-0.007811032,52.718254,52.718254
424652733,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.0029308556,0.00018132672,2.4278123e-08,1.5453535,0.27827546,-9.633971,-0.011837464,-0.0031984064,0.018774789,52.624134,52.624134
425668532,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.010692048,0.00060058926,1.635795e-07,2.3736722,0.23227607,-9.060356,0.077141,-0.0020141667,-0.046868145,52.530018,52.530018
427690095,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.018698663,0.0011841987,9.5103104e-07,6.0310235,-0.1268883,-9.402208,-0.18906215,-0.00936027,0.011661826,51.824104,51.824104
428695890,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.011550357,0.00054427003,6.59567e-07,5.1309834,0.40671694,-12.556778,0.013489667,0.17723691,-0.25022092,51.49472,51.49472
429706884,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.010524943,0.00038594895,5.468243e-07,3.9636955,-0.43652454,-10.984077,0.18385474,0.075141,0.026347186,50.88294,50.88294
430623113,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.010298055,0.00038595495,2.947286e-07,3.6024277,-0.15478148,-6.7967896,0.245386,-0.055787772,0.21152769,50.647675,50.647675
431648334,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.009956713,0.00037484898,5.391459e-07,3.5902426,0.2879211,-8.408761,-0.31842968,-0.108936265,0.1959742,50.224117,50.224117
432674753,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.00950741,0.00034630063,3.4139393e-07,3.0363648,0.57951653,-8.305319,-0.021994747,-0.10764348,0.07922503,49.894684,49.894684
433689809,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.008561734,0.0003424074,3.3189934e-07,3.4058056,0.5648469,-10.863766,-0.027401412,0.026482992,-0.34822643,49.4241,49.4241
434716445,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.009288198,0.0003707815,4.5179928e-07,2.7881248,-1.4957207,-9.660714,0.2309651,-0.047121216,-0.13352443,49.04763,49.04763
435641056,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.008417467,0.00037254635,4.2208802e-07,1.5879424,-0.019761158,-9.682817,0.22488402,0.037188232,0.14201397,48.671165,48.671165
436651777,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.008377504,0.0003276783,4.67457e-07,1.4474434,0.5698757,-15.277807,0.11057674,0.45310506,0.18078668,48.247658,48.247658
437667663,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.008541106,0.0003824105,6.1868616e-07,1.2205453,0.52380353,-12.02586,0.26045713,0.0327409,0.11167529,47.91822,47.91822
438673117,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.011007566,0.00045281285,8.3107034e-07,1.5874374,0.3459019,-7.957633,-0.58275145,-0.19138037,0.41838416,47.54175,47.54175
439689802,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.010143816,0.0004399508,7.877997e-07,1.6543326,-0.06867767,-11.623354,-0.5605369,0.06343502,0.36490154,47.259403,47.259403
440699508,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.010180311,0.0005037141,1.0911965e-06,-2.4518807,-1.2158254,-10.332372,-0.83516324,-0.054529466,-0.08401344,46.88294,46.88294
441620280,2162698,2162698,0,0,0,0,0,399.68027,399.68027,1027.7493,7993.605,0.011071485,0.000484609,1.0677053e-06,-2.292085,-0.3780837,-8.488879,-0.6402699,-0.06842773,-0.026188456,46.788822,46.788822
