timestamp,timestamp_sample,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,data_source
394660976,394660857,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
394745220,394745158,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
394771965,394771904,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
394795144,394795054,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
394835466,394835407,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
394861718,394861604,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
394885538,394885477,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
394905257,394905196,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
394951715,394951654,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
394971881,394971820,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
394995331,394995241,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395015608,395015549,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395041420,395041194,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395061662,395061600,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395085704,395085605,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395111797,395111739,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395132165,395131973,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395151990,395151873,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395172638,395172577,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395195594,395195536,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395221991,395221933,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395245539,395245484,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395265699,395265645,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395311256,395311199,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395331474,395331407,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395355708,395355619,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395375758,395375672,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395452018,395451936,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395475744,395475689,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395501569,395501512,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395525605,395525545,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395641633,395641579,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395665961,395665897,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395685981,395685900,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395706155,395706101,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395731704,395731650,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395762311,395762256,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395796097,395796018,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395821772,395821672,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395845979,395845918,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395871843,395871786,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395916266,395916160,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395962367,395962288,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
395982682,395982582,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396006149,396006092,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396032575,396032521,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396056325,396056229,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396116936,396116879,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396136935,396136879,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396206276,396206218,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396232306,396232203,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396252314,396252210,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396277115,396277061,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396302764,396302710,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396346364,396346310,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396366566,396366512,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396392138,396392081,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396412418,396412356,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396436405,396436314,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396522500,396522414,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396546466,396546412,0.17336683,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396566515,396566454,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396586685,396586628,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
396612492,396612437,0.1758794,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
