timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
393718871,inf,0,0,0,1,0,0,0,0,0,0
395720036,inf,0,0,0,1,0,0,0,0,0,0
396720639,inf,0,0,0,1,0,0,0,0,0,0
398722707,inf,0,0,0,1,0,0,0,0,0,0
399723015,inf,0,0,0,1,0,0,0,0,0,0
400723953,inf,0,0,0,1,0,0,0,0,0,0
401724976,inf,0,0,0,1,0,0,0,0,0,0
402725712,inf,0,0,0,1,0,0,0,0,0,0
403726893,inf,0,0,0,1,0,0,0,0,0,0
404727250,inf,0,0,0,1,0,0,0,0,0,0
405728345,inf,0,0,0,1,0,0,0,0,0,0
406728728,inf,0,0,0,1,0,0,0,0,0,0
407730166,inf,0,0,0,1,0,0,0,0,0,0
408730852,inf,0,0,0,1,0,0,0,0,0,0
409731468,inf,0,0,0,1,0,0,0,0,0,0
410732149,inf,0,0,0,1,0,0,0,0,0,0
412733909,inf,0,0,0,1,0,0,0,0,0,0
413734513,inf,0,0,0,1,0,0,0,0,0,0
414736268,inf,0,0,0,1,0,0,0,0,0,0
415736775,inf,0,0,0,1,0,0,0,0,0,0
416737292,inf,0,0,0,1,0,0,0,0,0,0
417737810,inf,0,0,0,1,0,0,0,0,0,0
418739160,inf,0,0,0,1,0,0,0,0,0,0
419739618,inf,0,0,0,1,0,0,0,0,0,0
420740634,inf,0,0,0,1,0,0,0,0,0,0
421741368,inf,0,0,0,1,0,0,0,0,0,0
422742364,inf,0,0,0,1,0,0,0,0,0,0
423742621,inf,0,0,0,1,0,0,0,0,0,0
424744311,inf,0,0,0,1,0,0,0,0,0,0
425744400,inf,0,0,0,1,0,0,0,0,0,0
426745615,inf,0,0,0,1,0,0,0,0,0,0
426965498,inf,0,0,0,0,0,0,0,0,0,0
427966042,inf,0,0,0,0,0,0,0,0,0,0
428967182,inf,0,0,0,0,0,0,0,0,0,0
429972638,inf,0,0,0,0,0,0,0,0,0,0
430983050,inf,0,0,0,0,0,0,0,0,0,0
431984027,inf,0,0,0,0,0,0,0,0,0,0
432984570,inf,0,0,0,0,0,0,0,0,0,0
433995426,inf,0,0,0,0,0,0,0,0,0,0
435006525,inf,0,0,0,0,0,0,0,0,0,0
436007359,inf,0,0,0,0,0,0,0,0,0,0
437007634,inf,0,0,0,0,0,0,0,0,0,0
438018127,inf,0,0,0,0,0,0,0,0,0,0
439019024,inf,0,0,0,0,0,0,0,0,0,0
440029735,inf,0,0,0,0,0,0,0,0,0,0
441035939,inf,0,0,0,0,0,0,0,0,0,0
442036350,inf,0,0,0,0,0,0,0,0,0,0
443041503,inf,0,0,0,0,0,0,0,0,0,0
444052086,inf,0,0,0,0,0,0,0,0,0,0
445062768,inf,0,0,0,0,0,0,0,0,0,0
446073400,inf,0,0,0,0,0,0,0,0,0,0
447084105,inf,0,0,0,0,0,0,0,0,0,0
448094766,inf,0,0,0,0,0,0,0,0,0,0
449105411,inf,0,0,0,0,0,0,0,0,0,0
450115979,inf,0,0,0,0,0,0,0,0,0,0
451126778,inf,0,0,0,0,0,0,0,0,0,0
452137221,inf,0,0,0,0,0,0,0,0,0,0
453147919,inf,0,0,0,0,0,0,0,0,0,0
454148471,inf,0,0,0,0,0,0,0,0,0,0
455154403,inf,0,0,0,0,0,0,0,0,0,0
456159528,inf,0,0,0,0,0,0,0,0,0,0
457170180,inf,0,0,0,0,0,0,0,0,0,0
458180538,inf,0,0,0,0,0,0,0,0,0,0
459191167,inf,0,0,0,0,0,0,0,0,0,0
460201752,inf,0,0,0,0,0,0,0,0,0,0
461212325,inf,0,0,0,0,0,0,0,0,0,0
462223242,inf,0,0,0,0,0,0,0,0,0,0
463223855,inf,0,0,0,0,0,0,0,0,0,0
464224264,inf,0,0,0,0,0,0,0,0,0,0
465229673,inf,0,0,0,0,0,0,0,0,0,0
466230811,inf,0,0,0,0,0,0,0,0,0,0
467235336,inf,0,0,0,0,0,0,0,0,0,0
468246106,inf,0,0,0,0,0,0,0,0,0,0
469246491,inf,0,0,0,0,0,0,0,0,0,0
470257201,inf,0,0,0,0,0,0,0,0,0,0
471257757,inf,0,0,0,0,0,0,0,0,0,0
472258079,inf,0,0,0,0,0,0,0,0,0,0
473264109,inf,0,0,0,0,0,0,0,0,0,0
474269063,inf,0,0,0,0,0,0,0,0,0,0
475279960,inf,0,0,0,0,0,0,0,0,0,0
476290048,inf,0,0,0,0,0,0,0,0,0,0
477290796,inf,0,0,0,0,0,0,0,0,0,0
478291409,inf,0,0,0,0,0,0,0,0,0,0
479292025,inf,0,0,0,0,0,0,0,0,0,0
481312851,inf,0,0,0,0,0,0,0,0,0,0
482319078,inf,0,0,0,0,0,0,0,0,0,0
483323977,inf,0,0,0,0,0,0,0,0,0,0
484329849,inf,0,0,0,0,0,0,0,0,0,0
485335071,inf,0,0,0,0,0,0,0,0,0,0
486335197,inf,0,0,0,0,0,0,0,0,0,0
487335716,inf,0,0,0,0,0,0,0,0,0,0
488346812,inf,0,0,0,0,0,0,0,0,0,0
489346881,inf,0,0,0,0,0,0,0,0,0,0
490347316,inf,0,0,0,0,0,0,0,0,0,0
491357866,inf,0,0,0,0,0,0,0,0,0,0
492358386,inf,0,0,0,0,0,0,0,0,0,0
493359086,inf,0,0,0,0,0,0,0,0,0,0
494369182,inf,0,0,0,0,0,0,0,0,0,0
495369800,inf,0,0,0,0,0,0,0,0,0,0
496380512,inf,0,0,0,0,0,0,0,0,0,0
497390751,inf,0,0,0,0,0,0,0,0,0,0
498391171,inf,0,0,0,0,0,0,0,0,0,0
499391406,inf,0,0,0,0,0,0,0,0,0,0
500402501,inf,0,0,0,0,0,0,0,0,0,0
501407923,inf,0,0,0,0,0,0,0,0,0,0
502413084,inf,0,0,0,0,0,0,0,0,0,0
503423351,inf,0,0,0,0,0,0,0,0,0,0
504434264,inf,0,0,0,0,0,0,0,0,0,0
505444735,inf,0,0,0,0,0,0,0,0,0,0
506445203,inf,0,0,0,0,0,0,0,0,0,0
507445922,inf,0,0,0,0,0,0,0,0,0,0
508455854,inf,0,0,0,0,0,0,0,0,0,0
509456160,inf,0,0,0,0,0,0,0,0,0,0
510462326,inf,0,0,0,0,0,0,0,0,0,0
511462754,inf,0,0,0,0,0,0,0,0,0,0
512467712,inf,0,0,0,0,0,0,0,0,0,0
513478373,inf,0,0,0,0,0,0,0,0,0,0
514488288,inf,0,0,0,0,0,0,0,0,0,0
515488960,inf,0,0,0,0,0,0,0,0,0,0
516499222,inf,0,0,0,0,0,0,0,0,0,0
517510094,inf,0,0,0,0,0,0,0,0,0,0
518510201,inf,0,0,0,0,0,0,0,0,0,0
519520904,inf,0,0,0,0,0,0,0,0,0,0
520526476,inf,0,0,0,0,0,0,0,0,0,0
521527144,inf,0,0,0,0,0,0,0,0,0,0
522532353,inf,0,0,0,0,0,0,0,0,0,0
523532758,inf,0,0,0,0,0,0,0,0,0,0
524543101,inf,0,0,0,0,0,0,0,0,0,0
525543543,inf,0,0,0,0,0,0,0,0,0,0
526544163,inf,0,0,0,0,0,0,0,0,0,0
527554250,inf,0,0,0,0,0,0,0,0,0,0
528554708,inf,0,0,0,0,0,0,0,0,0,0
529565603,inf,0,0,0,0,0,0,0,0,0,0
530571053,inf,0,0,0,0,0,0,0,0,0,0
531572118,inf,0,0,0,0,0,0,0,0,0,0
532576683,inf,0,0,0,0,0,0,0,0,0,0
533576873,inf,0,0,0,0,0,0,0,0,0,0
534587727,inf,0,0,0,0,0,0,0,0,0,0
535597897,inf,0,0,0,0,0,0,0,0,0,0
536598623,inf,0,0,0,0,0,0,0,0,0,0
537608816,inf,0,0,0,0,0,0,0,0,0,0
538619345,inf,0,0,0,0,0,0,0,0,0,0
539619786,inf,0,0,0,0,0,0,0,0,0,0
540630099,inf,0,0,0,0,0,0,0,0,0,0
541640658,inf,0,0,0,0,0,0,0,0,0,0
542641050,inf,0,0,0,0,0,0,0,0,0,0
543641510,inf,0,0,0,0,0,0,0,0,0,0
544652098,inf,0,0,0,0,0,0,0,0,0,0
545652568,inf,0,0,0,0,0,0,0,0,0,0
546658839,inf,0,0,0,0,0,0,0,0,0,0
547658861,inf,0,0,0,0,0,0,0,0,0,0
548659655,inf,0,0,0,0,0,0,0,0,0,0
549664615,inf,0,0,0,0,0,0,0,0,0,0
550674475,inf,0,0,0,0,0,0,0,0,0,0
551680295,inf,0,0,0,0,0,0,0,0,0,0
552685229,inf,0,0,0,0,0,0,0,0,0,0
553696075,inf,0,0,0,0,0,0,0,0,0,0
554696305,inf,0,0,0,0,0,0,0,0,0,0
555706994,inf,0,0,0,0,0,0,0,0,0,0
556717252,inf,0,0,0,0,0,0,0,0,0,0
557727513,inf,0,0,0,0,0,0,0,0,0,0
558737990,inf,0,0,0,0,0,0,0,0,0,0
559748817,inf,0,0,0,0,0,0,0,0,0,0
560754128,inf,0,0,0,0,0,0,0,0,0,0
561759094,inf,0,0,0,0,0,0,0,0,0,0
562289523,inf,0,0,0,1,0,0,0,0,0,0
563295934,inf,0,0,0,1,0,0,0,0,0,0
564296015,inf,0,0,0,1,0,0,0,0,0,0
564696558,inf,0,0,0,0,0,0,0,0,0,0
565706658,inf,0,0,0,0,0,0,0,0,0,0
567721941,inf,0,0,0,0,0,0,0,0,0,0
568722468,inf,0,0,0,0,0,0,0,0,0,0
569732485,inf,0,0,0,0,0,0,0,0,0,0
570733263,inf,0,0,0,0,0,0,0,0,0,0
571733353,inf,0,0,0,0,0,0,0,0,0,0
572743920,inf,0,0,0,0,0,0,0,0,0,0
573754394,inf,0,0,0,0,0,0,0,0,0,0
574760002,inf,0,0,0,0,0,0,0,0,0,0
575765175,inf,0,0,0,0,0,0,0,0,0,0
576765608,inf,0,0,0,0,0,0,0,0,0,0
577766313,inf,0,0,0,0,0,0,0,0,0,0
578766340,inf,0,0,0,0,0,0,0,0,0,0
579776710,inf,0,0,0,0,0,0,0,0,0,0
580777018,inf,0,0,0,0,0,0,0,0,0,0
581787601,inf,0,0,0,0,0,0,0,0,0,0
582798056,inf,0,0,0,0,0,0,0,0,0,0
583798586,inf,0,0,0,0,0,0,0,0,0,0
585809221,inf,0,0,0,0,0,0,0,0,0,0
586819710,inf,0,0,0,0,0,0,0,0,0,0
587830198,inf,0,0,0,0,0,0,0,0,0,0
588830420,inf,0,0,0,0,0,0,0,0,0,0
589840901,inf,0,0,0,0,0,0,0,0,0,0
590841560,inf,0,0,0,0,0,0,0,0,0,0
591851751,inf,0,0,0,0,0,0,0,0,0,0
592862242,inf,0,0,0,0,0,0,0,0,0,0
593868090,inf,0,0,0,0,0,0,0,0,0,0
594872928,inf,0,0,0,0,0,0,0,0,0,0
595873253,inf,0,0,0,0,0,0,0,0,0,0
596884297,inf,0,0,0,0,0,0,0,0,0,0
597894605,inf,0,0,0,0,0,0,0,0,0,0
598904590,inf,0,0,0,0,0,0,0,0,0,0
599905235,inf,0,0,0,0,0,0,0,0,0,0
600905975,inf,0,0,0,0,0,0,0,0,0,0
601916087,inf,0,0,0,0,0,0,0,0,0,0
602916447,inf,0,0,0,0,0,0,0,0,0,0
603917017,inf,0,0,0,0,0,0,0,0,0,0
604927064,inf,0,0,0,0,0,0,0,0,0,0
605933018,inf,0,0,0,0,0,0,0,0,0,0
606938098,inf,0,0,0,0,0,0,0,0,0,0
607938347,inf,0,0,0,0,0,0,0,0,0,0
