timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
394710689,394709636,1.5249643,0.122358486,-9.650389
394715695,394714641,1.5317178,0.14106512,-9.663829
394765723,394764681,1.5774502,0.19648753,-9.648087
394815785,394814723,1.5472851,0.07988206,-9.680502
394865870,394864770,1.540497,0.12885717,-9.668262
394910873,394909810,1.5427078,0.12620862,-9.637031
394965920,394964852,1.5681763,0.15129477,-9.684707
395015948,395014894,1.5362701,0.24013138,-9.617193
395066020,395064945,1.524429,0.15294486,-9.710841
395111067,395109965,1.5596293,0.14778064,-9.646004
395166130,395165027,1.5495651,0.15025994,-9.651806
395221172,395220051,1.5451733,0.03981415,-9.669308
395261131,395260078,1.5452503,0.11976283,-9.661921
395311178,395310139,1.5498714,0.103329256,-9.695642
395361235,395360191,1.56661,0.23702848,-9.694303
395461286,395460254,1.5058382,0.22397698,-9.726311
395511374,395510299,1.499998,0.19097762,-9.657679
395561377,395560329,1.5485816,0.109500095,-9.742057
395611467,395610372,1.5819805,0.11446196,-9.697418
395661459,395660411,1.5894463,0.20897064,-9.711708
395711565,395710482,1.5195258,0.13580674,-9.708021
395761568,395760506,1.4900982,0.1984748,-9.692848
395811597,395810535,1.5687389,0.17775661,-9.617619
395861692,395860597,1.6079117,0.16196343,-9.714594
395911680,395910620,1.5870323,0.21507946,-9.649948
395961695,395960657,1.5260706,0.15256937,-9.7052
396011742,396010705,1.4937539,0.17614034,-9.658054
396061776,396060739,1.5394347,0.1498873,-9.711214
396111823,396110780,1.5625674,0.14433444,-9.679321
396161885,396160821,1.5740077,0.19176827,-9.709073
396211912,396210862,1.5570991,0.14014691,-9.686802
396261961,396260907,1.5407597,0.16032447,-9.635139
396311995,396310952,1.5329907,0.23424901,-9.68688
396362050,396360985,1.5759274,0.13171285,-9.673695
396412106,396411026,1.5539193,0.13732985,-9.699625
396512148,396511107,1.4908953,0.2803918,-9.683888
396562198,396561149,1.5607624,0.3303367,-9.721523
396612279,396611189,1.5891992,0.16500251,-9.656014
396662276,396661231,1.5232304,0.051454768,-9.676573
396712494,396711283,1.5020187,0.15662704,-9.681593
396762357,396761312,1.5699084,0.14945434,-9.714624
396812440,396811354,1.5888606,0.24709687,-9.614493
396862482,396861401,1.5451512,0.26563156,-9.704279
396912539,396911446,1.4923735,0.15933415,-9.669597
396962567,396961482,1.5240189,0.21493341,-9.721028
397012599,397011518,1.5857606,0.13210051,-9.661282
397062654,397061563,1.613411,0.1986915,-9.699315
397112692,397111601,1.5507526,0.18203445,-9.646112
397162753,397161641,1.5059578,0.18380958,-9.706833
397212766,397211688,1.526719,0.17645347,-9.61747
397262812,397261722,1.5710349,0.17631957,-9.732454
397312855,397311763,1.5726813,0.19625188,-9.635822
397362912,397361808,1.5351124,0.15187542,-9.721781
397663102,397662050,1.5264195,0.2062235,-9.659636
397713352,397712092,1.5585403,0.15018052,-9.722099
397763393,397762155,1.5627707,0.17340557,-9.710749
397813234,397812174,1.5386096,0.17633756,-9.713345
397863253,397862214,1.5195627,0.15699238,-9.735424
397913352,397912271,1.541158,0.23930617,-9.642788
397963328,397962296,1.5581839,0.19876623,-9.675373
398013584,398012338,1.5528374,0.20817646,-9.657228
398063679,398062390,1.500815,0.18285324,-9.675554
398113675,398112419,1.5184244,0.11467102,-9.699208
398163526,398162468,1.5844492,0.22948414,-9.674979
398213543,398212501,1.5660229,0.13786916,-9.666181
398313633,398312583,1.4983698,0.23503888,-9.684341
398363676,398362624,1.5326577,0.17980653,-9.638582
398413707,398412668,1.5557277,0.20305797,-9.660635
398463783,398462706,1.5714813,0.07502808,-9.705754
398513778,398512747,1.5367603,0.25314802,-9.724155
398563844,398562788,1.5197622,0.24092667,-9.6783285
398613871,398612829,1.5387571,0.18968496,-9.6671295
398663912,398662881,1.55005,0.18047345,-9.702602
398713962,398712917,1.5533173,0.08325712,-9.686458
398764002,398762958,1.5767664,0.18544334,-9.694839
398814047,398813004,1.5196214,0.24764884,-9.622454
398914164,398913075,1.5498388,0.27663237,-9.59
398964147,398963116,1.5819623,0.16831872,-9.646603
399014191,399013159,1.5473415,0.14293307,-9.637922
399064246,399063198,1.5317328,0.12351865,-9.668749
399114275,399113239,1.5370424,0.24492526,-9.67038
399164330,399163280,1.5501443,0.21220967,-9.690136
399214370,399213326,1.4942135,0.30163914,-9.621317
399264459,399263367,1.5296068,0.31176817,-9.688545
399364536,399363469,1.5643543,0.070807666,-9.763137
399414714,399413517,1.582077,0.14085662,-9.632272
399464620,399463533,1.5682883,0.09872869,-9.765933
399514776,399513566,1.4633614,0.354725,-9.621812
399564661,399563608,1.4523383,0.3704152,-9.664117
399614706,399613648,1.5683019,0.25063345,-9.59724
399664778,399663740,1.5850444,0.26470122,-9.681109
399714791,399713737,1.5838867,0.00011163502,-9.658943
399764811,399763772,1.5171803,0.14965077,-9.643157
399815110,399813819,1.5263717,0.088088006,-9.564254
399864903,399863859,1.5374798,0.29438427,-9.740437
399914966,399913894,1.4904745,0.44772393,-9.684864
400215246,400214140,1.4670591,0.28030795,-9.612799
400265275,400264181,1.516158,0.36033994,-9.667874
400365307,400364263,1.5522101,0.11212887,-9.753201
400415600,400414304,1.5181785,0.086212605,-9.591715
400465400,400464345,1.5753819,0.16589825,-9.757887
400515617,400514397,1.5385315,0.1938713,-9.545237
400565501,400564432,1.5294116,0.26999086,-9.695484
400615702,400614475,1.4831291,0.020299943,-9.616167
400665594,400664509,1.5384164,0.24165109,-9.77429
400715817,400714550,1.5513372,0.22197679,-9.622087
400765715,400764591,1.5980496,0.18074426,-9.762166
400810715,400809634,1.5373421,0.28933457,-9.632414
401110959,401109873,1.4975597,0.16862905,-9.754189
401166027,401164925,1.4959483,0.15540284,-9.661264
401211067,401209959,1.5396208,0.14375217,-9.727539
401261115,401260002,1.5882248,0.1452161,-9.656868
401311209,401310037,1.5964915,0.13621514,-9.678336
401361120,401360078,1.5135642,0.24228422,-9.576391
401411166,401410119,1.4612253,0.34335643,-9.5804405
401461337,401460163,1.5004387,0.27906564,-9.698977
