timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
394660983,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
394795154,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
394905264,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
395015614,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
395111804,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
395221998,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
395311263,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
395501575,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
395525611,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
395706162,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
395796108,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
395871850,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
396006156,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
396056336,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
396206282,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
396302771,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
396412425,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
396502359,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
396612498,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
396707000,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
396806768,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
396877119,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
397006973,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
397112870,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
397202918,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
397297142,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
397693283,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
397813502,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
397903512,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
397997551,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
398087996,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
398197886,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
398303748,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
398414356,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
398504616,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
398528317,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
398698401,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
398808444,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
398874247,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
399004450,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
399108736,0,-0.0,0.17336683,0.0,0.0,0.0,0.0,0.0,0.0
399199606,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
399409018,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
399499039,0,-0.0,0.1758794,0.0,0.0,0.0,0.0,0.0,0.0
