timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
10087194,10085851,0.0,0.0,0.0,0.0,0.095024996,0.0,0.0,0.0
10092219,10090849,0.0,0.0,0.0,0.0,0.100022994,0.0,0.0,0.0
10097173,10095861,0.0,0.0,0.0,0.0,0.10503499,0.0,0.0,0.0
10102191,10100857,0.0,0.0,0.0,0.0,0.110030994,0.0,0.0,0.0
10107194,10105860,0.0,0.0,0.0,0.0,0.11503399,0.0,0.0,0.0
10112147,10110858,0.0,0.0,0.0,0.0,0.12003199,0.0,0.0,0.0
10117259,10115872,0.0,0.0,0.0,0.0,0.12504598,0.0,0.0,0.0
10122179,10120877,0.0,0.0,0.0,0.0,0.13005099,0.0,0.0,0.0
10127239,10125875,0.0,0.0,0.0,0.0,0.13504899,0.0,0.0,0.0
10132166,10130866,0.0,0.0,0.0,0.0,0.14003998,0.0,0.0,0.0
10137255,10135878,0.0,0.0,0.0,0.0,0.14505199,0.0,0.0,0.0
10142163,10140871,0.0,0.0,0.0,0.0,0.150045,0.0,0.0,0.0
10167265,10165906,0.0,0.0,0.0,0.0,0.17508,0.0,0.0,0.0
10172257,10170883,0.0,0.0,0.0,0.0,0.180057,0.0,0.0,0.0
10177282,10175894,0.0,0.0,0.0,0.0,0.18506801,0.0,0.0,0.0
10182207,10180888,0.0,0.0,0.0,0.0,0.19006202,0.0,0.0,0.0
10187240,10185892,0.0,0.0,0.0,0.0,0.19506602,0.0,0.0,0.0
10192239,10190891,0.0,0.0,0.0,0.0,0.20006502,0.0,0.0,0.0
10197245,10195904,0.0,0.0,0.0,0.0,0.20507802,0.0,0.0,0.0
10202262,10200897,0.0,0.0,0.0,0.0,0.21007103,0.0,0.0,0.0
10207436,10205900,0.0,0.0,0.0,0.0,0.21507403,0.0,0.0,0.0
10212384,10210917,0.0,0.0,0.0,0.0,0.22009103,0.0,0.0,0.0
10217610,10215902,0.0,0.0,0.0,0.0,0.22507603,0.0,0.0,0.0
10222246,10220907,0.0,0.0,0.0,0.0,0.23008104,0.0,0.0,0.0
10257383,10255929,0.0,0.0,0.0,0.0,0.26510304,0.0,0.0,0.0
10262240,10260921,0.0,0.0,0.0,0.0,0.27009505,0.0,0.0,0.0
10267354,10265931,0.0,0.0,0.0,0.0,0.27510506,0.0,0.0,0.0
10272256,10270926,0.0,0.0,0.0,0.0,0.28010005,0.0,0.0,0.0
10277483,10275938,0.0,0.0,0.0,0.0,0.28511205,0.0,0.0,0.0
10282280,10280930,0.0,0.0,0.0,0.0,0.29010406,0.0,0.0,0.0
10287349,10285942,0.0,0.0,0.0,0.0,0.29511607,0.0,0.0,0.0
10292288,10290934,0.0,0.0,0.0,0.0,0.30010808,0.0,0.0,0.0
10297346,10295946,0.0,0.0,0.0,0.0,0.30512008,0.0,0.0,0.0
10302185,10300938,0.0,0.0,0.0,0.0,0.3101121,0.0,0.0,0.0
10307575,10305940,0.0,0.0,0.0,0.0,0.31511408,0.0,0.0,0.0
10337357,10336007,0.0,0.0,0.0,0.0,0.34518108,0.0,0.0,0.0
10342389,10340957,0.0,0.0,0.0,0.0,0.35013106,0.0,0.0,0.0
10347226,10345965,0.0,0.0,0.0,0.0,0.35513908,0.0,0.0,0.0
10352254,10350964,0.0,0.0,0.0,0.0,0.3601381,0.0,0.0,0.0
10357363,10355966,0.0,0.0,0.0,0.0,0.36514008,0.0,0.0,0.0
10362195,10360964,0.0,0.0,0.0,0.0,0.37013808,0.0,0.0,0.0
10367232,10365969,0.0,0.0,0.0,0.0,0.37514308,0.0,0.0,0.0
10437251,10436005,0.0,0.0,0.0,0.0,0.44517905,0.0,0.0,0.0
10442387,10441026,0.0,0.0,0.0,0.0,0.45020005,0.0,0.0,0.0
10447341,10446014,0.0,0.0,0.0,0.0,0.45518804,0.0,0.0,0.0
10452287,10451010,0.0,0.0,0.0,0.0,0.46018404,0.0,0.0,0.0
10457281,10456026,0.0,0.0,0.0,0.0,0.46520004,0.0,0.0,0.0
10487434,10486037,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10492306,10491029,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10497598,10496030,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10502327,10501023,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
