timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
2947068,2947052,2228234,0.0024434612,0.018325958,0.015882498,32.0,0
2948841,2948825,2228234,-0.0012217306,0.018325958,0.012217306,32.0,0
3048907,3048888,2228234,0.017104229,0.026878074,0.028099803,32.0,0
3147937,3147921,2228234,0.020769421,0.017104229,0.015882498,32.0,0
3348972,3348955,2228234,0.010995575,0.031764995,0.02199115,32.0,0
3545485,3545466,2228234,0.015882498,0.025656343,0.034208458,32.0,0
3747109,3747093,2228234,0.013439037,0.01954769,0.01954769,32.0,0
3847921,3847904,2228234,0.017104229,0.02199115,0.0085521145,32.0,0
3946728,3946712,2228234,0.009773845,0.015882498,0.029321535,32.0,0
4047408,4047391,2228234,0.015882498,0.028099803,0.026878074,32.0,0
4347709,4347692,2228234,-0.0012217306,0.024434611,0.01954769,32.0,0
4748108,4748089,2228234,0.010995575,0.026878074,0.015882498,32.0,0
4849638,4849622,2228234,0.0085521145,0.023212882,0.01954769,32.0,0
4948314,4948295,2228234,0.0012217306,0.024434611,0.018325958,32.0,0
5147794,5147777,2228234,0.0,0.028099803,0.023212882,33.0,0
5448094,5448077,2228234,0.0073303836,0.023212882,0.023212882,33.0,0
5547480,5547463,2228234,0.012217306,0.01954769,0.018325958,33.0,0
5649011,5648994,2228234,0.010995575,0.028099803,0.020769421,33.0,0
5847791,5847774,2228234,0.0048869224,0.024434611,0.018325958,33.0,0
5946449,5946433,2228234,0.02199115,0.024434611,0.02199115,33.0,0
6148079,6148062,2228234,0.009773845,0.0085521145,0.023212882,32.0,0
6447749,6447732,2228234,0.020769421,0.025656343,0.02199115,32.0,0
6547812,6547784,2228234,0.014660767,0.029321535,0.01954769,32.0,0
6645350,6645334,2228234,-0.0012217306,0.029321535,0.018325958,32.0,0
6942989,6942961,2228234,0.0085521145,0.024434611,0.025656343,32.0,0
7048030,7048013,2228234,0.017104229,0.031764995,0.018325958,32.0,0
7148067,7148050,2228234,0.0036651918,0.031764995,0.017104229,33.0,0
7448213,7448196,2228234,0.0085521145,0.031764995,0.018325958,33.0,0
7748304,7748288,2228234,0.012217306,0.028099803,0.02199115,33.0,0
7848386,7848369,2228234,0.009773845,0.01954769,0.01954769,33.0,0
7948399,7948383,2228234,0.018325958,0.034208458,0.01954769,33.0,0
8148513,8148496,2228234,0.0036651918,0.029321535,0.017104229,33.0,0
8248497,8248480,2228234,0.020769421,0.031764995,0.01954769,33.0,0
8448626,8448610,2228234,0.0036651918,0.03543019,0.018325958,33.0,0
8746240,8746215,2228234,0.009773845,0.03543019,0.020769421,33.0,0
8948818,8948802,2228234,0.0085521145,0.029321535,0.024434611,33.0,0
9148880,9148863,2228234,0.014660767,0.020769421,0.020769421,33.0,0
9347714,9347697,2228234,0.009773845,0.032986727,0.017104229,33.0,0
9447810,9447794,2228234,0.014660767,0.030543266,0.026878074,33.0,0
9547187,9547171,2228234,0.013439037,0.034208458,0.018325958,33.0,0
9648002,9647986,2228234,0.017104229,0.03543019,0.01954769,33.0,0
9847490,9847471,2228234,0.0048869224,0.020769421,0.020769421,33.0,0
9948312,9948295,2228234,0.0085521145,0.036651917,0.031764995,33.0,0
10249371,10249354,2228234,0.01954769,0.026878074,0.02199115,33.0,0
10349459,10349440,2228234,0.0073303836,0.020769421,0.020769421,33.0,0
11047324,11047300,2228234,0.017104229,0.023212882,0.018325958,33.0,0
11248188,11248165,2228234,0.015882498,0.013439037,0.024434611,33.0,0
11349823,11349807,2228234,0.0,0.031764995,0.017104229,33.0,0
11747624,11747601,2228234,0.0073303836,0.032986727,0.024434611,33.0,0
11950084,11950068,2228234,0.0085521145,0.029321535,0.02199115,33.0,0
12145198,12145182,2228234,0.010995575,0.03909538,0.02199115,33.0,0
12247821,12247804,2228234,0.023212882,0.032986727,0.013439037,33.0,0
12446540,12446517,2228234,0.0073303836,0.02199115,0.025656343,33.0,0
12546611,12546595,2228234,0.0085521145,0.041538842,0.025656343,33.0,0
12948030,12948013,2228234,0.012217306,0.034208458,0.018325958,33.0,0
13045624,13045601,2228234,0.0085521145,0.030543266,0.020769421,33.0,0
13144368,13144345,2228234,0.018325958,0.023212882,0.025656343,33.0,0
13448244,13448218,2228234,0.012217306,0.030543266,0.010995575,33.0,0
13845944,13845916,2228234,0.01954769,0.036651917,0.02199115,34.0,0
13948470,13948454,2228234,0.020769421,0.026878074,0.029321535,34.0,0
14048550,14048530,2228234,0.014660767,0.028099803,0.024434611,34.0,0
14147530,14147513,2228234,0.017104229,0.029321535,0.023212882,34.0,0
14247623,14247592,2228234,0.010995575,0.030543266,0.01954769,34.0,0
