timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
2952400,0.35512993,0.030961985,-0.05718817
3015419,0.3561129,0.031150848,-0.05796877
3026432,0.35488194,0.030207837,-0.057582892
3037456,0.35438487,0.03104873,-0.05864127
3047963,0.3544703,0.03123159,-0.057794895
3058896,0.35463443,0.030344428,-0.057843942
3068951,0.35561836,0.030470334,-0.058365617
3078984,0.35438612,0.03128387,-0.058309358
3089947,0.3548861,0.031284988,-0.056517236
3100471,0.35545874,0.030225636,-0.05715871
3111444,0.35545367,0.03076131,-0.058462553
3121492,0.35594985,0.03153325,-0.057642363
3131947,0.35495982,0.030014293,-0.05868576
3152955,0.3552963,0.03090971,-0.056674033
3163938,0.35488486,0.030681688,-0.056833785
3173982,0.3539784,0.030653208,-0.057512548
3184463,0.35553458,0.03030527,-0.058785565
3194944,0.35372818,0.030908586,-0.058462
3205449,0.35513195,0.03076243,-0.056667246
3216490,0.35471848,0.030954864,-0.057357144
3226497,0.354799,0.031157967,-0.0577931
3279024,0.35561883,0.031655602,-0.058244225
3289452,0.3552096,0.030049892,-0.05783388
3299950,0.35512894,0.031024927,-0.057447087
3310453,0.35504618,0.030723272,-0.057605043
3321500,0.35471633,0.029825434,-0.057908025
3331530,0.35529256,0.03153325,-0.05763981
3341949,0.35455167,0.030042773,-0.05800189
3352450,0.35454944,0.031494092,-0.058575068
3362946,0.35594907,0.030344428,-0.057849046
3374057,0.35463166,0.030905025,-0.058550797
3384068,0.35496232,0.030926386,-0.05804037
3394444,0.3552908,0.03026011,-0.058099266
3415460,0.35454768,0.030073691,-0.05902837
3426527,0.35479578,0.03060693,-0.05862442
3436585,0.35455394,0.03043587,-0.05742027
3489996,0.35389373,0.032174602,-0.058173757
3500519,0.35537457,0.030204277,-0.057670094
3511568,0.35405946,0.031305227,-0.057796374
3521627,0.35586324,0.030378912,-0.058789916
3532000,0.35504335,0.03179931,-0.058333423
3542494,0.35496247,0.030042773,-0.058003485
3552996,0.3548004,0.03087767,-0.057439666
3575057,0.35389706,0.031989288,-0.057311703
3585577,0.353724,0.030199593,-0.059543032
3638042,0.35422522,0.030656768,-0.057428215
3680047,0.35545278,0.030235192,-0.058696896
3690546,0.35520345,0.031090328,-0.059415087
3701637,0.35454887,0.030897906,-0.05872105
3711680,0.35430384,0.030249432,-0.058351293
3722041,0.35438687,0.031070089,-0.058129568
3732544,0.35520262,0.030269671,-0.05963713
3743097,0.35479596,0.029502414,-0.058578316
3754165,0.35528544,0.030644953,-0.059482247
3764210,0.35479558,0.029867029,-0.058678977
3774546,0.35479254,0.030203152,-0.05946189
3785068,0.35454696,0.030434735,-0.059214305
3795541,0.3547932,0.03028391,-0.059294403
3806703,0.35495865,0.031108128,-0.058987714
3816790,0.35447013,0.030197157,-0.057837155
3827054,0.35463065,0.031188872,-0.05881894
3837552,0.35504335,0.029660359,-0.058329575
3848047,0.3555356,0.03009505,-0.0585205
3859216,0.35537314,0.030926386,-0.058041964
3869254,0.3549593,0.031188872,-0.058820218
3879543,0.3545546,0.030516613,-0.057252783
3890058,0.35610947,0.029859908,-0.058854647
3900548,0.35471562,0.030333748,-0.058100108
3942547,0.3546321,0.03031951,-0.05844092
3953047,0.35512608,0.030182917,-0.05818084
3964289,0.35356012,0.031605765,-0.059430223
4005555,0.35520607,0.031413328,-0.058745116
4016837,0.3554541,0.030175798,-0.058352683
4027591,0.3567685,0.031648483,-0.058419257
4038103,0.35602647,0.03073639,-0.05906177
4049293,0.354961,0.030838512,-0.058378432
4059330,0.35495463,0.03135993,-0.060023412
4069610,0.35520837,0.03151189,-0.0581512
4101851,0.35405618,0.031122368,-0.058643065
4111978,0.35421813,0.03124471,-0.059246838
4122097,0.355123,0.030813592,-0.058976058
4132591,0.35487464,0.030350432,-0.05946836
4143104,0.35471788,0.030505933,-0.05750927
4164389,0.35537407,0.031305227,-0.057801478
4174593,0.35520288,0.03056777,-0.05956414
4185090,0.35611147,0.029733997,-0.058336794
4195598,0.35504192,0.030456094,-0.05870452
4206850,0.3552903,0.031361066,-0.058230653
4216894,0.35504326,0.030249432,-0.05835416
4227090,0.35504153,0.030820712,-0.058805168
4237604,0.35389164,0.03060337,-0.058706205
4248099,0.35561714,0.031932328,-0.058682933
4311936,0.35479277,0.030795792,-0.0594012
4322649,0.35479826,0.03173991,-0.057988256
4333146,0.35414183,0.031897865,-0.057736006
4344423,0.35430473,0.031070089,-0.05812925
4354443,0.35356018,0.03123759,-0.059414856
4364457,0.3554546,0.031361066,-0.05823129
4395098,0.35503864,0.030125959,-0.059545062
4405603,0.35561496,0.031023812,-0.05924304
4417030,0.3546342,0.03174347,-0.05790234
4427638,0.3552928,0.032125883,-0.057579122
4438147,0.35529125,0.03151901,-0.05798095
4449518,0.35447028,0.031378865,-0.057801045
4481968,0.35479838,0.030929945,-0.05795445
4492009,0.35529068,0.031070089,-0.058133077
4502241,0.35537168,0.03172211,-0.05841691
4512704,0.35496026,0.03142045,-0.05857359
4523197,0.35463646,0.0322102,-0.057323795
4534524,0.3550451,0.031154407,-0.057879347
4544546,0.35495895,0.031332586,-0.058911655
4575703,0.35528833,0.031192431,-0.058736213
4587018,0.35520414,0.031023812,-0.059241444
4597057,0.35479665,0.03142757,-0.05840238
4617721,0.3552906,0.03151189,-0.058151517
4628196,0.35487732,0.030231632,-0.05877994
4639539,0.35488093,0.03041807,-0.057847973
4702076,0.35356548,0.031368185,-0.05805339
4712195,0.3550401,0.031321906,-0.05916782
4722691,0.35553467,0.031781506,-0.05876176
4733194,0.35471767,0.029766036,-0.05756381
4744606,0.35512632,0.03084919,-0.05812322
4754616,0.3547098,0.031304106,-0.059592962
4764695,0.35512522,0.03128031,-0.058397513
4775190,0.354303,0.03127319,-0.05856489
4785697,0.35528204,0.03105117,-0.060353532
4797193,0.354714,0.029800514,-0.058505014
4807744,0.35495904,0.030817151,-0.058890138
4818297,0.3543838,0.029561812,-0.058920935
4829638,0.35487667,0.03228982,-0.058951292
4839647,0.35586786,0.03042875,-0.05759594
4860255,0.35569498,0.030188913,-0.059806537
4870768,0.35619155,0.030817151,-0.058894925
4892130,0.35454613,0.031458493,-0.059427902
4902256,0.35454765,0.030220952,-0.059034515
4912748,0.35504177,0.031339705,-0.058741406
4933762,0.35455164,0.030190038,-0.058008038
4944723,0.3550403,0.030070132,-0.05911557
4954756,0.35537112,0.031125927,-0.05856289
5028258,0.35545194,0.03140621,-0.05891664
5038749,0.35643104,0.030742394,-0.060686834
5049737,0.35545358,0.031276748,-0.058484066
5059742,0.3542136,0.030679433,-0.0604193
5080774,0.35511887,0.0296628,-0.060038637
5091255,0.35594353,0.031612884,-0.059268903
5113311,0.355611,0.030981092,-0.060266446
5123809,0.3543001,0.03072571,-0.05931093
5134759,0.35462442,0.030679433,-0.060420893
5155305,0.35528103,0.03126139,-0.0606186
5165793,0.35519883,0.031114113,-0.060612135
5176323,0.35470527,0.030591555,-0.060759276
5187306,0.3545469,0.030729271,-0.0592266
5197356,0.35445943,0.03089321,-0.060600046
5207788,0.35577878,0.03028035,-0.059383508
5228794,0.3547895,0.030539291,-0.060244814
5239785,0.35528323,0.029883698,-0.0600485
5249818,0.35462385,0.03214855,-0.060567647
5260304,0.35388532,0.030756634,-0.06033582
5270800,0.35651925,0.029996494,-0.059118237
5281310,0.3544635,0.030420495,-0.05955512
5365301,0.35528675,0.03058557,-0.05913804
5375806,0.35471335,0.029867029,-0.058678657
5386312,0.35569537,0.029971574,-0.059712034
5407391,0.3547873,0.029704398,-0.060807995
5417508,0.35454434,0.030185353,-0.05988736
5428303,0.35495606,0.030785114,-0.059657685
5438803,0.35446507,0.030806473,-0.059144072
5449873,0.3554493,0.03137773,-0.059598908
5459912,0.3548793,0.030326629,-0.058271315
5512554,0.3556117,0.030546412,-0.060077436
5522790,0.35495436,0.030988213,-0.060093325
5533315,0.35446864,0.031287428,-0.05822439
5543812,0.35594139,0.03055709,-0.05982286
5554906,0.3548745,0.03123403,-0.05950524
5564946,0.35454318,0.03135281,-0.060192388
5575302,0.35380507,0.030704351,-0.059820715
5585796,0.35520655,0.030459654,-0.058619868
5627797,0.35552615,0.03102625,-0.060951475
5638308,0.35404998,0.030612914,-0.06024502
5648799,0.35594642,0.030168677,-0.058525167
5723408,0.35470754,0.030837387,-0.06017151
5733848,0.3545494,0.031641364,-0.058581214
5765387,0.3551173,0.031268507,-0.060447395
5775885,0.3552896,0.03128031,-0.05839815
5786383,0.3558621,0.031178191,-0.059079573
5797627,0.35561207,0.030402696,-0.05998601
5808397,0.3550403,0.030070132,-0.05911557
5818906,0.35553575,0.031129489,-0.05847824
5840086,0.35536712,0.031304106,-0.059595514
5850392,0.3547957,0.03119599,-0.05864901
5860906,0.35594377,0.030140199,-0.059207432
5882535,0.35446575,0.03073995,-0.05897043
5892598,0.35454655,0.030946609,-0.05932111
5902913,0.3549547,0.030991772,-0.060008045
5923904,0.3546293,0.031174632,-0.05916008
5935109,0.35479334,0.03139197,-0.059255216
5945117,0.35496196,0.031143727,-0.058134876
5955128,0.35422543,0.031323027,-0.057370596
5965897,0.35455015,0.031133048,-0.05838913
5976400,0.35454682,0.03139197,-0.05925426
6070923,0.35512295,0.03118175,-0.058991425
6081409,0.3557804,0.030666312,-0.05897246
6112888,0.35520875,0.031220911,-0.058053616
6123399,0.35553712,0.031070089,-0.058134034
6133894,0.35315526,0.03174347,-0.0578966
6145171,0.3545538,0.03146673,-0.0574633
6155333,0.3546305,0.031998847,-0.05885275
6165413,0.35397774,0.03064609,-0.057683114
6175890,0.35503528,0.030458534,-0.060413267
6197661,0.3552825,0.030318392,-0.06023751
6207678,0.35446283,0.03240505,-0.059723392
6217682,0.3545499,0.03061405,-0.058452897
6227693,0.3551243,0.030901466,-0.05863799
6237799,0.35454682,0.031318348,-0.059251186
6248339,0.354959,0.03103805,-0.05889936
6280902,0.35372654,0.030964408,-0.0588915
6291398,0.35479245,0.030792233,-0.05948648
6302758,0.35430002,0.031241149,-0.059332445
6387815,0.3547163,0.030046333,-0.057917245
6398516,0.35438278,0.03146917,-0.059171416
6408994,0.35356113,0.031542808,-0.0591713
6430332,0.35569885,0.031041611,-0.05881694
6440506,0.35479006,0.031135473,-0.060098834
6451013,0.35487318,0.031072529,-0.059840232
6461494,0.35478982,0.03054285,-0.060159534
6472812,0.35561365,0.030862307,-0.05957803
6503522,0.35479203,0.031304106,-0.059593283
6514001,0.35446575,0.03073995,-0.05897043
