timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
2956237,2955381,0.0005253422,0.0044880924,-0.0013280871
2958738,2957881,0.00024702353,0.004525657,-0.0014105283
2961266,2960392,-4.3205186e-05,0.0045698257,-0.0015471483
3021257,3020406,-0.00027267993,0.004498859,-0.0018169
3023769,3022907,-0.00015952197,0.00449583,-0.0017805422
3026291,3025412,-4.2315012e-05,0.0044913148,-0.0017393492
3028776,3027908,9.04719e-05,0.0044974447,-0.0017215117
3031279,3030419,0.00023039224,0.004495453,-0.0017279107
3033762,3032908,0.00033056343,0.004472736,-0.001756911
3036265,3035412,0.00040274538,0.0044401507,-0.0018102722
3038775,3037912,0.00050285057,0.004405516,-0.0018881
3041265,3040413,0.0005735452,0.0043733614,-0.00197592
3043788,3042916,0.0005003055,0.004342758,-0.0020856378
3046300,3045417,0.00027514057,0.0042959712,-0.002213181
3048832,3047969,-1.380418e-05,0.004233625,-0.0023116013
3051280,3050419,-0.0002869219,0.0042054933,-0.002375022
3053774,3052917,-0.0005049027,0.004237543,-0.0024359692
3056268,3055418,-0.000681433,0.004309589,-0.002520388
3058784,3057921,-0.0008282998,0.0044120937,-0.0025953972
3061277,3060422,-0.0008730863,0.0045346394,-0.0026081936
3063804,3062921,-0.000790297,0.0046539316,-0.0025524925
3066295,3065425,-0.0006879726,0.00475846,-0.002445623
3068775,3067918,-0.00062043685,0.0048384797,-0.0023308636
3071405,3070450,-0.0005381729,0.0048818067,-0.0022235978
3073841,3072930,-0.00042374758,0.0048889113,-0.0020927184
3076354,3075443,-0.00030380944,0.0048732413,-0.0019281986
3078825,3077927,-0.00022573723,0.004839142,-0.0017582559
3081313,3080444,-0.00021957436,0.004789258,-0.0016198575
3083801,3082934,-0.00023647395,0.0047404175,-0.001527444
3086298,3085434,-0.00023011475,0.004681739,-0.0014750878
3088810,3087933,-0.00024812296,0.0045913775,-0.0014331698
3091319,3090434,-0.00032896432,0.0044917376,-0.0013885943
3093809,3092943,-0.00040427467,0.004420801,-0.0013693289
3096298,3095438,-0.0004148894,0.0043886364,-0.0013708877
3098837,3097935,-0.00038815927,0.004400775,-0.0013471784
3101337,3100477,-0.00038215623,0.004418631,-0.0012974597
3103810,3102937,-0.00041609394,0.0043825884,-0.0012637665
3106306,3105442,-0.00045130332,0.004306134,-0.0012595523
3108811,3107943,-0.000450968,0.0042223046,-0.0012749041
3111298,3110440,-0.00040590216,0.0041610873,-0.0012998565
3113817,3112947,-0.0003325956,0.004138986,-0.0013394901
3116300,3115445,-0.00025331444,0.0041311,-0.0013983973
