timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
4063340,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,24.500729,0.0,0.0,nan,0.0,0.0,0.103873655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4073338,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,24.500729,0.0,0.0,nan,0.0,0.0,0.103873655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4863663,0.0,0.0,0.0,0.62275153,0.62275374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,13.105363,0.0,0.0,nan,0.0,0.0,0.09369475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5263832,0.0,0.0,0.0,0.5111127,0.5111208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.878765,0.0,0.0,nan,0.0,0.0,0.0936574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6064161,0.0,0.0,0.0,0.54471946,0.5447068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.819277,0.0,0.0,nan,0.0,0.0,0.09308422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6464339,0.0,0.0,0.0,0.5410239,0.5410075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.849908,0.0,0.0,nan,0.0,0.0,0.09274413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7064592,0.0,0.0,0.0,0.50892985,0.5089656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.901675,0.0,0.0,nan,0.0,0.0,0.0923218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7864920,0.0,0.0,0.0,0.47632152,0.4763416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.943289,0.0,0.0,nan,0.0,0.0,0.09189196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8065009,0.0,0.0,0.0,0.47015905,0.47017458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.944338,0.0,0.0,nan,0.0,0.0,0.091811225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8265081,0.0,0.0,0.0,0.4642827,0.46429476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.948525,0.0,0.0,nan,0.0,0.0,0.091727175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8665252,0.0,0.0,0.0,0.45274743,0.45275453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.943215,0.0,0.0,nan,0.0,0.0,0.09158738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8865336,0.0,0.0,0.0,0.44696206,0.4469676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.938451,0.0,0.0,nan,0.0,0.0,0.091521785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9265510,0.0,0.0,0.0,0.43535477,0.43535852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.92553,0.0,0.0,nan,0.0,0.0,0.091411725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9465601,0.0,0.0,0.0,0.42960256,0.42960584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.925693,0.0,0.0,nan,0.0,0.0,0.09136514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9865757,0.0,0.0,0.0,0.4183933,0.4183963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.913176,0.0,0.0,nan,0.0,0.0,0.091275446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10265931,0.0,0.0,0.0,0.40421134,0.40421367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.893291,0.0,0.0,nan,0.0,0.0,0.09473862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11266351,0.0,0.0,0.0,0.36658192,0.3665828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.8524885,0.0,0.0,nan,0.0,0.0,0.09139324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11466435,0.0,0.0,0.0,0.36846587,0.36846685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.850868,0.0,0.0,nan,0.0,0.0,0.09124837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11866622,0.0,0.0,0.0,0.3753275,0.37532875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.83031,0.0,0.0,nan,0.0,0.0,0.091046035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12066687,0.0,0.0,0.0,0.37783933,0.37784052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.825107,0.0,0.0,nan,0.0,0.0,0.0909761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12867032,0.0,0.0,0.0,0.3718859,0.37188667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.798177,0.0,0.0,nan,0.0,0.0,0.09083995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13067141,0.0,0.0,0.0,0.3676229,0.3676235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.7971525,0.0,0.0,nan,0.0,0.0,0.09082217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13467292,0.0,0.0,0.0,0.35833356,0.35833386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.784705,0.0,0.0,nan,0.0,0.0,0.09080175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14867889,0.0,0.0,0.0,0.3372576,0.3372581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.739587,0.0,0.0,nan,0.0,0.0,0.09078881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15268058,0.0,0.0,0.0,0.3375946,0.33759564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.726726,0.0,0.0,nan,0.0,0.0,0.090787925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15868325,0.0,0.0,0.0,0.34321377,0.3432157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,12.71138,0.0,0.0,nan,0.0,0.0,0.090786576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
