timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
2948810,2948794,1114122,2.5339992,3.7112677,-6.302695,37.625,0,0,0,0
2949240,2949219,1114122,2.3545375,3.6969109,-6.302695,37.625,0,0,0,0
3048970,3048953,1114122,2.4478574,3.6753755,-6.3170514,37.625,0,0,0,0
3147668,3147652,1114122,2.821138,3.668197,-6.4247284,37.625,0,0,0,0
3347172,3347155,1114122,2.57707,3.682554,-6.5611196,37.625,0,0,0,0
3545647,3545630,1114122,2.426322,3.5102706,-6.259624,37.625,0,0,0,0
3746629,3746613,1114122,2.3545375,3.6610186,-6.5467625,37.75,0,0,0,0
3844226,3844206,1114122,2.3401804,3.37388,-6.5036917,37.625,0,0,0,0
3947781,3947755,1114122,2.3904297,3.790231,-6.6831536,37.625,0,0,0,0
4046794,4046778,1114122,2.426322,3.5892339,-6.2883377,37.75,0,0,0,0
4347830,4347810,1114122,2.268396,3.6753755,-5.9437714,37.625,0,0,0,0
4745770,4745753,1114122,2.2612174,3.424129,-6.2739806,37.625,0,0,0,0
4847114,4847098,1114122,2.4622145,3.546163,-6.23091,37.875,0,0,0,0
4948420,4948404,1114122,2.3976083,3.682554,-6.740581,37.875,0,0,0,0
5147922,5147905,1114122,2.426322,3.3523445,-6.195018,37.75,0,0,0,0
5445072,5445053,1114122,2.519642,3.6035907,-6.474978,37.75,0,0,0,0
5547971,5547954,1114122,2.76371,3.4671998,-6.568298,37.75,0,0,0,0
5648773,5648754,1114122,2.5268207,3.316452,-6.3744793,37.75,0,0,0,0
5848284,5848262,1114122,2.5411775,3.6394832,-6.474978,37.625,0,0,0,0
5947539,5947522,1114122,2.519642,3.7974093,-6.4893346,37.75,0,0,0,0
6148570,6148552,1114122,2.4478574,3.481557,-6.3170514,37.875,0,0,0,0
6445723,6445706,1114122,2.4909282,3.4959137,-6.259624,38.0,0,0,0,0
6547855,6547836,1114122,2.5339992,3.4959137,-6.4893346,37.875,0,0,0,0
6645395,6645365,1114122,2.333002,3.5030923,-6.295516,37.875,0,0,0,0
6945523,6945503,1114122,2.548356,3.682554,-6.5324054,37.875,0,0,0,0
7047999,7047982,1114122,2.562713,3.7399817,-6.352944,37.875,0,0,0,0
7148171,7148155,1114122,2.376073,3.5676985,-6.245267,37.875,0,0,0,0
7448182,7448165,1114122,2.5842483,3.4169507,-6.6041903,37.75,0,0,0,0
7748341,7748325,1114122,2.5411775,3.6179478,-6.805187,37.875,0,0,0,0
7848355,7848338,1114122,2.5914268,3.5246277,-6.41755,37.875,0,0,0,0
7945877,7945860,1114122,2.3042881,3.8404803,-6.3314085,37.875,0,0,0,0
8145997,8145980,1114122,2.4119651,3.6179478,-6.41755,37.875,0,0,0,0
8243527,8243511,1114122,2.2612174,3.5102706,-6.3888364,37.875,0,0,0,0
8447077,8447061,1114122,2.3976083,3.424129,-6.087341,37.75,0,0,0,0
8746275,8746256,1114122,2.4622145,3.7471602,-6.460621,37.875,0,0,0,0
8947882,8947866,1114122,2.5555346,3.65384,-6.3457656,37.875,0,0,0,0
9143895,9143873,1114122,2.3042881,3.6394832,-6.3816576,37.875,0,0,0,0
9347926,9347910,1114122,2.3042881,3.7543385,-6.015556,38.0,0,0,0,0
9445576,9445554,1114122,2.8067808,3.4313076,-6.431907,38.0,0,0,0,0
9547419,9547403,1114122,2.3545375,3.8261232,-6.302695,38.0,0,0,0,0
9646636,9646619,1114122,2.5052853,3.5964124,-6.41755,38.0,0,0,0,0
9849180,9849163,1114122,2.4981067,3.7184463,-6.704689,38.0,0,0,0,0
9947470,9947453,1114122,2.3976083,3.682554,-6.2739806,38.0,0,0,0,0
10247770,10247753,1114122,2.2253249,3.6179478,-6.187839,37.875,0,0,0,0
10349413,10349397,1114122,2.4909282,3.5030923,-6.518049,38.0,0,0,0,0
11047369,11047345,1114122,2.4622145,3.6323047,-6.23091,38.0,0,0,0,0
11249822,11249806,1114122,2.5339992,3.6753755,-6.582655,38.0,0,0,0,0
11347449,11347425,1114122,2.268396,3.5676985,-6.4390855,38.125,0,0,0,0
11746118,11746101,1114122,2.333002,3.531806,-6.5754766,38.125,0,0,0,0
11950122,11950105,1114122,2.2899313,3.5030923,-6.1734824,37.875,0,0,0,0
12146168,12146152,1114122,2.2468605,3.6610186,-6.087341,38.0,0,0,0,0
12247790,12247762,1114122,2.074577,3.7543385,-6.360122,38.0,0,0,0,0
12440428,12440404,1114122,2.4047866,3.7686956,-6.1016974,38.125,0,0,0,0
12547866,12547849,1114122,2.2899313,3.5246277,-6.1663036,38.0,0,0,0,0
12647895,12647879,1114122,2.3904297,3.531806,-6.2237315,38.0,0,0,0,0
12947999,12947982,1114122,2.4693928,3.6179478,-6.195018,38.0,0,0,0,0
13047077,13047060,1114122,2.2971096,3.5030923,-6.647261,38.0,0,0,0,0
13148117,13148100,1114122,2.3114667,3.9122648,-6.5467625,38.0,0,0,0,0
13443260,13443244,1114122,2.4837499,3.37388,-6.3888364,38.125,0,0,0,0
13848423,13848406,1114122,2.333002,3.8333018,-6.2380886,38.0,0,0,0,0
13946918,13946902,1114122,2.3042881,3.330809,-6.0729837,38.0,0,0,0,0
14046025,14046006,1114122,2.333002,3.682554,-6.467799,38.0,0,0,0,0
14147471,14147454,1114122,2.3617158,3.5030923,-6.2380886,37.875,0,0,0,0
14248661,14248637,1114122,2.5052853,3.5820553,-6.2380886,38.125,0,0,0,0
14346136,14346119,1114122,2.7493532,3.6753755,-6.403193,38.125,0,0,0,0
14442518,14442501,1114122,2.3401804,3.8117664,-6.474978,38.125,0,0,0,0
14646309,14646286,1114122,2.1535404,3.7256248,-6.245267,38.125,0,0,0,0
15249021,15249005,1114122,2.3545375,3.682554,-6.187839,38.25,0,0,0,0
15345521,15345505,1114122,2.7206392,3.6610186,-6.647261,38.0,0,0,0,0
15449067,15449051,1114122,2.4837499,3.8548372,-6.3888364,38.0,0,0,0,0
15549220,15549203,1114122,2.5914268,3.6969109,-6.6041903,38.125,0,0,0,0
15646732,15646715,1114122,2.6919253,3.6035907,-6.4247284,38.125,0,0,0,0
15742418,15742401,1114122,2.3042881,3.4456644,-6.216553,38.0,0,0,0,0
16046960,16046943,1114122,2.2755742,3.6897323,-6.367301,38.125,0,0,0,0
16149401,16149385,1114122,2.5339992,3.7184463,-6.460621,38.125,0,0,0,0
16247519,16247502,1114122,2.3976083,3.481557,-6.446264,38.125,0,0,0,0
16348309,16348286,1114122,2.5339992,3.5892339,-6.446264,38.125,0,0,0,0
16647260,16647237,1114122,2.4478574,3.8548372,-6.5324054,38.125,0,0,0,0
16744674,16744658,1114122,2.4335005,3.345166,-6.338587,38.125,0,0,0,0
16947267,16947250,1114122,2.3904297,3.5964124,-6.582655,38.125,0,0,0,0
17044800,17044783,1114122,2.5339992,3.56052,-6.3816576,38.125,0,0,0,0
17148408,17148392,1114122,2.3688943,3.7830524,-6.539584,37.875,0,0,0,0
17347461,17347434,1114122,2.6488545,3.7184463,-6.51087,38.25,0,0,0,0
17447623,17447605,1114122,2.2899313,3.6179478,-6.5754766,38.25,0,0,0,0
17548421,17548401,1114122,2.519642,3.5964124,-6.460621,38.0,0,0,0,0
17646081,17646062,1114122,2.440679,3.546163,-6.4893346,38.125,0,0,0,0
17747631,17747606,1114122,2.4478574,3.6251261,-6.3888364,38.125,0,0,0,0
17848729,17848712,1114122,2.6632116,3.4887352,-6.4390855,38.25,0,0,0,0
18047834,18047812,1114122,2.3401804,3.6610186,-6.403193,38.25,0,0,0,0
18147811,18147785,1114122,2.2468605,3.6179478,-6.187839,38.25,0,0,0,0
18245435,18245412,1114122,2.5986054,3.682554,-6.582655,38.125,0,0,0,0
18348521,18348504,1114122,2.3401804,3.6610186,-6.2883377,38.125,0,0,0,0
18447937,18447915,1114122,2.3545375,3.56052,-6.3314085,38.125,0,0,0,0
18547023,18546986,1114122,2.2755742,3.6323047,-6.460621,38.125,0,0,0,0
18845589,18845573,1114122,2.3545375,3.6610186,-6.6041903,38.25,0,0,0,0
18947048,18947025,1114122,2.5339992,3.6897323,-6.431907,38.125,0,0,0,0
19246289,19246273,1114122,2.5698915,3.4743783,-6.539584,38.125,0,0,0,0
19347091,19347061,1114122,2.3258235,3.7184463,-6.3314085,38.25,0,0,0,0
19444725,19444708,1114122,2.6201408,3.761517,-6.3888364,38.125,0,0,0,0
19548345,19548328,1114122,2.5698915,3.481557,-6.553941,38.125,0,0,0,0
19648546,19648523,1114122,2.4765713,3.6179478,-6.2739806,38.375,0,0,0,0
21149176,21149153,1114122,2.5914268,3.481557,-6.5898333,38.125,0,0,0,0
21245515,21245492,1114122,2.1248264,3.6035907,-6.352944,38.375,0,0,0,0
21546833,21546817,1114122,2.3976083,3.5964124,-6.23091,38.375,0,0,0,0
21949586,21949533,1114122,2.376073,3.8261232,-6.3888364,38.375,0,0,0,0
22045582,22045565,1114122,2.3258235,3.5102706,-6.144768,38.25,0,0,0,0
22347974,22347958,1114122,2.333002,3.7112677,-6.403193,38.375,0,0,0,0
22444666,22444649,1114122,2.4981067,3.5820553,-6.5036917,38.375,0,0,0,0
22647259,22647242,1114122,2.3904297,3.6323047,-6.338587,38.25,0,0,0,0
22742328,22742312,1114122,2.6632116,3.6323047,-6.5467625,38.25,0,0,0,0
22847787,22847770,1114122,2.426322,3.6179478,-6.295516,38.25,0,0,0,0
22947354,22947338,1114122,2.4047866,3.6610186,-6.0729837,38.375,0,0,0,0
