timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
2950136,0,-8.433151,-7.644108,26.843035,4663305
2960954,0,-8.642643,-7.6405106,26.840176,4663305
3947550,0,-9.166325,-7.656311,26.930735,4663305
4955545,0,-10.318417,-5.997921,26.915012,4663305
5952618,0,-14.431686,-4.4423065,26.847322,4663305
6949604,0,-4.3246765,-7.311615,26.925016,4663305
7946885,0,-9.375786,-7.5133896,26.830172,4663305
8954704,0,3.7685852,-3.6358109,26.85161,4663305
9951823,0,-8.642643,-5.435486,26.93788,4663305
11956896,0,-10.527878,-5.793358,26.912153,4663305
12953862,0,-10.213688,-6.399971,26.916441,4663305
13951071,0,-2.8583603,-3.3528519,26.945026,4663305
16953193,0,-2.5441399,-5.18248,26.949314,4663305
18947268,0,-6.9668694,-5.8707695,26.960749,4663305
21949072,0,-7.2810593,-8.13467,26.95646,4663305
22957432,0,-5.814743,-5.849674,26.976469,4663305
23954408,0,-6.9668694,-7.323826,26.960749,4663305
24951581,0,-8.747372,-6.412922,26.936451,4663305
25948859,0,-4.848358,-6.3109283,26.91787,4663305
28950918,0,-5.7100143,-6.8842163,26.9779,4663305
31953004,0,-8.433151,-5.4843903,26.940739,4663305
32950204,0,-8.852104,-6.3617363,26.935022,4663305
34955309,0,-3.9295082,-5.9717255,27.002195,4663305
35952217,0,-7.804741,-7.849018,26.949314,4663305
36949410,0,-8.537914,-7.5068626,26.93931,4663305
37946835,0,-9.061596,-7.4028664,26.932163,4663305
39951750,0,-6.733593,-7.904232,26.892145,4663305
42954030,0,1.2549095,-7.6010895,26.915012,4663305
43951043,0,-1.4967766,-6.7704353,26.963606,4663305
46953433,0,-10.213688,-6.7213516,26.916441,4663305
49955334,0,-5.6862297,-5.952072,26.906437,4663305
51949947,0,-0.554142,-4.4111176,26.976469,4663305
53955179,0,-6.5479164,-7.3329277,27.064169,4663305
54952192,0,-4.5579185,-7.003208,27.091324,4663305
55949244,0,-8.852104,-5.8318634,27.032726,4663305
57954398,0,-2.0204582,-7.575489,27.054165,4663305
58951635,0,2.9306831,-5.482094,27.035583,4663305
60956790,0,-8.956833,-7.2709236,27.031296,4663305
62951086,0,-1.1825867,-5.779442,27.065598,4663305
65953571,0,-6.105179,-6.462303,26.998423,4663305
67947733,0,-7.7000084,-6.602665,27.048447,4663305
68955576,0,-9.794735,-9.358356,27.019863,4663305
70950038,0,-16.631142,-6.857361,27.012716,4663305
71946939,0,-9.690006,-6.7985115,27.021292,4663305
72955126,0,-6.5479164,-6.2800636,27.064169,4663305
73952058,0,-7.385788,-6.0839233,27.052734,4663305
